name,team,opponent,week,season,isHome,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
Justin Houston,BAL,CAR,11,2022,False,2,0,0.5,0,0,1,0
Marlon Humphrey,BAL,CAR,11,2022,False,2,0,0,0,1,0,0
Ronnie Stanley,BAL,CAR,11,2022,False,1,1,0,0,0,0,0
Justice Hill,BAL,CAR,11,2022,False,1,1,0,0,0,0,0
Malik Harrison,BAL,CAR,11,2022,False,1,1,0,0,0,0,0
Odafe Oweh,BAL,CAR,11,2022,False,1,0,0,0,0,1,0
L'Jarius Sneed,KC,NE,15,2023,True,9,8,0,2,2,0,0
Justin Reid,KC,NE,15,2023,True,7,6,0,1,0,0,0
Mike Edwards,KC,NE,15,2023,True,6,1,0,0,0,0,0
Leo Chenal,KC,NE,15,2023,True,6,1,0,0,1,0,0
Nick Bolton,KC,NE,15,2023,True,5,4,0,0,0,0,0
Chamarri Conner,KC,NE,15,2023,True,4,3,0,0,0,0,0
Mike Danna,KC,NE,15,2023,True,3,1,0,0,0,0,0
Derrick Nnadi,KC,NE,15,2023,True,2,2,1,1,0,1,0
Jaylen Watson,KC,NE,15,2023,True,2,2,1,1,0,1,0
Chris Jones,KC,NE,15,2023,True,2,2,0,1,1,0,0
Willie Gay,KC,NE,15,2023,True,2,2,0,0,1,0,0
Drue Tranquill,KC,NE,15,2023,True,2,1,1,1,0,1,0
Charles Omenihu,KC,NE,15,2023,True,2,1,1,0,0,2,0
Mike Pennel Jr.,KC,NE,15,2023,True,1,1,0,0,0,0,0
Justin Watson,KC,NE,15,2023,True,1,1,0,0,0,0,0
Noah Gray,KC,NE,15,2023,True,1,1,0,0,0,0,0
Creed Humphrey,KC,NE,15,2023,True,1,1,0,0,0,0,0
Cam Jones,KC,NE,15,2023,True,1,1,0,0,0,0,0
Trent McDuffie,KC,NE,15,2023,True,1,1,0,0,0,0,0
George Karlaftis,KC,NE,15,2023,True,1,1,0,0,0,0,0
Nic Jones,KC,NE,15,2023,True,1,1,0,0,0,0,0
Tershawn Wharton,KC,NE,15,2023,True,1,0,0,0,0,0,0
Felix Anudike-Uzomah,KC,NE,15,2023,True,0,0,0,0,0,1,0
Jabrill Peppers,NE,KC,15,2023,False,7,5,0,0,0,0,0
Kyle Dugger,NE,KC,15,2023,False,7,5,0,0,0,0,0
Christian Barmore,NE,KC,15,2023,False,6,4,1,2,0,2,0
Anfernee Jennings,NE,KC,15,2023,False,5,5,0,1,0,0,0
Myles Bryant,NE,KC,15,2023,False,5,4,0,0,0,0,0
Alex Austin,NE,KC,15,2023,False,3,3,0,0,0,0,0
Mack Wilson Sr.,NE,KC,15,2023,False,3,2,1,1,0,1,0
Jalen Mills,NE,KC,15,2023,False,3,2,0,0,0,0,0
Ja'Whaun Bentley,NE,KC,15,2023,False,3,2,0,0,0,0,0
Jahlani Tavai,NE,KC,15,2023,False,3,2,0,0,1,0,0
Jeremiah Pharms Jr.,NE,KC,15,2023,False,3,1,0,0,0,0,0
Lawrence Guy Sr.,NE,KC,15,2023,False,2,2,0,0,0,0,0
Jonathan Jones,NE,KC,15,2023,False,2,2,0,0,1,0,0
Deatrich Wise Jr.,NE,KC,15,2023,False,2,1,1,1,0,1,0
David Andrews,NE,KC,15,2023,False,1,1,0,0,0,0,0
Chris Board,NE,KC,15,2023,False,1,1,0,0,0,0,0
Christian Elliss,NE,KC,15,2023,False,1,1,0,0,0,0,0
