name,team,opponent,week,season,isHome,NO,YDS,AVG,LONG,TD
Brandon Powell,LAR,NO,11,2022,True,1,34,34.0,34,0
Ameer Abdullah,LV,DEN,11,2022,True,3,69,23.0,28,0
Montrell Washington,DEN,LV,11,2022,False,3,41,13.7,17,0
Keisean Nixon,GB,PHI,12,2022,True,5,172,34.4,53,0
Boston Scott,PHI,GB,12,2022,False,4,91,22.8,28,0
Marvin Mims Jr.,DEN,LV,18,2023,True,2,55,27.5,35,0
DeAndre Carter,LV,DEN,18,2023,False,1,26,26.0,26,0
Jordan Wilkins,IND,TEN,3,2021,True,1,17,17.0,17,0
Isaiah Rodgers Sr.,IND,TEN,3,2021,True,1,16,16.0,16,0
Jeremy McNichols,TEN,IND,3,2021,False,2,31,15.5,16,0
Keisean Nixon,GB,MIN,17,2023,True,1,23,23.0,23,0
Kene Nwangwu,MIN,GB,17,2023,False,6,166,27.7,47,0
Anthony McFarland Jr.,PIT,SF,1,2023,False,3,91,30.3,34,0
Myles Bryant,NE,NYJ,3,2023,True,1,11,11.0,11,0
Xavier Gipson,NYJ,NE,3,2023,False,2,55,27.5,30,0
Jaelon Darden,TB,NO,15,2021,False,2,33,16.5,17,0
Chester Rogers,TEN,NE,12,2021,True,2,46,23.0,30,0
Dontrell Hilliard,TEN,NE,12,2021,True,2,42,21.0,22,0
Gunner Olszewski,NE,TEN,12,2021,False,3,84,28.0,37,0
Deven Thompkins,TB,ARI,16,2022,True,3,68,22.7,33,0
Pharoh Cooper,ARI,TB,16,2022,False,1,17,17.0,17,0
Richie James,KC,CIN,17,2023,False,1,0,0.0,0,0
Jaylen Waddle,MIA,NYG,13,2021,False,2,32,16.0,17,0
Kene Nwangwu,MIN,LAC,10,2021,True,1,23,23.0,23,0
Andre Roberts,LAC,MIN,10,2021,False,1,14,14.0,14,0
KaVontae Turpin,DAL,WSH,18,2023,True,1,29,29.0,29,0
Byron Pringle,WSH,DAL,18,2023,False,3,77,25.7,29,0
