name,team,opponent,week,season,isHome,FG,PCT,LONG,XP,PTS
Mason Crosby,GB,MIN,17,2021,False,3/3,100.0,37,4/4,13
Matt Gay,LAR,NO,11,2022,True,2/2,100.0,58,2/2,8
Wil Lutz,NO,LAR,11,2022,False,2/2,100.0,46,3/3,9
Cairo Santos,CHI,DAL,8,2022,True,1/1,100.0,36,2/2,5
Brett Maher,DAL,CHI,8,2022,False,0/0,0.0,0,7/7,7
Greg Joseph,MIN,PHI,2,2023,True,0/0,0.0,0,4/4,4
Jake Elliott,PHI,MIN,2,2023,False,2/3,67.0,61,4/4,10
Cameron Dicker,LAC,NE,13,2023,True,2/2,100.0,38,0/0,6
Eddy Pineiro,CAR,TEN,12,2023,True,1/1,100.0,50,1/1,4
Nick Folk,TEN,CAR,12,2023,False,1/1,100.0,53,2/2,5
Anders Carlson,GB,NYG,14,2023,True,3/4,75.0,48,1/1,10
Randy Bullock,NYG,GB,14,2023,False,1/2,50.0,37,3/3,6
Graham Gano,NYG,PHI,18,2022,True,1/1,100.0,24,1/1,4
Jake Elliott,PHI,NYG,18,2022,False,5/5,100.0,54,1/1,16
Ka'imi Fairbairn,HOU,TEN,16,2022,True,2/2,100.0,25,1/1,7
Randy Bullock,TEN,HOU,16,2022,False,0/0,0.0,0,2/2,2
Chad Ryland,NE,MIA,8,2023,True,1/1,100.0,38,2/2,5
Jason Sanders,MIA,NE,8,2023,False,1/1,100.0,30,4/4,7
Matt Gay,LAR,TB,9,2022,True,2/2,100.0,35,1/1,7
Ryan Succop,TB,LAR,9,2022,False,3/4,75.0,50,1/1,10
Chase McLaughlin,IND,NE,9,2022,True,1/2,50.0,40,0/0,3
Nick Folk,NE,IND,9,2022,False,4/4,100.0,49,2/2,14
Brandon Aubrey,DAL,CAR,11,2023,True,2/2,100.0,30,3/4,9
Eddy Pineiro,CAR,DAL,11,2023,False,1/1,100.0,42,1/1,4
Justin Tucker,BAL,NE,3,2022,True,1/1,100.0,56,4/5,7
Nick Folk,NE,BAL,3,2022,False,2/2,100.0,50,2/2,8
Wil Lutz,DEN,LAC,14,2023,True,1/1,100.0,23,3/3,6
Cameron Dicker,LAC,DEN,14,2023,False,0/0,0.0,0,1/1,1
Evan McPherson,CIN,LV,11,2021,True,4/4,100.0,54,2/3,14
Daniel Carlson,LV,CIN,11,2021,False,2/2,100.0,47,1/1,7
Joey Slye,WSH,DAL,4,2022,True,1/1,100.0,45,1/1,4
Brett Maher,DAL,WSH,4,2022,False,4/4,100.0,53,1/2,13
Randy Bullock,TEN,LAR,9,2021,True,0/0,0.0,0,4/4,4
Matt Gay,LAR,TEN,9,2021,False,3/3,100.0,54,1/1,10
Robbie Gould,SF,JAX,11,2021,True,3/3,100.0,48,3/3,12
Matthew Wright,JAX,SF,11,2021,False,1/1,100.0,30,1/1,4
Justin Tucker,BAL,SF,16,2023,True,4/4,100.0,41,3/3,15
Jake Moody,SF,BAL,16,2023,False,1/1,100.0,45,2/2,5
Greg Joseph,MIN,CIN,1,2021,True,1/1,100.0,53,3/3,6
Evan McPherson,CIN,MIN,1,2021,False,2/2,100.0,53,3/3,9
Greg Joseph,MIN,BUF,10,2022,True,2/2,100.0,33,3/4,9
Tyler Bass,BUF,MIN,10,2022,False,3/3,100.0,45,3/3,12
Robbie Gould,SF,TEN,16,2021,True,1/1,100.0,48,2/2,5
Randy Bullock,TEN,SF,16,2021,False,2/2,100.0,44,2/2,8
Jason Myers,SEA,PIT,6,2021,True,2/2,100.0,43,2/2,8
Chris Boswell,PIT,SEA,6,2021,False,3/3,100.0,52,2/2,11
Evan McPherson,CIN,TEN,4,2023,True,1/1,100.0,21,0/0,3
Nick Folk,TEN,CIN,4,2023,False,2/2,100.0,53,3/3,9
Dustin Hopkins,LAC,CIN,13,2021,True,2/2,100.0,43,3/4,9
Evan McPherson,CIN,LAC,13,2021,False,1/1,100.0,48,1/2,4
Wil Lutz,NO,TB,13,2022,True,3/3,100.0,38,1/1,10
Ryan Succop,TB,NO,13,2022,False,1/1,100.0,21,2/2,5
Ryan Succop,TB,CLE,12,2022,True,1/1,100.0,42,2/2,5
Cade York,CLE,TB,12,2022,False,1/2,50.0,51,2/2,5
Greg Joseph,MIN,CIN,15,2023,True,1/1,100.0,39,3/3,6
Evan McPherson,CIN,MIN,15,2023,False,2/2,100.0,34,3/3,9
Jake Elliott,PHI,WSH,8,2023,True,1/1,100.0,51,5/5,8
Joey Slye,WSH,PHI,8,2023,False,1/1,100.0,61,4/4,7
Brandon Aubrey,DAL,MIA,16,2023,True,2/2,100.0,43,2/2,8
Jason Sanders,MIA,DAL,16,2023,False,5/5,100.0,57,1/1,16
Jake Elliott,PHI,NYJ,6,2023,True,0/1,0.0,0,2/2,2
Greg Zuerlein,NYJ,PHI,6,2023,False,4/4,100.0,43,0/0,12
Cameron Dicker,LAC,SF,10,2022,True,3/3,100.0,47,1/1,10
Robbie Gould,SF,LAC,10,2022,False,3/3,100.0,26,1/2,10
Cairo Santos,CHI,LAC,8,2023,True,0/0,0.0,0,1/1,1
Cameron Dicker,LAC,CHI,8,2023,False,3/3,100.0,53,3/3,12
Jake Elliott,PHI,DAL,3,2021,True,0/0,0.0,0,3/3,3
Greg Zuerlein,DAL,PHI,3,2021,False,0/0,0.0,0,5/6,5
Nick Folk,NE,PIT,2,2022,True,1/2,50.0,28,2/2,5
Chris Boswell,PIT,NE,2,2022,False,2/2,100.0,52,0/0,6
Graham Gano,NYG,MIN,16,2022,True,3/3,100.0,55,1/1,10
Greg Joseph,MIN,NYG,16,2022,False,2/2,100.0,61,3/3,9
Daniel Carlson,LV,BUF,2,2023,True,1/1,100.0,47,1/1,4
Tyler Bass,BUF,LV,2,2023,False,1/1,100.0,29,5/5,8
Dustin Hopkins,CLE,ARI,9,2023,False,2/3,67.0,45,3/3,9
Joey Slye,WSH,DEN,2,2023,True,2/4,50.0,49,3/3,9
Wil Lutz,DEN,WSH,2,2023,False,2/2,100.0,32,3/3,9
Mason Crosby,GB,BAL,15,2021,True,1/1,100.0,29,4/4,7
Justin Tucker,BAL,GB,15,2021,False,1/1,100.0,38,3/3,6
Graham Gano,NYG,GB,5,2022,True,2/2,100.0,48,3/3,9
Mason Crosby,GB,NYG,5,2022,False,2/2,100.0,48,2/2,8
Greg Joseph,MIN,GB,8,2023,True,1/3,33.0,25,3/3,6
Anders Carlson,GB,MIN,8,2023,False,1/1,100.0,30,1/1,4
Ka'imi Fairbairn,HOU,IND,18,2022,True,1/1,100.0,37,3/3,6
Chase McLaughlin,IND,HOU,18,2022,False,1/1,100.0,54,4/4,7
Chris Boswell,PIT,LAR,7,2023,True,1/1,100.0,53,3/3,6
Brett Maher,LAR,PIT,7,2023,False,1/3,33.0,41,0/1,3
Daniel Carlson,LV,IND,17,2021,True,3/3,100.0,47,2/2,11
Michael Badgley,IND,LV,17,2021,False,2/2,100.0,46,2/2,8
Harrison Butker,KC,CIN,13,2022,True,1/2,50.0,26,3/3,6
Evan McPherson,CIN,KC,13,2022,False,2/2,100.0,41,3/3,9
Robbie Gould,SF,CAR,5,2022,True,1/2,50.0,49,3/3,6
Mitch Wishnowsky,SF,CAR,5,2022,True,0/0,0.0,0,1/2,1
Eddy Pineiro,CAR,SF,5,2022,False,3/4,75.0,43,0/0,9
Cade York,CLE,CIN,14,2022,True,1/1,100.0,26,1/1,4
Evan McPherson,CIN,CLE,14,2022,False,1/1,100.0,30,2/3,5
Nick Folk,TEN,MIA,14,2023,True,2/2,100.0,28,2/2,8
Jason Sanders,MIA,TEN,14,2023,False,2/3,67.0,31,3/3,9
Matt Prater,ARI,SEA,11,2021,True,1/3,33.0,53,2/3,5
Jason Myers,SEA,ARI,11,2021,False,2/2,100.0,27,1/1,7
Brett Maher,DAL,TEN,17,2022,True,2/2,100.0,45,3/3,9
Randy Bullock,TEN,DAL,17,2022,False,2/2,100.0,37,1/1,7
Wil Lutz,NO,CAR,3,2022,True,0/2,0.0,0,2/2,2
Eddy Pineiro,CAR,NO,3,2022,False,3/3,100.0,48,1/1,10
Justin Tucker,BAL,LV,1,2021,True,2/2,100.0,47,3/3,9
Daniel Carlson,LV,BAL,1,2021,False,2/2,100.0,55,3/3,9
Chris Boswell,PIT,LV,3,2023,True,3/3,100.0,57,2/2,11
Daniel Carlson,LV,PIT,3,2023,False,1/1,100.0,26,1/1,4
Cairo Santos,CHI,LV,5,2021,True,2/2,100.0,46,2/2,8
Daniel Carlson,LV,CHI,5,2021,False,1/1,100.0,31,0/0,3
Nick Folk,NE,NYJ,8,2022,True,5/5,100.0,52,1/1,16
Greg Zuerlein,NYJ,NE,8,2022,False,1/2,50.0,28,2/2,5
Aldrick Rosas,NO,NE,3,2021,True,0/2,0.0,0,4/4,4
Nick Folk,NE,NO,3,2021,False,2/2,100.0,45,1/1,7
Aldrick Rosas,DET,CLE,11,2021,True,1/1,100.0,43,1/1,4
Chase McLaughlin,CLE,DET,11,2021,False,0/1,0.0,0,1/2,1
Matt Gay,LAR,ARI,3,2022,True,2/2,100.0,40,2/2,8
Matt Prater,ARI,LAR,3,2022,False,4/4,100.0,49,0/0,12
Greg Zuerlein,NYJ,CLE,2,2022,True,1/1,100.0,57,4/4,7
Cade York,CLE,NYJ,2,2022,False,1/1,100.0,22,3/4,6
Taylor Bertolet,LAC,CLE,5,2022,True,3/3,100.0,28,3/3,12
Cade York,CLE,LAC,5,2022,False,0/2,0.0,0,4/4,4
Younghoe Koo,ATL,CAR,15,2023,True,0/0,0.0,0,1/1,1
Eddy Pineiro,CAR,ATL,15,2023,False,3/3,100.0,34,0/0,9
Eddy Pineiro,CAR,CHI,10,2023,True,2/3,67.0,39,1/1,7
Cairo Santos,CHI,CAR,10,2023,False,3/3,100.0,54,1/1,10
Mason Crosby,GB,PHI,12,2022,True,2/2,100.0,33,3/4,9
Jake Elliott,PHI,GB,12,2022,False,2/2,100.0,54,4/5,10
Cairo Santos,CHI,SEA,16,2021,True,1/1,100.0,35,2/2,5
Jason Myers,SEA,CHI,16,2021,False,1/2,50.0,36,3/3,6
Cairo Santos,CHI,GB,2,2022,True,1/1,100.0,44,1/1,4
Mason Crosby,GB,CHI,2,2022,False,2/2,100.0,40,3/3,9
Justin Tucker,BAL,DEN,4,2021,True,3/3,100.0,46,2/2,11
Brandon McManus,DEN,BAL,4,2021,False,0/0,0.0,0,1/1,1
Evan McPherson,CIN,TB,15,2022,True,2/2,100.0,41,2/2,8
Ryan Succop,TB,CIN,15,2022,False,1/2,50.0,21,2/2,5
Justin Tucker,BAL,JAX,15,2023,True,3/3,100.0,43,2/2,11
Brandon McManus,JAX,BAL,15,2023,False,0/2,0.0,0,1/1,1
Joey Slye,WSH,PHI,4,2023,True,1/1,100.0,27,4/4,7
Jake Elliott,PHI,WSH,4,2023,False,4/4,100.0,54,2/2,14
Ka'imi Fairbairn,HOU,IND,18,2023,True,1/1,100.0,51,2/3,5
Matt Gay,IND,HOU,18,2023,False,3/4,75.0,52,0/0,9
Tristan Vizcaino,LAC,WSH,1,2021,True,2/2,100.0,33,2/2,8
Dustin Hopkins,WSH,LAC,1,2021,False,3/4,75.0,48,1/1,10
Riley Patterson,DET,ATL,16,2021,True,3/3,100.0,37,1/1,10
Younghoe Koo,ATL,DET,16,2021,False,2/2,100.0,53,2/2,8
Tyler Bass,BUF,NYJ,1,2023,True,3/3,100.0,50,1/1,10
Greg Zuerlein,NYJ,BUF,1,2023,False,3/3,100.0,43,1/1,10
Matt Prater,ARI,HOU,11,2023,True,1/1,100.0,57,1/1,4
Matt Ammendola,HOU,ARI,11,2023,False,0/1,0.0,0,3/3,3
Justin Tucker,BAL,CLE,14,2021,True,3/3,100.0,55,1/1,10
Chase McLaughlin,CLE,BAL,14,2021,False,1/2,50.0,43,3/3,6
Justin Tucker,BAL,NYG,6,2022,True,2/3,67.0,34,2/2,8
Graham Gano,NYG,BAL,6,2022,False,1/1,100.0,34,3/3,6
Zane Gonzalez,CAR,MIA,12,2021,True,1/1,100.0,41,1/1,4
Jason Sanders,MIA,CAR,12,2021,False,2/2,100.0,46,3/4,9
Austin Seibert,DET,GB,2,2021,True,1/1,100.0,43,2/2,5
Mason Crosby,GB,DET,2,2021,False,0/0,0.0,0,5/5,5
Cameron Dicker,LAC,GB,11,2023,True,2/2,100.0,26,2/2,8
Anders Carlson,GB,LAC,11,2023,False,1/2,50.0,28,2/3,5
Jason Myers,SEA,DET,4,2022,True,2/3,67.0,56,6/6,12
Dominik Eberle,DET,SEA,4,2022,False,1/1,100.0,49,2/4,5
Cairo Santos,CHI,CLE,3,2021,True,2/2,100.0,47,0/0,6
Chase McLaughlin,CLE,CHI,3,2021,False,4/4,100.0,57,2/2,14
Zane Gonzalez,CAR,DAL,4,2021,True,0/1,0.0,0,4/4,4
Greg Zuerlein,DAL,CAR,4,2021,False,1/1,100.0,37,3/3,6
Matt Prater,ARI,LV,2,2022,True,0/0,0.0,0,1/1,1
Daniel Carlson,LV,ARI,2,2022,False,3/3,100.0,55,2/2,11
Tyler Bass,BUF,NYJ,9,2022,True,1/2,50.0,51,2/2,5
Greg Zuerlein,NYJ,BUF,9,2022,False,2/2,100.0,53,2/2,8
Matt Gay,LAR,ARI,14,2021,True,3/3,100.0,55,3/3,12
Matt Prater,ARI,LAR,14,2021,False,3/3,100.0,53,2/2,11
Riley Patterson,CLE,CIN,18,2023,True,0/0,0.0,0,2/2,2
Evan McPherson,CIN,CLE,18,2023,False,1/1,100.0,45,4/4,7
Tyler Bass,BUF,NE,13,2022,True,1/1,100.0,48,3/3,6
Nick Folk,NE,BUF,13,2022,False,1/2,50.0,39,1/1,4
Jason Sanders,MIA,BUF,8,2021,True,1/2,50.0,51,0/0,3
Tyler Bass,BUF,MIA,8,2021,False,2/2,100.0,57,2/2,8
Brandon McManus,DEN,DAL,9,2021,True,3/4,75.0,53,1/2,10
Zane Gonzalez,CAR,HOU,3,2021,True,1/1,100.0,21,3/3,6
Joey Slye,HOU,CAR,3,2021,False,1/1,100.0,53,0/1,3
Jason Sanders,MIA,NE,2,2023,True,1/3,33.0,23,3/3,6
Chad Ryland,NE,MIA,2,2023,False,1/1,100.0,49,2/2,5
Chase McLaughlin,TB,IND,12,2023,True,2/2,100.0,24,2/2,8
Matt Gay,IND,TB,12,2023,False,2/3,67.0,46,3/3,9
Matt Gay,LAR,IND,2,2021,True,2/2,100.0,38,3/3,9
Rodrigo Blankenship,IND,LAR,2,2021,False,3/3,100.0,48,1/1,10
Cade York,CLE,BAL,7,2022,True,2/3,67.0,41,2/2,8
Justin Tucker,BAL,CLE,7,2022,False,3/3,100.0,55,2/2,11
Younghoe Koo,ATL,JAX,4,2023,True,0/0,0.0,0,1/1,1
Brandon McManus,JAX,ATL,4,2023,False,3/3,100.0,56,2/2,11
Joey Slye,WSH,DAL,12,2023,True,1/1,100.0,43,1/1,4
Brandon Aubrey,DAL,WSH,12,2023,False,1/1,100.0,52,4/5,7
Harrison Butker,KC,PHI,4,2021,True,0/0,0.0,0,6/6,6
Jake Elliott,PHI,KC,4,2021,False,3/3,100.0,31,3/3,12
Michael Badgley,DET,CHI,10,2022,True,1/1,100.0,25,4/4,7
Cairo Santos,CHI,DET,10,2022,False,1/1,100.0,33,3/4,6
Harrison Butker,KC,BAL,2,2021,True,0/0,0.0,0,5/5,5
Justin Tucker,BAL,KC,2,2021,False,1/1,100.0,43,3/3,6
Robbie Gould,SF,LAR,18,2021,True,2/2,100.0,42,3/3,9
Matt Gay,LAR,SF,18,2021,False,1/1,100.0,43,3/3,6
Younghoe Koo,ATL,NO,18,2023,True,1/1,100.0,30,2/2,5
Blake Grupe,NO,ATL,18,2023,False,2/2,100.0,24,6/6,12
Ryan Succop,TB,DAL,1,2022,True,4/5,80.0,47,1/1,13
Brett Maher,DAL,TB,1,2022,False,1/1,100.0,51,0/0,3
Cairo Santos,CHI,TB,2,2023,True,1/1,100.0,52,2/2,5
Chase McLaughlin,TB,CHI,2,2023,False,2/3,67.0,26,3/3,9
Ka'imi Fairbairn,HOU,IND,6,2021,True,1/1,100.0,31,0/0,3
Michael Badgley,IND,HOU,6,2021,False,1/1,100.0,41,4/4,7
Anders Carlson,GB,DEN,7,2023,True,1/2,50.0,29,2/2,5
Wil Lutz,DEN,GB,7,2023,False,4/4,100.0,52,1/1,13
Daniel Carlson,LV,KC,14,2021,True,1/1,100.0,26,0/1,3
Harrison Butker,KC,LV,14,2021,False,2/2,100.0,54,6/6,12
Justin Tucker,BAL,NO,9,2022,True,2/2,100.0,41,3/3,9
Wil Lutz,NO,BAL,9,2022,False,2/2,100.0,37,1/1,7
Younghoe Koo,ATL,CAR,14,2021,True,3/3,100.0,48,2/2,11
Zane Gonzalez,CAR,ATL,14,2021,False,0/0,0.0,0,3/3,3
Dustin Hopkins,LAC,LV,18,2021,True,1/2,50.0,41,3/3,6
Daniel Carlson,LV,LAC,18,2021,False,5/5,100.0,52,2/2,17
Lucas Havrisik,LAR,NYG,17,2023,True,0/0,0.0,0,2/4,2
Mason Crosby,NYG,LAR,17,2023,False,2/3,67.0,32,1/2,7
Harrison Butker,KC,LV,10,2021,True,2/3,67.0,40,5/5,11
Daniel Carlson,LV,KC,10,2021,False,0/0,0.0,0,2/2,2
Jason Myers,SEA,TB,10,2022,True,1/1,100.0,55,1/1,4
Ryan Succop,TB,SEA,10,2022,False,0/1,0.0,0,3/3,3
Joey Slye,HOU,CLE,2,2021,True,0/1,0.0,0,3/3,3
Chase McLaughlin,CLE,HOU,2,2021,False,1/1,100.0,30,4/4,7
Cameron Dicker,LAC,MIN,3,2023,True,0/1,0.0,0,4/4,4
Greg Joseph,MIN,LAC,3,2023,False,1/1,100.0,23,3/3,6
Joey Slye,WSH,NE,9,2023,True,2/2,100.0,37,2/2,8
Chad Ryland,NE,WSH,9,2023,False,1/1,100.0,43,2/2,5
Matt Prater,ARI,SF,18,2022,True,0/0,0.0,0,1/2,1
Robbie Gould,SF,ARI,18,2022,False,1/1,100.0,27,5/5,8
Tyler Bass,BUF,TEN,6,2021,True,3/3,100.0,52,2/2,11
Randy Bullock,TEN,BUF,6,2021,False,2/2,100.0,43,4/4,10
Jason Sanders,MIA,NO,16,2021,True,2/3,67.0,48,2/2,8
Brett Maher,NO,MIA,16,2021,False,1/1,100.0,38,0/0,3
Jason Sanders,MIA,BAL,17,2023,True,2/2,100.0,38,1/1,7
Justin Tucker,BAL,MIA,17,2023,False,0/0,0.0,0,8/8,8
Evan McPherson,CIN,PIT,3,2021,True,1/1,100.0,43,3/3,6
Chris Boswell,PIT,CIN,3,2021,False,1/2,50.0,26,1/1,4
Ka'imi Fairbairn,HOU,JAX,3,2023,True,3/3,100.0,33,4/4,13
Brandon McManus,JAX,HOU,3,2023,False,1/3,33.0,33,2/2,5
Matt Gay,LAR,GB,15,2022,True,2/2,100.0,55,0/1,6
Mason Crosby,GB,LAR,15,2022,False,1/1,100.0,34,3/3,6
Greg Zuerlein,NYJ,NE,11,2022,True,1/1,100.0,45,0/0,3
Nick Folk,NE,NYJ,11,2022,False,1/3,33.0,24,1/1,4
Brett Maher,NO,NYJ,14,2021,True,3/3,100.0,37,3/3,12
Eddy Pineiro,NYJ,NO,14,2021,False,3/3,100.0,46,0/0,9
Brandon Aubrey,DAL,PHI,9,2023,True,1/1,100.0,51,2/2,5
Jake Elliott,PHI,DAL,9,2023,False,0/0,0.0,0,4/4,4
Mason Crosby,GB,NO,1,2021,True,1/1,100.0,39,0/0,3
Aldrick Rosas,NO,GB,1,2021,False,1/1,100.0,44,5/5,8
Chris Boswell,PIT,BUF,1,2021,True,3/3,100.0,45,2/2,11
Tyler Bass,BUF,PIT,1,2021,False,3/3,100.0,42,1/1,10
Joey Slye,SF,ARI,5,2021,True,1/1,100.0,47,1/1,4
Matt Prater,ARI,SF,5,2021,False,1/2,50.0,21,2/2,5
Nick Folk,NE,LAC,8,2021,True,4/4,100.0,48,1/1,13
Dustin Hopkins,LAC,NE,8,2021,False,1/1,100.0,48,3/3,6
Tyler Bass,BUF,JAX,9,2021,True,2/2,100.0,41,0/0,6
Matthew Wright,JAX,BUF,9,2021,False,3/4,75.0,55,0/0,9
Brian Johnson,NO,TEN,10,2021,True,1/1,100.0,20,0/2,3
Randy Bullock,TEN,NO,10,2021,False,3/3,100.0,36,2/2,11
Ka'imi Fairbairn,HOU,MIA,9,2021,True,3/3,100.0,40,0/0,9
Jason Sanders,MIA,HOU,9,2021,False,1/1,100.0,42,2/2,5
Cameron Dicker,PHI,ARI,5,2022,True,2/2,100.0,42,2/2,8
Matt Ammendola,ARI,PHI,5,2022,False,1/2,50.0,20,2/2,5
Chase McLaughlin,TB,GB,15,2023,True,2/2,100.0,46,4/4,10
Anders Carlson,GB,TB,15,2023,False,2/2,100.0,36,2/2,8
Matthew Wright,KC,TB,4,2022,True,2/2,100.0,44,5/5,11
Ryan Succop,TB,KC,4,2022,False,1/1,100.0,45,4/4,7
Chris Naggar,CLE,GB,16,2021,True,1/1,100.0,37,1/2,4
Mason Crosby,GB,CLE,16,2021,False,1/1,100.0,32,3/3,6
Cameron Dicker,LAC,LV,13,2022,True,2/3,67.0,37,2/2,8
Daniel Carlson,LV,LAC,13,2022,False,2/3,67.0,55,3/3,9
Greg Joseph,MIN,BAL,9,2021,True,1/1,100.0,36,4/4,7
Justin Tucker,BAL,MIN,9,2021,False,2/2,100.0,37,4/4,10
Greg Joseph,MIN,DET,18,2023,True,2/2,100.0,43,2/2,8
Michael Badgley,DET,MIN,18,2023,False,1/1,100.0,39,3/4,6
Brandon McManus,JAX,IND,1,2023,True,1/1,100.0,45,4/4,7
Matt Gay,IND,JAX,1,2023,False,0/0,0.0,0,3/3,3
Matt Prater,ARI,CHI,13,2021,True,2/2,100.0,33,3/3,9
Cairo Santos,CHI,ARI,13,2021,False,0/0,0.0,0,2/2,2
Jason Sanders,MIA,KC,9,2023,True,0/0,0.0,0,2/2,2
Harrison Butker,KC,MIA,9,2023,False,0/0,0.0,0,3/3,3
Greg Zuerlein,DAL,NE,6,2021,True,3/4,75.0,49,2/2,11
Nick Folk,NE,DAL,6,2021,False,0/0,0.0,0,3/3,3
Evan McPherson,CIN,NYJ,3,2022,True,2/3,67.0,43,3/3,9
Greg Zuerlein,NYJ,CIN,3,2022,False,4/4,100.0,52,0/0,12
Tyler Bass,BUF,MIA,2,2021,True,0/1,0.0,0,5/5,5
Justin Tucker,BAL,CIN,2,2023,True,2/3,67.0,44,3/3,9
Evan McPherson,CIN,BAL,2,2023,False,1/1,100.0,27,3/3,6
Jason Sanders,MIA,CIN,4,2022,True,3/4,75.0,48,0/1,9
Evan McPherson,CIN,MIA,4,2022,False,2/2,100.0,57,3/3,9
Greg Zuerlein,NYJ,NYG,8,2023,True,2/2,100.0,35,1/1,7
Graham Gano,NYG,NYJ,8,2023,False,1/3,33.0,31,1/1,4
Rodrigo Blankenship,IND,TEN,3,2021,True,3/4,75.0,43,1/1,10
Randy Bullock,TEN,IND,3,2021,False,1/1,100.0,32,2/2,5
Evan McPherson,CIN,CHI,2,2021,True,1/1,100.0,53,2/2,5
Cairo Santos,CHI,CIN,2,2021,False,2/2,100.0,28,2/2,8
Nick Folk,NE,CLE,6,2022,True,1/2,50.0,19,5/5,8
Cade York,CLE,NE,6,2022,False,3/3,100.0,51,0/0,9
Eddy Pineiro,NYJ,BUF,18,2021,True,1/1,100.0,49,1/1,4
Tyler Bass,BUF,NYJ,18,2021,False,2/2,100.0,41,3/3,9
Nick Folk,NE,LV,15,2022,True,3/3,100.0,54,1/1,10
Daniel Carlson,LV,NE,15,2022,False,1/1,100.0,49,3/3,6
Lirim Hajrullahu,CAR,NO,17,2021,True,1/2,50.0,32,1/1,4
Brett Maher,NO,CAR,17,2021,False,4/4,100.0,41,0/1,12
Harrison Butker,KC,DEN,6,2023,False,4/4,100.0,60,1/1,13
Riley Patterson,DET,KC,1,2023,True,0/0,0.0,0,3/3,3
Harrison Butker,KC,DET,1,2023,False,2/2,100.0,39,2/2,8
Cairo Santos,CHI,TB,7,2021,True,1/1,100.0,28,0/0,3
Ryan Succop,TB,CHI,7,2021,False,1/2,50.0,22,5/5,8
Tyler Bass,BUF,TB,14,2021,True,2/2,100.0,25,3/3,9
Ryan Succop,TB,BUF,14,2021,False,2/2,100.0,24,3/3,9
Wil Lutz,DEN,HOU,13,2023,True,1/1,100.0,34,2/2,5
Matt Ammendola,HOU,DEN,13,2023,False,3/3,100.0,38,1/1,10
Daniel Carlson,LV,LAC,1,2022,True,2/2,100.0,55,1/1,7
Dustin Hopkins,LAC,LV,1,2022,False,1/2,50.0,43,3/3,6
Brett Maher,LAR,IND,4,2023,True,3/5,60.0,54,2/2,11
Matt Gay,IND,LAR,4,2023,False,0/1,0.0,0,1/1,1
Harrison Butker,KC,WSH,6,2021,True,1/1,100.0,52,4/4,7
Dustin Hopkins,WSH,KC,6,2021,False,2/3,67.0,50,1/1,7
Wil Lutz,DEN,MIA,3,2023,True,2/2,100.0,31,2/2,8
Jason Sanders,MIA,DEN,3,2023,False,0/0,0.0,0,10/10,10
Justin Tucker,BAL,MIA,10,2021,True,1/2,50.0,46,1/1,4
Jason Sanders,MIA,BAL,10,2021,False,3/3,100.0,31,1/1,10
Younghoe Koo,ATL,DET,3,2023,True,2/3,67.0,48,0/0,6
Riley Patterson,DET,ATL,3,2023,False,2/2,100.0,37,2/2,8
Zane Gonzalez,CAR,ARI,10,2021,True,4/4,100.0,49,2/2,14
Matt Prater,ARI,CAR,10,2021,False,1/1,100.0,47,1/1,4
Justin Tucker,BAL,PIT,14,2022,True,3/3,100.0,42,1/1,10
Chris Boswell,PIT,BAL,14,2022,False,0/1,0.0,0,2/2,2
Daniel Carlson,LV,SEA,12,2022,True,2/3,67.0,36,4/4,10
Jason Myers,SEA,LV,12,2022,False,2/2,100.0,34,4/4,10
Younghoe Koo,ATL,CHI,17,2023,True,1/3,33.0,38,2/2,5
Cairo Santos,CHI,ATL,17,2023,False,3/4,75.0,42,4/4,13
Eddy Pineiro,CAR,CIN,9,2022,True,0/0,0.0,0,3/3,3
Evan McPherson,CIN,CAR,9,2022,False,0/1,0.0,0,6/6,6
Wil Lutz,NO,ARI,7,2022,True,2/2,100.0,45,4/4,10
Rodrigo Blankenship,ARI,NO,7,2022,False,2/2,100.0,50,2/3,8
Jason Sanders,MIA,TB,5,2021,True,1/1,100.0,23,2/2,5
Ryan Succop,TB,MIA,5,2021,False,1/1,100.0,42,6/6,9
Bradley Pinion,TB,MIA,5,2021,False,0/1,0.0,0,0/0,0
Chase McLaughlin,TB,ATL,14,2023,True,2/2,100.0,55,3/3,9
Younghoe Koo,ATL,TB,14,2023,False,1/3,33.0,20,2/2,5
Eddy Pineiro,CAR,ATL,8,2022,True,2/3,67.0,42,2/3,8
Younghoe Koo,ATL,CAR,8,2022,False,3/3,100.0,41,4/4,13
Greg Joseph,MIN,ARI,2,2021,True,2/3,67.0,52,3/4,9
Matt Prater,ARI,MIN,2,2021,False,2/2,100.0,62,4/4,10
Cameron Dicker,LAC,KC,7,2023,True,1/1,100.0,55,2/2,5
Harrison Butker,KC,LAC,7,2023,False,1/1,100.0,35,4/4,7
Jake Moody,SF,MIN,7,2023,True,1/2,50.0,55,2/2,5
Greg Joseph,MIN,SF,7,2023,False,3/4,75.0,54,1/2,10
Randy Bullock,TEN,PIT,15,2021,True,2/2,100.0,32,1/1,7
Chris Boswell,PIT,TEN,15,2021,False,4/5,80.0,48,1/1,13
Joey Slye,WSH,NYJ,16,2023,True,0/0,0.0,0,4/4,4
Greg Zuerlein,NYJ,WSH,16,2023,False,3/3,100.0,54,3/3,12
Matt Prater,ARI,LAR,4,2021,True,3/3,100.0,55,4/4,13
Matt Gay,LAR,ARI,4,2021,False,2/3,67.0,42,2/2,8
