name,team,opponent,week,season,isHome,FG,PCT,LONG,XP,PTS
Chase McLaughlin,CLE,CIN,9,2021,True,2/3,67.0,28,5/5,11
Evan McPherson,CIN,CLE,9,2021,False,1/1,100.0,27,1/1,4
Joey Slye,WSH,NYG,18,2021,True,3/3,100.0,43,1/1,10
Graham Gano,NYG,WSH,18,2021,False,0/0,0.0,0,1/1,1
Joey Slye,WSH,LAR,15,2023,True,0/0,0.0,0,2/3,2
Lucas Havrisik,LAR,WSH,15,2023,False,2/3,67.0,27,2/2,8
Brandon McManus,JAX,CLE,14,2023,True,0/0,0.0,0,3/3,3
Dustin Hopkins,CLE,JAX,14,2023,False,1/1,100.0,55,4/4,7
Jason Myers,SEA,LAR,15,2021,True,1/1,100.0,39,1/1,4
Matt Gay,LAR,SEA,15,2021,False,2/2,100.0,55,2/2,8
Chase McLaughlin,IND,MIN,15,2022,True,5/5,100.0,52,3/3,18
Greg Joseph,MIN,IND,15,2022,False,1/1,100.0,40,4/4,7
Joey Slye,WSH,PHI,10,2022,True,4/4,100.0,58,2/2,14
Jake Elliott,PHI,WSH,10,2022,False,0/0,0.0,0,3/3,3
Mason Crosby,GB,DET,9,2022,True,1/1,100.0,25,0/0,3
Michael Badgley,DET,GB,9,2022,False,0/0,0.0,0,1/1,1
Younghoe Koo,ATL,JAX,12,2021,True,0/0,0.0,0,3/3,3
Matthew Wright,JAX,ATL,12,2021,False,2/2,100.0,34,0/0,6
Cody Parkey,NO,WSH,5,2021,True,0/0,0.0,0,3/5,3
Dustin Hopkins,WSH,NO,5,2021,False,3/3,100.0,45,1/1,10
Brandon McManus,DEN,KC,13,2021,True,1/1,100.0,42,0/0,3
Harrison Butker,KC,DEN,13,2021,False,3/3,100.0,56,1/2,10
Riley Patterson,JAX,HOU,17,2022,True,1/1,100.0,53,4/4,7
Ka'imi Fairbairn,HOU,JAX,17,2022,False,1/1,100.0,56,0/0,3
Greg Zuerlein,DAL,NYG,15,2021,True,3/3,100.0,42,0/2,9
Graham Gano,NYG,DAL,15,2021,False,2/2,100.0,42,0/0,6
Chad Ryland,NE,PIT,14,2023,True,0/0,0.0,0,3/3,3
Chris Boswell,PIT,NE,14,2023,False,1/1,100.0,56,1/1,4
Greg Zuerlein,NYJ,DEN,5,2023,True,5/5,100.0,49,2/2,17
Wil Lutz,DEN,NYJ,5,2023,False,2/2,100.0,23,1/1,7
