name,team,opponent,week,season,isHome,NO,YDS,AVG,TB,In 20,LONG
Tommy Townsend,KC,ARI,1,2022,True,2,108,54.0,1,0,58
Andy Lee,ARI,KC,1,2022,False,5,255,51.0,0,0,57
Brad Robbins,CIN,BAL,11,2023,True,5,217,43.4,1,0,53
Jordan Stout,BAL,CIN,11,2023,False,4,182,45.5,1,1,56
Sam Martin,BUF,NYJ,1,2023,True,3,141,47.0,0,1,53
Thomas Morstead,NYJ,BUF,1,2023,False,4,174,43.5,0,2,54
Pressley Harvin III,PIT,LAR,7,2023,True,5,218,43.6,0,2,55
Ethan Evans,LAR,PIT,7,2023,False,4,208,52.0,1,2,68
Sam Martin,BUF,WSH,3,2023,True,1,70,70.0,1,0,70
Tress Way,WSH,BUF,3,2023,False,3,150,50.0,0,0,57
Riley Dixon,NYG,KC,8,2021,True,5,215,43.0,0,2,51
Tommy Townsend,KC,NYG,8,2021,False,4,203,50.8,0,4,58
Lou Hedley,NO,NE,5,2023,True,7,307,43.9,1,3,55
Bryce Baringer,NE,NO,5,2023,False,8,353,44.1,0,5,57
Jack Fox,DET,MIN,3,2022,True,3,134,44.7,0,1,50
Ryan Wright,MIN,DET,3,2022,False,3,156,52.0,0,1,58
Tommy Townsend,KC,SF,7,2022,True,1,33,33.0,0,1,33
Mitch Wishnowsky,SF,KC,7,2022,False,1,29,29.0,0,1,29
