name,espnId,season,INT,TD,YDS
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2021,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
Josh Tupou,2979632,2023,0.0,0.0,0.0
