name,espnId,season,FUM,LST,FF,FR,YDS,FTD,GP,2PTR,OFTD,DFTD
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0,0.0,1.0,0.0
Ty'Son Williams,3895827,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0
