name,team,opponent,week,season,isHome,INT,YDS,TD
Jaylon Johnson,CHI,DET,14,2023,False,1,7,0
Tremaine Edmunds,CHI,DET,14,2023,False,1,6,0
Will Harris,DET,WSH,2,2022,False,1,0,0
Jevon Holland,MIA,NE,1,2022,False,1,31,0
Jermaine Johnson,NYJ,CLE,17,2023,True,1,37,1
Ronnie Hickman,CLE,NYJ,17,2023,False,1,30,1
Minkah Fitzpatrick,PIT,BAL,17,2022,True,1,0,0
James Pierre,PIT,IND,12,2022,True,1,0,0
Xavien Howard,MIA,NYG,13,2021,False,1,0,0
Talanoa Hufanga,SF,LAR,4,2022,False,1,52,1
Xavier Woods,MIN,DAL,8,2021,False,1,12,0
Paulson Adebo,NO,CHI,9,2023,False,2,5,0
Marcus Maye,NO,CHI,9,2023,False,1,0,0
Devon Witherspoon,SEA,NYG,4,2023,True,1,97,1
Quandre Diggs,SEA,NYG,4,2023,True,1,21,0
Greedy Williams,CLE,LV,15,2021,False,1,7,0
Marlon Davidson,ATL,TB,13,2021,False,1,3,1
Myles Bryant,NE,JAX,17,2021,False,1,33,0
Kyle Dugger,NE,JAX,17,2021,False,1,20,0
J.C. Jackson,NE,JAX,17,2021,False,1,0,0
Harrison Smith,MIN,SF,12,2021,True,1,10,0
Azeez Al-Shaair,SF,MIN,12,2021,False,1,24,0
Grant Delpit,CLE,PIT,2,2023,True,1,0,0
Alex Highsmith,PIT,CLE,2,2023,False,1,30,1
Bradley Chubb,DEN,LV,16,2021,True,1,21,0
Kendall Fuller,WSH,HOU,11,2022,True,1,37,1
Darrick Forrest,WSH,HOU,11,2022,True,1,0,0
Marlon Humphrey,BAL,CIN,7,2021,False,1,0,0
Lorenzo Carter,NYG,DAL,5,2021,True,1,1,0
Anthony Brown,DAL,NYG,5,2021,False,1,45,1
Trevon Diggs,DAL,NYG,5,2021,False,1,18,0
Kyle Dugger,NE,MIA,17,2022,False,1,39,1
Jonathan Jones,NE,MIA,17,2022,False,1,2,0
Bravvion Roy,CAR,BAL,11,2022,True,1,3,0
Jason Pierre-Paul,BAL,CAR,11,2022,False,1,3,0
Marlon Humphrey,BAL,CAR,11,2022,False,1,0,0
Deion Jones,CAR,SEA,3,2023,True,1,0,0
Marcus Williams,BAL,MIA,2,2022,False,2,0,0
Harrison Smith,MIN,WSH,9,2022,True,1,35,0
Danny Johnson,WSH,MIN,9,2022,False,1,0,0
Mike Edwards,TB,ATL,2,2021,False,2,46,2
Shaquil Barrett,TB,ATL,2,2021,False,1,3,0
Zaven Collins,ARI,WSH,1,2023,True,1,1,0
Randy Gregory,DAL,WSH,14,2021,True,1,12,0
Cole Holcomb,WSH,DAL,14,2021,False,1,31,1
Landon Collins,WSH,DAL,14,2021,False,1,3,0
Richie Grant,ATL,SEA,3,2022,True,1,12,0
Riq Woolen,SEA,ATL,3,2022,False,1,7,0
Alex Anzalone,DET,BUF,12,2022,False,1,4,0
Antonio Johnson,JAX,CAR,17,2023,False,1,27,0
Derrick Brown,CAR,NO,14,2023,True,1,2,0
Nate Hobbs,LV,WSH,13,2021,False,1,9,0
Paulson Adebo,NO,ATL,18,2021,True,1,17,0
Andre Cisco,JAX,KC,2,2023,False,1,0,0
Darious Williams,JAX,BUF,5,2023,True,1,0,0
Talanoa Hufanga,SF,NYG,3,2023,False,1,8,0
J.C. Jackson,NE,TEN,12,2021,False,1,0,0
Harrison Smith,MIN,NYJ,13,2022,False,1,8,0
Camryn Bynum,MIN,NYJ,13,2022,False,1,5,0
Patrick Peterson,MIN,NYJ,13,2022,False,0,1,0
Jayron Kearse,DAL,NYJ,2,2023,False,1,32,0
Trevon Diggs,DAL,NYJ,2,2023,False,1,8,0
Malik Hooker,DAL,NYJ,2,2023,False,1,0,0
J.C. Jackson,LAC,MIA,1,2023,False,1,9,0
Jerome Baker,MIA,PHI,7,2023,True,1,22,1
Darius Slay Jr.,PHI,MIA,7,2023,False,1,16,0
Jaycee Horn,CAR,ATL,10,2022,False,1,18,0
Zaven Collins,ARI,SEA,9,2022,False,1,30,1
Byron Murphy Jr.,MIN,NO,10,2023,False,1,4,0
Mekhi Blackmon,MIN,NO,10,2023,False,1,0,0
Tashaun Gipson Sr.,CHI,BAL,11,2021,False,1,0,0
Geno Stone,BAL,DET,7,2023,False,1,0,0
Kristian Fulton,TEN,HOU,8,2022,True,1,0,0
Steven Nelson,HOU,TEN,8,2022,False,1,33,0
Will Harris,DET,TB,6,2023,True,1,0,0
Devin Lloyd,JAX,NYJ,16,2022,True,1,19,0
Andre Cisco,JAX,NYJ,16,2022,True,0,4,0
Josh Norman,SF,CHI,8,2021,True,1,40,0
Tavierre Thomas,HOU,LAC,16,2021,False,1,48,1
Jonathan Owens,HOU,LAC,16,2021,False,1,7,0
Duron Harmon,LV,TEN,3,2022,True,1,13,0
Kevin Byard III,TEN,LV,3,2022,False,1,24,0
Xavier Woods,CAR,TB,13,2023,True,1,-3,0
Antoine Winfield Jr.,TB,CAR,13,2023,False,1,0,0
Ernest Jones IV,LAR,HOU,8,2021,True,1,19,0
Cam Taylor-Britt,CIN,ARI,5,2023,True,1,11,1
Germaine Pratt,CIN,ARI,5,2023,True,1,0,0
K'Von Wallace,ARI,CIN,5,2023,False,1,2,0
James Bradberry IV,NYG,WSH,2,2021,True,1,5,0
Budda Baker,ARI,SF,9,2021,True,1,7,0
Devin McCourty,NE,IND,15,2021,True,1,0,0
Bobby Okereke,IND,NE,15,2021,False,1,16,0
Shaquille Leonard,IND,NE,15,2021,False,1,-3,0
Jessie Bates III,ATL,IND,16,2023,False,1,0,0
Damontae Kazee,PIT,NO,10,2022,False,1,2,0
Levi Wallace,PIT,NO,10,2022,False,1,0,0
Denzel Ward,CLE,CIN,9,2021,True,1,99,1
John Johnson III,CLE,CIN,9,2021,True,1,31,0
Bobby McCain,WSH,NYG,18,2021,True,2,39,1
John Johnson III,LAR,WSH,15,2023,False,1,2,0
Darious Williams,JAX,CLE,14,2023,True,1,11,0
Martin Emerson Jr.,CLE,JAX,14,2023,False,2,11,0
Greg Newsome II,CLE,JAX,14,2023,False,1,0,0
Quandre Diggs,SEA,LAR,15,2021,True,1,25,0
Taylor Rapp,LAR,SEA,15,2021,False,1,0,0
Julian Blackmon,IND,MIN,15,2022,True,1,17,1
Rodney Thomas II,IND,MIN,15,2022,True,1,0,0
Darrick Forrest,WSH,PHI,10,2022,True,1,0,0
C.J. Gardner-Johnson,PHI,WSH,10,2022,False,1,0,0
Jaire Alexander,GB,DET,9,2022,True,1,29,0
Kerby Joseph,DET,GB,9,2022,False,2,9,0
Aidan Hutchinson,DET,GB,9,2022,False,1,0,0
Duron Harmon,ATL,JAX,12,2021,True,1,0,0
Tyson Campbell,JAX,ATL,12,2021,False,1,0,0
P.J. Williams,NO,WSH,5,2021,True,1,0,0
Paulson Adebo,NO,WSH,5,2021,True,1,0,0
Cole Holcomb,WSH,NO,5,2021,False,1,23,0
Pat Surtain II,DEN,KC,13,2021,True,1,0,0
Daniel Sorensen,KC,DEN,13,2021,False,1,75,1
Juan Thornhill,KC,DEN,13,2021,False,1,13,0
