name,team,opponent,week,season,isHome,INT,YDS,TD
Brian Branch,DET,MIN,16,2023,True,1,0,0
Jeremy Chinn,CAR,BUF,15,2021,True,1,0,0
A.J. Klein,BUF,CAR,15,2021,False,1,12,0
Greedy Williams,CLE,MIN,4,2021,True,1,0,0
Reed Blankenship,PHI,TB,3,2023,True,1,0,0
Devin White,TB,PHI,3,2023,False,1,26,0
Dee Delaney,TB,PHI,3,2023,False,1,0,0
Tremaine Edmunds,CHI,DET,11,2023,True,1,10,0
Tyrique Stevenson,CHI,DET,11,2023,True,1,5,0
T.J. Edwards,CHI,DET,11,2023,True,1,2,0
Anthony Hitchens,KC,LAC,15,2021,True,1,0,0
Uchenna Nwosu,LAC,KC,15,2021,False,1,2,0
Nick Scott,LAR,SEA,5,2021,True,1,3,0
Troy Reeder,LAR,SEA,5,2021,True,1,0,0
Quandre Diggs,SEA,LAR,5,2021,False,1,0,0
Kevin Byard III,TEN,JAX,5,2021,True,1,0,0
Rodney McLeod Jr.,IND,KC,3,2022,False,1,0,0
Vonn Bell,CAR,NO,2,2023,False,1,11,0
L'Jarius Sneed,KC,GB,9,2021,False,1,0,0
Minkah Fitzpatrick,PIT,CIN,1,2022,True,1,31,1
Cameron Sutton,PIT,CIN,1,2022,True,1,0,0
T.J. Watt,PIT,CIN,1,2022,True,1,0,0
Ahkello Witherspoon,PIT,CIN,1,2022,True,1,0,0
Terrance Mitchell,TEN,DEN,10,2022,False,1,1,0
Caden Sterns,DEN,NYJ,3,2021,False,1,46,0
Justin Simmons,DEN,NYJ,3,2021,False,1,35,0
Josh Allen,JAX,CIN,13,2023,False,1,8,0
Cam Taylor-Britt,CIN,BUF,9,2023,False,1,0,0
Teair Tart,TEN,IND,4,2022,True,1,0,0
Micah McFadden,NYG,BUF,6,2023,True,1,5,0
Denzel Ward,CLE,IND,7,2023,True,1,20,0
Julian Blackmon,IND,CLE,7,2023,False,1,0,0
Rodney Thomas II,IND,CLE,7,2023,False,1,0,0
Jerry Jacobs,DET,CAR,5,2023,False,1,11,0
Aidan Hutchinson,DET,CAR,5,2023,False,1,6,0
Dax Hill,CIN,CLE,1,2023,True,1,20,0
Jordan Fuller,LAR,BAL,17,2021,True,1,34,0
Chuck Clark,BAL,LAR,17,2021,False,2,17,1
Jaire Alexander,GB,BUF,8,2022,True,1,3,0
Rasul Douglas,GB,BUF,8,2022,True,1,-1,0
Matt Milano,BUF,GB,8,2022,False,1,0,0
Rodney Thomas II,IND,DEN,5,2022,True,1,35,0
Stephon Gilmore,IND,DEN,5,2022,True,1,0,0
Caden Sterns,DEN,IND,5,2022,False,2,25,0
David Long Jr.,TEN,WSH,5,2022,True,1,0,0
Lonnie Johnson Jr.,HOU,ARI,7,2021,True,1,15,0
Alex Austin,NE,BUF,17,2023,True,1,0,0
Rasul Douglas,BUF,NE,17,2023,False,2,50,1
Ed Oliver,BUF,NE,17,2023,False,1,0,0
Jordan Whitehead,NYJ,LV,10,2023,True,1,6,0
Robert Spillane,LV,NYJ,10,2023,False,1,25,0
Jamal Adams,SEA,GB,10,2021,True,1,0,0
Adrian Amos,GB,SEA,10,2021,False,1,0,0
Kevin King,GB,SEA,10,2021,False,1,0,0
Rudy Ford,GB,DAL,10,2022,False,2,68,0
Trenton Thompson,PIT,CIN,12,2023,True,1,6,0
Ji'Ayir Brown,SF,TB,11,2023,False,1,0,0
Jaylinn Hawkins,ATL,CHI,11,2022,False,1,0,0
Jabrill Peppers,NE,BUF,7,2023,False,1,1,0
Jack Sanborn,CHI,KC,3,2023,True,1,42,0
Quindell Johnson,CHI,KC,3,2023,True,1,0,0
Mike Edwards,KC,CHI,3,2023,False,1,16,0
Jerry Jacobs,DET,NYJ,15,2022,True,1,38,0
Charvarius Ward,SF,ARI,15,2023,True,2,79,1
Jessie Bates III,ATL,NYJ,13,2023,True,1,0,0
Nasir Adderley,LAC,HOU,4,2022,True,1,30,0
Bryce Callahan,LAC,HOU,4,2022,True,1,9,0
Joey Blount,ARI,PHI,17,2023,True,1,0,0
Sydney Brown,PHI,ARI,17,2023,False,1,99,1
Kyzir White,LAC,BAL,6,2021,True,2,22,0
DeShon Elliott,BAL,LAC,6,2021,False,1,0,0
Foyesade Oluokun,ATL,MIA,7,2021,True,1,56,0
Jaylinn Hawkins,ATL,MIA,7,2021,True,1,0,0
Xavien Howard,MIA,ATL,7,2021,False,1,0,0
Jack Jones,NE,GB,4,2022,True,1,40,1
Jaire Alexander,GB,MIA,16,2022,True,1,23,0
De'Vondre Campbell,GB,MIA,16,2022,True,1,14,0
Rasul Douglas,GB,MIA,16,2022,True,1,5,0
Kader Kohou,MIA,GB,16,2022,False,1,0,0
Jack Jones,LV,LAC,15,2023,False,1,16,1
J.C. Jackson,NE,NYJ,2,2021,True,2,1,0
Devin McCourty,NE,NYJ,2,2021,True,1,22,0
Adrian Phillips,NE,NYJ,2,2021,True,1,1,0
Travin Howard,LAR,MIN,16,2021,True,1,19,0
Anthony Barr,MIN,LAR,16,2021,False,2,11,0
Xavier Woods,MIN,LAR,16,2021,False,1,15,0
Julian Okwara,DET,PIT,10,2021,True,1,9,0
Jonathan Jones,NE,MIA,1,2021,False,1,0,0
James Bradberry IV,NYG,CAR,7,2021,False,1,14,0
Alex Singleton,PHI,NYG,16,2021,False,1,29,1
Rodney McLeod Jr.,PHI,NYG,16,2021,False,1,24,0
Keanu Neal,TB,ARI,16,2022,True,1,0,0
Marco Wilson,ARI,TB,16,2022,False,2,39,0
Tre'von Moehrig,LV,DEN,18,2023,False,1,0,0
Derwin James Jr.,LAC,DEN,12,2021,True,1,5,0
Pat Surtain II,DEN,LAC,12,2021,False,2,70,1
Jordan Fuller,LAR,DAL,8,2023,True,1,18,0
DaRon Bland,DAL,LAR,8,2023,False,1,30,1
Bashaud Breeland,MIN,CAR,6,2021,True,1,8,0
Derwin James Jr.,LAC,ARI,12,2022,True,1,0,0
Jalen Ramsey,LAR,DET,7,2021,False,1,25,0
Nick Scott,LAR,DET,7,2021,False,1,0,0
Riq Woolen,SEA,ARI,6,2022,False,1,0,0
Ambry Thomas,SF,SEA,12,2023,True,1,2,0
Jordyn Brooks,SEA,SF,12,2023,False,1,12,1
Henry Black,GB,ARI,8,2021,True,1,0,0
Rasul Douglas,GB,ARI,8,2021,True,1,0,0
Mykal Walker,ATL,WSH,12,2022,True,1,12,0
Kendall Fuller,WSH,ATL,12,2022,False,1,0,0
Tashaun Gipson Sr.,SF,TB,14,2022,False,1,36,0
Dre Greenlaw,SF,TB,14,2022,False,1,0,0
Nate Landman,ATL,ARI,10,2023,True,1,25,0
Willie Gay,KC,DEN,14,2022,True,1,47,1
L'Jarius Sneed,KC,DEN,14,2022,True,1,6,0
Josey Jewell,DEN,KC,14,2022,False,2,21,0
Pat Surtain II,DEN,KC,14,2022,False,1,0,0
Andre Cisco,JAX,TEN,18,2023,True,1,29,0
Terrell Edmunds,TEN,JAX,18,2023,False,1,2,0
Sean Murphy-Bunting,TEN,JAX,18,2023,False,1,2,0
Xavier Rhodes,IND,SF,7,2021,True,1,4,0
Khari Willis,IND,SF,7,2021,True,1,0,0
Amani Oruwariye,DET,CHI,12,2021,False,1,0,0
C.J. Gardner-Johnson,PHI,DAL,6,2022,False,2,15,0
Darius Slay Jr.,PHI,DAL,6,2022,False,1,-2,0
Jaylen Watson,KC,LAC,2,2022,False,1,99,1
Ashtyn Davis,NYJ,KC,4,2023,False,1,1,0
C.J. Mosley,NYJ,KC,4,2023,False,1,0,0
Kendall Fuller,WSH,ATL,6,2023,True,1,23,0
Jamin Davis,WSH,ATL,6,2023,True,1,0,0
Benjamin St-Juste,WSH,ATL,6,2023,True,1,0,0
Kareem Jackson,DEN,JAX,2,2021,True,1,7,0
Pat Surtain II,DEN,JAX,2,2021,True,1,0,0
Jaire Alexander,GB,CHI,13,2022,True,1,4,0
Keisean Nixon,GB,CHI,13,2022,True,1,1,0
Landon Collins,NYG,IND,17,2022,False,1,52,1
Jalen Thompson,ARI,CHI,16,2023,True,1,0,0
Budda Baker,ARI,DEN,15,2022,True,1,1,0
Justin Simmons,DEN,ARI,15,2022,False,2,43,0
Pat Surtain II,DEN,ARI,15,2022,False,1,-3,0
DaRon Bland,DAL,JAX,15,2022,True,1,15,0
Rayshawn Jenkins,JAX,DAL,15,2022,False,2,54,1
Dane Belton,NYG,HOU,10,2022,False,1,0,0
Willie Gay,KC,NE,15,2023,True,1,24,0
Marte Mapu,NE,KC,15,2023,False,1,20,0
Jahlani Tavai,NE,KC,15,2023,False,1,2,0
Denzel Ward,CLE,ATL,4,2022,True,1,0,0
Dee Alford,ATL,CLE,4,2022,False,1,0,0
De'Vondre Campbell,GB,CIN,5,2021,True,1,13,0
Adrian Amos,GB,CIN,5,2021,True,1,0,0
Chidobe Awuzie,CIN,GB,5,2021,False,1,42,0
Micah Hyde,BUF,NE,16,2021,True,2,22,0
Brian Branch,DET,NO,13,2023,True,1,13,0
Buster Skrine,TEN,JAX,14,2021,False,1,17,0
Jayon Brown,TEN,JAX,14,2021,False,1,2,0
Rashaan Evans,TEN,JAX,14,2021,False,1,1,0
Kristian Fulton,TEN,JAX,14,2021,False,1,0,0
James Bradberry IV,NYG,NO,4,2021,True,1,0,0
Marcus Williams,NO,NYG,4,2021,False,1,3,0
Ahkello Witherspoon,PIT,MIN,14,2021,True,2,45,0
Bashaud Breeland,MIN,PIT,14,2021,False,1,18,0
Andrew Adams,TB,CAR,18,2021,False,1,17,0
AJ Epenesa,BUF,KC,14,2023,True,1,6,0
Chamarri Conner,KC,BUF,14,2023,False,1,4,0
Aidan Hutchinson,DET,CHI,17,2022,False,1,5,0
Brandin Echols,NYJ,TB,17,2021,False,1,30,0
Julian Blackmon,IND,PIT,15,2023,False,1,25,0
Nick Cross,IND,PIT,15,2023,False,1,18,0
Rasul Douglas,GB,CHI,14,2021,False,1,55,1
Chandon Sullivan,GB,CHI,14,2021,False,1,1,0
Desmond King II,HOU,TEN,11,2021,True,2,25,0
Kamu Grugier-Hill,HOU,TEN,11,2021,True,1,82,0
Terrance Mitchell,HOU,TEN,11,2021,True,1,22,0
Keisean Nixon,GB,KC,13,2023,False,1,2,0
Grant Delpit,CLE,WSH,17,2022,True,2,0,0
Denzel Ward,CLE,WSH,17,2022,True,1,0,0
James Bradberry IV,PHI,DET,1,2022,True,1,27,1
Cameron Heyward,PIT,CHI,9,2021,False,1,0,0
Andre Cisco,JAX,KC,10,2022,True,1,8,0
Darrick Forrest,WSH,SF,16,2022,True,1,0,0
Jimmie Ward,SF,WSH,16,2022,False,1,0,0
Jack Jones,LV,KC,16,2023,True,1,33,1
Mike Hilton,CIN,CLE,18,2021,True,1,35,0
Deommodore Lenoir,SF,LAR,2,2023,True,1,21,0
Isaiah Oliver,SF,LAR,2,2023,True,1,3,0
Marcus Peters,LV,DET,8,2023,True,1,75,1
Kerby Joseph,DET,LV,8,2023,False,1,15,0
Quandre Diggs,SEA,NYJ,17,2022,False,1,27,0
Michael Jackson,SEA,NYJ,17,2022,False,1,22,0
Brandon Jones,MIA,NYJ,15,2023,False,2,40,0
Minkah Fitzpatrick,PIT,ATL,13,2022,True,1,16,0
Denzel Perryman,LV,PIT,16,2022,True,1,24,0
Arthur Maulet,PIT,LV,16,2022,False,1,12,0
Cameron Sutton,PIT,LV,16,2022,False,1,0,0
Minkah Fitzpatrick,PIT,LV,16,2022,False,1,0,0
Tre'von Moehrig,LV,LAC,4,2023,True,1,16,0
Asante Samuel Jr.,LAC,LV,4,2023,False,1,8,0
Josh Sweat,PHI,DAL,16,2022,True,1,42,1
Jayron Kearse,DAL,PHI,16,2022,False,1,2,0
DaRon Bland,DAL,PHI,16,2022,False,1,0,0
Lamarcus Joyner,NYJ,DEN,7,2022,True,1,27,0
Jonathan Jones,NE,MIN,12,2022,True,1,55,0
Derek Stingley Jr.,HOU,JAX,12,2023,False,1,14,0
Kyle Dugger,NE,NYJ,7,2021,False,1,14,0
J.C. Jackson,NE,NYJ,7,2021,False,1,0,0
Eddie Jackson,CHI,DAL,8,2022,True,1,21,0
Theo Jackson,MIN,PHI,2,2023,True,1,0,0
Jason Pinnock,NYG,GB,14,2023,False,1,21,0
Dane Belton,NYG,PHI,18,2022,True,1,0,0
Christian Harris,HOU,TEN,16,2022,True,1,20,0
Jalen Pitre,HOU,TEN,16,2022,True,1,6,0
Jack Gibbens,TEN,HOU,16,2022,False,1,7,0
Kyle Dugger,NE,MIA,8,2023,True,1,15,0
Jalen Ramsey,MIA,NE,8,2023,False,1,49,0
Jonathan Jones,NE,IND,9,2022,False,1,17,1
DaRon Bland,DAL,CAR,11,2023,True,1,30,1
Marcus Peters,BAL,NE,3,2022,True,1,8,0
Josh Bynes,BAL,NE,3,2022,True,1,0,0
Marlon Humphrey,BAL,NE,3,2022,True,1,0,0
Jonathan Jones,NE,BAL,3,2022,False,1,15,0
Jonathon Cooper,DEN,LAC,14,2023,True,1,4,0
Michael Davis,LAC,DEN,14,2023,False,1,0,0
Eli Apple,CIN,LV,11,2021,True,1,0,0
DaRon Bland,DAL,WSH,4,2022,False,1,4,0
Trevon Diggs,DAL,WSH,4,2022,False,1,0,0
Kevin Byard III,TEN,LAR,9,2021,True,1,24,1
David Long Jr.,TEN,LAR,9,2021,True,1,6,0
Jalen Ramsey,LAR,TEN,9,2021,False,1,6,0
Kyle Hamilton,BAL,SF,16,2023,True,2,7,0
Marcus Williams,BAL,SF,16,2023,True,1,22,0
Patrick Queen,BAL,SF,16,2023,True,1,21,0
Marlon Humphrey,BAL,SF,16,2023,True,1,3,0
Patrick Peterson,MIN,BUF,10,2022,True,2,46,0
Christian Benford,BUF,MIN,10,2022,False,1,35,0
Dane Jackson,BUF,MIN,10,2022,False,1,11,0
Amani Hooker,TEN,SF,16,2021,False,1,21,0
Janoris Jenkins,TEN,SF,16,2021,False,1,0,0
Dax Hill,CIN,TEN,4,2023,True,1,0,0
Chris Harris Jr.,LAC,CIN,13,2021,True,1,0,0
Michael Davis,LAC,CIN,13,2021,True,1,0,0
Chidobe Awuzie,CIN,LAC,13,2021,False,1,0,0
Demario Davis,NO,TB,13,2022,True,1,4,0
Mike Edwards,TB,CLE,12,2022,True,1,0,0
Akayleb Evans,MIN,CIN,15,2023,True,1,1,0
Mike Hilton,CIN,MIN,15,2023,False,1,16,0
B.J. Hill,CIN,MIN,15,2023,False,1,0,0
Reed Blankenship,PHI,WSH,8,2023,True,1,17,0
Tony Adams,NYJ,PHI,6,2023,False,1,45,0
Quinnen Williams,NYJ,PHI,6,2023,False,1,7,0
Bryce Hall,NYJ,PHI,6,2023,False,1,5,0
Talanoa Hufanga,SF,LAC,10,2022,False,1,6,0
Ja'Sir Taylor,LAC,CHI,8,2023,False,1,8,0
Derwin James Jr.,LAC,CHI,8,2023,False,1,6,0
Trevon Diggs,DAL,PHI,3,2021,False,1,59,1
Anthony Brown,DAL,PHI,3,2021,False,1,0,0
Jalen Mills,NE,PIT,2,2022,True,1,13,0
Minkah Fitzpatrick,PIT,NE,2,2022,False,1,13,0
Patrick Peterson,MIN,NYG,16,2022,False,1,11,0
Matt Milano,BUF,LV,2,2023,False,1,3,0
Terrel Bernard,BUF,LV,2,2023,False,1,0,0
Sione Takitaki,CLE,ARI,9,2023,False,1,0,0
Denzel Ward,CLE,ARI,9,2023,False,1,0,0
Emmanuel Forbes Jr.,WSH,DEN,2,2023,True,1,3,0
Josh Metellus,MIN,GB,8,2023,True,1,43,0
Jonathan Greenard,HOU,IND,18,2022,True,1,39,1
Christian Kirksey,HOU,IND,18,2022,True,1,18,0
Rodney McLeod Jr.,IND,HOU,18,2022,False,1,27,1
Rodney Thomas II,IND,HOU,18,2022,False,1,11,0
T.J. Watt,PIT,LAR,7,2023,True,1,24,0
Isaiah Rodgers Sr.,IND,LV,17,2021,False,1,12,0
Shaquille Leonard,IND,LV,17,2021,False,1,7,0
Emmanuel Moseley,SF,CAR,5,2022,True,1,41,1
Deion Jones,CLE,CIN,14,2022,True,1,5,0
Jessie Bates III,CIN,CLE,14,2022,False,1,7,0
Zach Sieler,MIA,TEN,14,2023,False,1,5,1
Nahshon Wright,DAL,TEN,17,2022,True,1,0,0
Kevin Byard III,TEN,DAL,17,2022,False,2,30,0
Derrick Brown,CAR,NO,3,2022,False,1,0,0
Jaycee Horn,CAR,NO,3,2022,False,1,0,0
Anthony Averett,BAL,LV,1,2021,True,1,0,0
Levi Wallace,PIT,LV,3,2023,True,2,0,0
Patrick Peterson,PIT,LV,3,2023,True,1,0,0
DeAndre Houston-Carson,CHI,LV,5,2021,True,1,0,0
Devin McCourty,NE,NYJ,8,2022,True,2,36,0
Ja'Whaun Bentley,NE,NYJ,8,2022,True,1,7,0
Michael Carter II,NYJ,NE,8,2022,False,1,0,0
Malcolm Jenkins,NO,NE,3,2021,True,1,34,1
P.J. Williams,NO,NE,3,2021,True,1,46,0
Marshon Lattimore,NO,NE,3,2021,True,1,20,0
Amani Oruwariye,DET,CLE,11,2021,True,1,5,0
AJ Parker,DET,CLE,11,2021,True,1,0,0
Malcolm Smith,CLE,DET,11,2021,False,1,1,0
Denzel Ward,CLE,DET,11,2021,False,1,0,0
Ashtyn Davis,NYJ,CLE,2,2022,True,1,14,0
Alohi Gilman,LAC,CLE,5,2022,True,1,18,0
Xavier Woods,CAR,ATL,15,2023,False,1,2,0
Reed Blankenship,PHI,GB,12,2022,False,1,4,0
Josiah Scott,PHI,GB,12,2022,False,1,0,0
Jaire Alexander,GB,CHI,2,2022,False,1,0,0
Anthony Averett,BAL,DEN,4,2021,True,1,0,0
Tre Flowers,CIN,TB,15,2022,True,1,0,0
Germaine Pratt,CIN,TB,15,2022,True,1,0,0
Carlton Davis III,TB,CIN,15,2022,False,1,0,0
Rayshawn Jenkins,JAX,BAL,15,2023,False,1,18,0
William Jackson III,WSH,LAC,1,2021,False,1,0,0
Foyesade Oluokun,ATL,DET,16,2021,False,1,6,0
Matt Milano,BUF,NYJ,1,2023,True,1,13,0
Jordan Whitehead,NYJ,BUF,1,2023,False,3,0,0
Krys Barnes,ARI,HOU,11,2023,True,1,46,0
Antonio Hamilton Sr.,ARI,HOU,11,2023,True,1,0,0
Jalen Thompson,ARI,HOU,11,2023,True,1,0,0
Derek Stingley Jr.,HOU,ARI,11,2023,False,1,0,0
Anthony Averett,BAL,CLE,14,2021,True,1,21,0
Julian Love,NYG,BAL,6,2022,False,1,27,0
Xavien Howard,MIA,CAR,12,2021,False,1,16,0
Nik Needham,MIA,CAR,12,2021,False,1,0,0
Jevon Holland,MIA,CAR,12,2021,False,1,0,0
De'Vondre Campbell,GB,DET,2,2021,False,1,2,0
Riq Woolen,SEA,DET,4,2022,True,1,40,1
Trevon Diggs,DAL,CAR,4,2021,False,2,23,0
Amik Robertson,LV,ARI,2,2022,False,1,7,0
Sauce Gardner,NYJ,BUF,9,2022,False,1,16,0
Jordan Whitehead,NYJ,BUF,9,2022,False,1,5,0
Ernest Jones IV,LAR,ARI,14,2021,True,1,31,0
Leonard Floyd,LAR,ARI,14,2021,True,1,11,0
D'Anthony Bell,CLE,CIN,18,2023,True,1,2,0
Logan Wilson,CIN,CLE,18,2023,False,1,26,0
Jordan Battle,CIN,CLE,18,2023,False,1,0,0
Jordan Poyer,BUF,MIA,8,2021,False,1,26,0
Caden Sterns,DEN,DAL,9,2021,True,1,1,0
Xavien Howard,MIA,NE,2,2023,True,1,0,0
Christian Gonzalez,NE,MIA,2,2023,False,1,0,0
Carlton Davis III,TB,IND,12,2023,True,1,3,0
Ronnie Harrison Jr.,IND,TB,12,2023,False,1,9,0
Troy Reeder,LAR,IND,2,2021,True,1,2,0
Jalen Ramsey,LAR,IND,2,2021,True,1,0,0
Khari Willis,IND,LAR,2,2021,False,1,0,0
Darious Williams,JAX,ATL,4,2023,False,1,61,1
Andre Cisco,JAX,ATL,4,2023,False,1,18,0
DaRon Bland,DAL,WSH,12,2023,False,1,63,1
Eric Wilson,PHI,KC,4,2021,False,1,7,0
Jeff Okudah,DET,CHI,10,2022,True,1,20,1
Tyrann Mathieu,KC,BAL,2,2021,True,2,50,1
Tavon Young,BAL,KC,2,2021,False,1,0,0
Emmanuel Moseley,SF,LAR,18,2021,True,1,0,0
Ambry Thomas,SF,LAR,18,2021,True,1,0,0
Jalen Ramsey,LAR,SF,18,2021,False,1,10,0
Taylor Rapp,LAR,SF,18,2021,False,1,0,0
Tyrann Mathieu,NO,ATL,18,2023,False,1,74,0
Alontae Taylor,NO,ATL,18,2023,False,1,16,0
Antoine Winfield Jr.,TB,DAL,1,2022,True,1,15,0
Donovan Wilson,DAL,TB,1,2022,False,1,0,0
Shaquil Barrett,TB,CHI,2,2023,False,1,4,1
Christian Izien,TB,CHI,2,2023,False,1,4,0
Isaiah Rodgers Sr.,IND,HOU,6,2021,False,1,12,0
Shaquille Leonard,IND,HOU,6,2021,False,1,4,0
P.J. Locke,DEN,GB,7,2023,False,1,14,0
Tyrann Mathieu,KC,LV,14,2021,False,1,6,0
Justin Houston,BAL,NO,9,2022,True,1,5,0
Mykal Walker,ATL,CAR,14,2021,True,1,66,1
A.J. Terrell,ATL,CAR,14,2021,True,1,0,0
Casey Hayward,LV,LAC,18,2021,False,1,0,0
Jordan Fuller,LAR,NYG,17,2023,True,1,0,0
Dane Belton,NYG,LAR,17,2023,False,2,22,0
Daniel Sorensen,KC,LV,10,2021,True,1,0,0
Cody Barton,SEA,TB,10,2022,True,1,1,0
Riq Woolen,SEA,TB,10,2022,True,1,0,0
Justin Reid,HOU,CLE,2,2021,True,1,24,0
Malcolm Smith,CLE,HOU,2,2021,False,1,0,0
Kenneth Murray Jr.,LAC,MIN,3,2023,True,1,0,0
Quan Martin,WSH,NE,9,2023,True,1,0,0
Kyle Dugger,NE,WSH,9,2023,False,1,20,0
Tashaun Gipson Sr.,SF,ARI,18,2022,False,2,35,0
George Odum,SF,ARI,18,2022,False,1,25,0
Jordan Poyer,BUF,TEN,6,2021,True,1,17,0
Kevin Byard III,TEN,BUF,6,2021,False,1,16,0
Nik Needham,MIA,NO,16,2021,True,1,28,1
Brandon Jones,MIA,NO,16,2021,True,1,8,0
Marshon Lattimore,NO,MIA,16,2021,False,1,0,0
Roquan Smith,BAL,MIA,17,2023,False,1,30,0
Geno Stone,BAL,MIA,17,2023,False,1,4,0
Logan Wilson,CIN,PIT,3,2021,True,2,13,0
Terrell Edmunds,PIT,CIN,3,2021,False,1,15,0
Blake Cashman,HOU,JAX,3,2023,True,1,0,0
Taylor Rapp,LAR,GB,15,2022,True,1,18,0
Rasul Douglas,GB,LAR,15,2022,False,1,0,0
Marcus Williams,NO,GB,1,2021,False,1,53,0
Paulson Adebo,NO,GB,1,2021,False,1,33,0
Budda Baker,ARI,SF,5,2021,False,1,17,0
Adrian Phillips,NE,LAC,8,2021,True,2,38,1
Josh Allen,JAX,BUF,9,2021,False,1,11,0
Rudy Ford,JAX,BUF,9,2021,False,1,8,0
Eric Murray,HOU,MIA,9,2021,True,1,0,0
Maliek Collins,HOU,MIA,9,2021,True,1,0,0
Justin Coleman,MIA,HOU,9,2021,False,1,0,0
Jerome Baker,MIA,HOU,9,2021,False,1,0,0
Jevon Holland,MIA,HOU,9,2021,False,1,0,0
C.J. Gardner-Johnson,PHI,ARI,5,2022,True,1,0,0
Sean Murphy-Bunting,TB,KC,4,2022,False,1,33,0
Rasul Douglas,GB,CLE,16,2021,False,2,17,0
Chandon Sullivan,GB,CLE,16,2021,False,1,13,0
Darnell Savage,GB,CLE,16,2021,False,1,0,0
Bryce Callahan,LAC,LV,13,2022,True,1,26,1
Camryn Bynum,MIN,BAL,9,2021,True,1,27,0
Anthony Barr,MIN,BAL,9,2021,True,1,0,0
Cameron Sutton,DET,MIN,18,2023,False,1,23,0
C.J. Gardner-Johnson,DET,MIN,18,2023,False,1,0,0
Tyson Campbell,JAX,IND,1,2023,True,1,0,0
Tony Brown,IND,JAX,1,2023,False,1,34,0
Budda Baker,ARI,CHI,13,2021,True,1,77,0
Zach Allen,ARI,CHI,13,2021,True,1,25,0
Byron Murphy Jr.,ARI,CHI,13,2021,True,1,13,0
Jalen Thompson,ARI,CHI,13,2021,True,1,6,0
Trevon Diggs,DAL,NE,6,2021,True,1,42,1
Kyle Dugger,NE,DAL,6,2021,False,1,29,0
Logan Wilson,CIN,NYJ,3,2022,True,1,41,0
Jessie Bates III,CIN,NYJ,3,2022,True,1,1,0
Levi Wallace,BUF,MIA,2,2021,True,1,14,0
Xavien Howard,MIA,BUF,2,2021,False,1,1,0
Geno Stone,BAL,CIN,2,2023,True,1,36,0
Vonn Bell,CIN,MIA,4,2022,False,2,46,0
Kenny Moore II,IND,TEN,3,2021,True,1,32,0
Shaquille Leonard,IND,TEN,3,2021,True,1,4,0
Logan Wilson,CIN,CHI,2,2021,True,1,18,0
Roquan Smith,CHI,CIN,2,2021,False,1,53,1
Angelo Blackson,CHI,CIN,2,2021,False,1,6,0
Jaylon Johnson,CHI,CIN,2,2021,False,1,3,0
Jalen Mills,NE,CLE,6,2022,True,1,15,0
Kyle Dugger,NE,CLE,6,2022,True,1,0,0
Kyle Dugger,NE,LV,15,2022,True,1,16,1
C.J. Gardner-Johnson,NO,CAR,17,2021,False,1,18,0
Justin Simmons,DEN,KC,6,2023,True,1,6,0
Justin Reid,KC,DEN,6,2023,False,1,11,0
Nick Bolton,KC,DEN,6,2023,False,1,1,0
Brian Branch,DET,KC,1,2023,True,1,50,1
Dee Delaney,TB,CHI,7,2021,False,1,26,0
Jordan Whitehead,TB,CHI,7,2021,False,1,17,0
Pierre Desir,TB,CHI,7,2021,False,1,0,0
Richard Sherman,TB,BUF,14,2021,False,1,0,0
Derek Stingley Jr.,HOU,DEN,13,2023,False,2,3,0
Jimmie Ward,HOU,DEN,13,2023,False,1,0,0
Drue Tranquill,LAC,LV,1,2022,False,1,20,0
Bryce Callahan,LAC,LV,1,2022,False,1,2,0
Asante Samuel Jr.,LAC,LV,1,2022,False,1,0,0
Kenny Moore II,IND,LAR,4,2023,False,1,0,0
Tershawn Wharton,KC,WSH,6,2021,True,1,0,0
Bobby McCain,WSH,KC,6,2021,False,1,5,0
Kendall Fuller,WSH,KC,6,2021,False,1,0,0
Emmanuel Ogbah,MIA,DEN,3,2023,False,1,5,0
Justin Coleman,MIA,BAL,10,2021,False,1,0,0
Jessie Bates III,ATL,DET,3,2023,True,1,0,0
Donte Jackson,CAR,ARI,10,2021,True,1,21,0
Jalen Thompson,ARI,CAR,10,2021,False,1,10,0
Roquan Smith,BAL,PIT,14,2022,True,1,19,0
Marcus Williams,BAL,PIT,14,2022,True,1,0,0
Patrick Queen,BAL,PIT,14,2022,True,1,0,0
Denzel Perryman,LV,SEA,12,2022,True,1,24,0
Quandre Diggs,SEA,LV,12,2022,False,2,39,0
Tyrique Stevenson,CHI,ATL,17,2023,False,2,7,0
T.J. Edwards,CHI,ATL,17,2023,False,1,2,0
Kyler Gordon,CHI,ATL,17,2023,False,1,0,0
Jessie Bates III,CIN,CAR,9,2022,False,1,16,0
Germaine Pratt,CIN,CAR,9,2022,False,1,3,0
Isaiah Simmons,ARI,NO,7,2022,False,1,56,1
Marco Wilson,ARI,NO,7,2022,False,1,38,1
Antonio Hamilton Sr.,ARI,NO,7,2022,False,1,0,0
Jamel Dean,TB,MIA,5,2021,False,1,6,0
Carlton Davis III,TB,ATL,14,2023,True,1,0,0
CJ Henderson,CAR,ATL,8,2022,True,1,54,0
Donte Jackson,CAR,ATL,8,2022,True,1,0,0
Lorenzo Carter,ATL,CAR,8,2022,False,1,28,1
Nick Vigil,MIN,ARI,2,2021,True,1,38,1
Xavier Woods,MIN,ARI,2,2021,True,1,27,0
Asante Samuel Jr.,LAC,KC,7,2023,True,1,0,0
