name,espnId,season,AG,ESPNWR,LNG,MISC,NTYDS,CMP,BIG,FD,FUM,LST,TGTS,TD,YDS,YAC,Y@C,YDS/G,REC,GP,OP,PTS,TP/G,TD,TYDS,SCRIM,2PTR,CMP,SCRIM/G,YDS/G,AVG
Jaxon Smith-Njigba,4430878,2023,0.0,52.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,12.0,0.0,12.0,12.0,1.0,1.0,0.0,6.0,6.0,1.0,12.0,12.0,0.0,0.0,12.0,12.0,12.0
Jaxon Smith-Njigba,4430878,2023,0.0,29.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,14.0,9.0,5.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,14.0,14.0,4.667
MyCole Pruitt,2508256,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyCole Pruitt,2508256,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyCole Pruitt,2508256,2023,0.0,15.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,6.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0
MyCole Pruitt,2508256,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyCole Pruitt,2508256,2023,0.0,27.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,22.0,0.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0
MyCole Pruitt,2508256,2023,0.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,5.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,9.0,9.0,9.0
MyCole Pruitt,2508256,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyCole Pruitt,2508256,2023,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0
MyCole Pruitt,2508256,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyCole Pruitt,2508256,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyCole Pruitt,2508256,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyCole Pruitt,2508256,2023,0.0,60.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,0.0,20.0,20.0,1.0,1.0,0.0,6.0,6.0,1.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0
