name,team,opponent,week,season,isHome,NO,YDS,AVG,LONG,TD
Diontae Spencer,DEN,DET,14,2021,False,2,13,6.5,11,0
Braxton Berrios,NYJ,MIA,15,2021,True,2,23,11.5,12,0
Tommylee Lewis,MIA,NYJ,15,2021,False,1,5,5.0,5,0
James Proche II,BAL,CIN,18,2022,True,1,8,8.0,8,0
Trent Taylor,CIN,BAL,18,2022,False,2,12,6.0,9,0
Jaelon Darden,CLE,PIT,18,2022,True,1,5,5.0,5,0
Steven Sims,PIT,CLE,18,2022,False,3,20,6.7,12,0
Keisean Nixon,GB,PIT,10,2023,True,1,12,12.0,12,0
Jayden Reed,GB,PIT,10,2023,True,1,0,0.0,0,0
Calvin Austin III,PIT,GB,10,2023,False,2,20,10.0,14,0
Brandon Powell,LAR,SEA,13,2022,False,2,8,4.0,8,0
Jamal Agnew,JAX,PIT,8,2023,True,3,34,11.3,13,0
Dax Milne,WSH,IND,8,2022,True,3,23,7.7,12,0
Keke Coutee,IND,WSH,8,2022,False,2,19,9.5,10,0
Cedrick Wilson Jr.,MIA,SF,13,2022,True,2,21,10.5,14,0
Ray-Ray McCloud III,SF,MIA,13,2022,False,2,34,17.0,20,0
Devin Duvernay,BAL,NYJ,1,2022,True,2,17,8.5,9,0
Braxton Berrios,NYJ,BAL,1,2022,False,2,30,15.0,17,0
Kalif Raymond,DET,DEN,15,2023,False,2,8,4.0,8,0
Austin Trammell,LAR,ARI,12,2023,True,2,22,11.0,11,0
Kalif Raymond,DET,CHI,4,2021,True,3,29,9.7,22,0
Nsimba Webster,CHI,DET,4,2021,False,1,6,6.0,6,0
Shi Smith,CAR,SEA,14,2022,True,2,16,8.0,11,0
Keith Taylor Jr.,CAR,SEA,14,2022,True,1,0,0.0,0,0
Jalen Reagor,PHI,DEN,10,2021,True,2,9,4.5,9,0
Diontae Spencer,DEN,PHI,10,2021,False,2,27,13.5,19,0
Nyheim Hines,IND,NYJ,9,2021,False,1,10,10.0,10,0
Ray-Ray McCloud III,PIT,KC,16,2021,True,1,20,20.0,20,0
Mecole Hardman,KC,PIT,16,2021,False,1,18,18.0,18,0
Jalen Reagor,PHI,NYJ,13,2021,True,1,20,20.0,20,0
Khalil Shakir,BUF,KC,6,2022,True,2,6,3.0,6,0
Mecole Hardman,KC,BUF,6,2022,False,1,10,10.0,10,0
Skyy Moore,KC,BUF,6,2022,False,1,6,6.0,6,0
Skyy Moore,KC,SF,7,2022,True,1,0,0.0,0,0
Kalif Raymond,DET,MIN,3,2022,True,2,23,11.5,12,0
Jalen Reagor,MIN,DET,3,2022,False,2,20,10.0,11,0
Trent Taylor,CIN,BAL,16,2021,False,2,16,8.0,10,0
Keke Coutee,IND,LV,10,2022,True,3,27,9.0,14,0
Keelan Cole Sr.,LV,IND,10,2022,False,2,17,8.5,9,0
Amani Hooker,TEN,BUF,2,2022,True,1,0,0.0,0,0
Kyle Philips,TEN,BUF,2,2022,True,1,0,0.0,0,0
Jamison Crowder,BUF,TEN,2,2022,False,4,41,10.3,16,0
Brandon Powell,LAR,LV,14,2022,False,1,0,0.0,0,0
Cedrick Wilson Jr.,MIA,CHI,9,2022,True,1,8,8.0,8,0
Dante Pettis,CHI,MIA,9,2022,False,1,2,2.0,2,0
Skyy Moore,KC,LAR,12,2022,False,1,0,0.0,0,0
Brandon Powell,LAR,SEA,18,2022,True,3,22,7.3,9,0
DeeJay Dallas,SEA,LAR,18,2022,False,2,24,12.0,20,0
Kalif Raymond,DET,NE,5,2022,True,2,16,8.0,10,0
Marcus Jones,NE,DET,5,2022,False,1,12,12.0,12,0
James Proche II,CLE,HOU,16,2023,True,2,18,9.0,12,0
Robert Woods,HOU,CLE,16,2023,False,2,15,7.5,12,0
Chester Rogers,CLE,PIT,3,2022,False,2,11,5.5,7,0
Desmond King II,HOU,DEN,2,2022,True,1,7,7.0,7,0
Montrell Washington,DEN,HOU,2,2022,False,4,59,14.8,19,0
Mike Hughes,ATL,TB,7,2023,True,1,9,9.0,9,0
Deven Thompkins,TB,ATL,7,2023,False,1,3,3.0,3,0
Freddie Swain,SEA,DET,17,2021,False,2,5,2.5,3,0
Gunner Olszewski,NE,MIA,18,2021,True,2,20,10.0,11,0
K.J. Osborn,MIN,CHI,15,2021,True,3,16,5.3,11,0
Jakeem Grant Sr.,CHI,MIN,15,2021,False,2,5,2.5,6,0
Damiere Byrd,CHI,MIN,15,2021,False,1,0,0.0,0,0
Avery Williams,ATL,DAL,10,2021,True,3,11,3.7,6,0
CeeDee Lamb,DAL,ATL,10,2021,False,2,19,9.5,16,0
Marcus Jones,NE,BUF,18,2022,True,3,25,8.3,13,0
Nyheim Hines,BUF,NE,18,2022,False,1,6,6.0,6,0
Taiwan Jones,BUF,NE,18,2022,False,1,0,0.0,0,0
Deonte Harty,BUF,WSH,3,2023,True,2,27,13.5,23,0
Chester Rogers,TEN,HOU,18,2021,True,4,23,5.8,10,0
Desmond King II,HOU,TEN,18,2021,False,3,24,8.0,13,0
Trenton Irwin,CIN,DET,6,2021,True,2,26,13.0,15,0
Darius Phillips,CIN,DET,6,2021,True,1,0,0.0,0,0
Kalif Raymond,DET,CIN,6,2021,False,3,25,8.3,14,0
Jaydon Mickens,TB,PHI,6,2021,True,3,21,7.0,12,0
Jalen Reagor,PHI,TB,6,2021,False,1,0,0.0,0,0
Amari Rodgers,GB,MIN,1,2022,True,1,12,12.0,12,0
Jalen Reagor,MIN,GB,1,2022,False,1,7,7.0,7,0
Ray-Ray McCloud III,SF,DEN,3,2022,True,5,40,8.0,18,0
Montrell Washington,DEN,SF,3,2022,False,1,9,9.0,9,0
Mason Kinsey,TEN,CLE,3,2023,True,1,13,13.0,13,0
Donovan Peoples-Jones,CLE,TEN,3,2023,False,2,11,5.5,13,0
Isaiah McKenzie,IND,CIN,14,2023,True,1,0,0.0,0,0
Charlie Jones,CIN,IND,14,2023,False,3,12,4.0,6,0
Jaydon Mickens,TB,NE,4,2021,True,2,12,6.0,12,0
Gunner Olszewski,NE,TB,4,2021,False,2,17,8.5,11,0
Nyheim Hines,IND,TEN,7,2022,True,3,47,15.7,24,0
Jalen Reagor,MIN,DET,14,2022,True,1,9,9.0,9,0
Kalif Raymond,DET,MIN,14,2022,False,2,48,24.0,35,0
Steven Sims,HOU,TEN,15,2023,True,2,33,16.5,18,0
Mason Kinsey,TEN,HOU,15,2023,False,4,17,4.3,6,0
Isaiah McKenzie,IND,CAR,9,2023,True,3,11,3.7,10,0
Ihmir Smith-Marsette,CAR,IND,9,2023,False,3,32,10.7,24,0
Kalif Raymond,DET,LAC,10,2023,True,1,12,12.0,12,0
Ray-Ray McCloud III,SF,JAX,10,2023,True,3,22,7.3,9,0
Ronnie Bell,SF,JAX,10,2023,True,1,8,8.0,8,0
Christian Kirk,JAX,SF,10,2023,False,1,15,15.0,15,0
Nyheim Hines,IND,BUF,11,2021,True,1,7,7.0,7,0
Byron Murphy Jr.,ARI,IND,16,2021,False,1,48,48.0,48,0
C.J. Board,TEN,GB,11,2022,True,2,12,6.0,9,0
Keisean Nixon,GB,TEN,11,2022,False,2,37,18.5,24,0
Randall Cobb,GB,TEN,11,2022,False,1,5,5.0,5,0
Greg Dortch,ARI,LAR,10,2022,True,3,40,13.3,17,0
Brandon Powell,LAR,ARI,10,2022,False,3,30,10.0,18,0
KaVontae Turpin,DAL,LAC,6,2023,True,1,15,15.0,15,0
Jalen Tolbert,DAL,LAC,6,2023,True,1,0,0.0,0,0
Derius Davis,LAC,DAL,6,2023,False,2,38,19.0,26,0
Tank Dell,HOU,CAR,8,2023,True,3,25,8.3,20,0
Ihmir Smith-Marsette,CAR,HOU,8,2023,False,3,12,4.0,5,0
Ray-Ray McCloud III,SF,ATL,6,2022,True,1,35,35.0,35,0
Avery Williams,ATL,SF,6,2022,False,2,48,24.0,29,0
Britain Covey,PHI,WSH,3,2022,True,5,34,6.8,12,0
DeVonta Smith,PHI,WSH,3,2022,True,1,12,12.0,12,0
Jalen Reagor,PHI,WSH,17,2021,True,1,7,7.0,7,0
Britain Covey,PHI,IND,11,2022,True,1,13,13.0,13,0
Keke Coutee,IND,PHI,11,2022,False,2,25,12.5,17,0
Brandon Aiyuk,SF,CIN,14,2021,True,2,4,2.0,4,0
Darius Phillips,CIN,SF,14,2021,False,4,20,5.0,12,0
Tyler Boyd,CIN,SF,14,2021,False,1,1,1.0,1,0
Britain Covey,PHI,CHI,15,2022,True,1,7,7.0,7,0
Dante Pettis,CHI,PHI,15,2022,False,2,24,12.0,20,0
Amari Rodgers,GB,DET,18,2021,True,1,23,23.0,23,0
DeAndre Carter,WSH,SEA,12,2021,False,2,8,4.0,8,0
Jamal Agnew,JAX,HOU,1,2021,True,2,1,0.5,1,0
Andre Roberts,HOU,JAX,1,2021,False,3,17,5.7,9,0
Dallis Flowers,IND,DAL,13,2022,True,1,4,4.0,4,0
Elijah Moore,CLE,SEA,8,2023,True,2,23,11.5,13,0
Donovan Peoples-Jones,CLE,SEA,8,2023,True,1,7,7.0,7,0
DeeJay Dallas,SEA,CLE,8,2023,False,2,15,7.5,11,0
Kalif Raymond,DET,SEA,2,2023,False,2,17,8.5,17,0
DeeJay Dallas,SEA,SF,14,2023,True,1,8,8.0,8,0
Ronnie Bell,SF,SEA,14,2023,False,3,27,9.0,16,0
Amari Rodgers,GB,CHI,6,2021,True,2,16,8.0,16,0
Jakeem Grant Sr.,CHI,GB,6,2021,False,2,11,5.5,11,0
Greg Dortch,ARI,LAR,6,2023,True,1,16,16.0,16,0
Austin Trammell,LAR,ARI,6,2023,False,3,30,10.0,29,0
DeAndre Carter,LV,IND,17,2023,True,1,3,3.0,3,0
Avery Williams,ATL,CIN,7,2022,True,2,64,32.0,56,0
Trent Taylor,CIN,ATL,7,2022,False,3,40,13.3,21,0
DeAndre Carter,WSH,DAL,16,2021,True,2,14,7.0,7,0
CeeDee Lamb,DAL,WSH,16,2021,False,1,21,21.0,21,0
Brandon Powell,MIN,CHI,6,2023,True,3,32,10.7,15,0
Trent Taylor,CHI,MIN,6,2023,False,1,12,12.0,12,0
Trenton Irwin,CIN,SF,8,2023,True,1,8,8.0,8,0
Gunner Olszewski,NE,CAR,9,2021,True,2,35,17.5,18,0
Jakobi Meyers,NE,CAR,9,2021,True,1,7,7.0,7,0
Alex Erickson,CAR,NE,9,2021,False,1,4,4.0,4,0
Britain Covey,PHI,NE,1,2023,True,2,30,15.0,25,0
Marcus Jones,NE,PHI,1,2023,False,3,21,7.0,21,0
Jamal Agnew,JAX,NO,7,2023,True,1,9,9.0,9,0
Tevaughn Campbell,JAX,NO,7,2023,True,1,0,0.0,0,0
Jaelon Darden,TB,IND,12,2021,True,2,3,1.5,4,0
Nyheim Hines,IND,TB,12,2021,False,3,22,7.3,13,0
Keke Coutee,IND,JAX,2,2022,True,3,19,6.3,11,0
Jamal Agnew,JAX,IND,2,2022,False,2,7,3.5,12,0
DJ Turner,LV,NO,8,2022,True,1,3,3.0,3,0
Rashid Shaheed,NO,LV,8,2022,False,2,15,7.5,10,0
Desmond King II,HOU,JAX,15,2021,True,3,31,10.3,16,0
Jaydon Mickens,JAX,HOU,15,2021,False,3,49,16.3,48,0
Brandon Powell,MIN,DET,16,2023,False,1,5,5.0,5,0
Montrell Washington,KC,MIN,5,2023,True,1,8,8.0,8,0
Brandon Powell,MIN,KC,5,2023,False,1,3,3.0,3,0
Alex Erickson,CAR,BUF,15,2021,True,1,16,16.0,16,0
Marquez Stevenson,BUF,CAR,15,2021,False,2,31,15.5,17,0
Demetric Felton Jr.,CLE,MIN,4,2021,True,5,25,5.0,9,0
Dede Westbrook,MIN,CLE,4,2021,False,2,11,5.5,11,0
Britain Covey,PHI,TB,3,2023,True,3,81,27.0,52,0
Trent Taylor,CHI,DET,11,2023,True,1,0,0.0,0,0
Mecole Hardman,KC,LAC,15,2021,True,1,8,8.0,8,0
Tutu Atwell,LAR,SEA,5,2021,True,1,11,11.0,11,0
Freddie Swain,SEA,LAR,5,2021,False,1,13,13.0,13,0
Skyy Moore,KC,IND,3,2022,True,2,12,6.0,12,0
Nyheim Hines,IND,KC,3,2022,False,1,10,10.0,10,0
Andre Roberts,LAC,PHI,9,2021,True,1,10,10.0,10,0
Rashid Shaheed,NO,CAR,2,2023,True,1,16,16.0,16,0
Ihmir Smith-Marsette,CAR,NO,2,2023,False,2,15,7.5,12,0
Amari Rodgers,GB,KC,9,2021,True,2,15,7.5,15,0
Malik Taylor,GB,KC,9,2021,True,1,0,0.0,0,0
Mecole Hardman,KC,GB,9,2021,False,2,3,1.5,3,0
Greg Ward,PHI,DET,8,2021,True,1,12,12.0,12,0
Kalif Raymond,DET,PHI,8,2021,False,1,11,11.0,11,0
Gunner Olszewski,PIT,CIN,1,2022,True,1,20,20.0,20,0
Trent Taylor,CIN,PIT,1,2022,False,5,31,6.2,10,0
Montrell Washington,DEN,TEN,10,2022,True,3,14,4.7,8,0
C.J. Board,TEN,DEN,10,2022,False,4,51,12.8,17,0
Diontae Spencer,DEN,NYJ,3,2021,False,2,16,8.0,11,0
Charlie Jones,CIN,JAX,13,2023,True,2,11,5.5,11,0
Parker Washington,JAX,CIN,13,2023,False,1,0,0.0,0,0
Trent Taylor,CIN,DAL,2,2022,True,1,20,20.0,20,0
KaVontae Turpin,DAL,CIN,2,2022,False,2,34,17.0,20,0
Trenton Irwin,CIN,BUF,9,2023,False,2,11,5.5,8,0
Nyheim Hines,IND,TEN,4,2022,False,2,20,10.0,14,0
Eric Gray,NYG,BUF,6,2023,True,2,4,2.0,4,0
Deonte Harty,BUF,NYG,6,2023,False,1,3,3.0,3,0
Donovan Peoples-Jones,CLE,IND,7,2023,True,3,22,7.3,9,0
Isaiah McKenzie,IND,CLE,7,2023,False,4,38,9.5,21,0
Ihmir Smith-Marsette,CAR,DET,5,2023,True,1,3,3.0,3,0
Charlie Jones,CIN,CLE,1,2023,True,3,24,8.0,15,0
Donovan Peoples-Jones,CLE,CIN,1,2023,False,3,15,5.0,6,0
Brandon Powell,LAR,BAL,17,2021,True,1,18,18.0,18,0
Gunner Olszewski,NYG,NO,15,2023,True,2,15,7.5,13,0
Rashid Shaheed,NO,NYG,15,2023,False,3,35,11.7,14,0
Dede Westbrook,MIN,SEA,3,2021,False,2,-1,-0.5,0,0
Amari Rodgers,GB,BUF,8,2022,True,1,3,3.0,3,0
Khalil Shakir,BUF,GB,8,2022,False,1,17,17.0,17,0
Isaiah Rodgers Sr.,IND,DEN,5,2022,True,2,13,6.5,13,0
Dallis Flowers,IND,DEN,5,2022,True,1,9,9.0,9,0
Montrell Washington,DEN,IND,5,2022,False,2,6,3.0,3,0
Robert Woods,TEN,WSH,5,2022,True,1,0,0.0,0,0
Dax Milne,WSH,TEN,5,2022,False,5,29,5.8,9,0
Desmond King II,HOU,ARI,7,2021,True,4,51,12.8,20,0
Rondale Moore,ARI,HOU,7,2021,False,2,27,13.5,14,0
Myles Bryant,NE,BUF,17,2023,True,1,2,2.0,2,0
Deonte Harty,BUF,NE,17,2023,False,2,18,9.0,11,0
Marquez Callaway,NO,SEA,7,2021,True,1,2,2.0,2,0
Freddie Swain,SEA,NO,7,2021,False,2,19,9.5,11,0
Xavier Gipson,NYJ,LV,10,2023,True,1,5,5.0,5,0
DeAndre Carter,LV,NYJ,10,2023,False,3,49,16.3,32,0
Amari Rodgers,GB,SEA,10,2021,False,4,29,7.3,16,0
KaVontae Turpin,DAL,GB,10,2022,True,2,11,5.5,11,0
Keisean Nixon,GB,DAL,10,2022,False,2,19,9.5,13,0
Amari Rodgers,GB,DAL,10,2022,False,2,13,6.5,11,0
Avery Williams,ATL,SF,15,2021,True,1,23,23.0,23,0
Brandon Aiyuk,SF,ATL,15,2021,False,2,8,4.0,10,0
Calvin Austin III,PIT,CIN,12,2023,True,3,2,0.7,5,0
Deven Thompkins,TB,SF,11,2023,True,2,64,32.0,51,0
Ray-Ray McCloud III,SF,TB,11,2023,False,1,2,2.0,2,0
James Proche II,BAL,ATL,16,2022,False,2,14,7.0,9,0
Ray-Ray McCloud III,PIT,CLE,8,2021,True,2,29,14.5,19,0
Demetric Felton Jr.,CLE,PIT,8,2021,False,2,1,0.5,1,0
Avery Williams,ATL,CHI,11,2022,False,3,31,10.3,13,0
Jamison Crowder,WSH,SEA,10,2023,True,2,9,4.5,8,0
DeeJay Dallas,SEA,WSH,10,2023,False,2,14,7.0,9,0
Deonte Harty,BUF,NE,7,2023,True,1,7,7.0,7,0
DeMario Douglas,NE,BUF,7,2023,False,1,25,25.0,25,0
Montrell Washington,KC,CHI,3,2023,False,3,33,11.0,23,0
Kalif Raymond,DET,NYJ,15,2022,True,1,47,47.0,47,1
Braxton Berrios,NYJ,DET,15,2022,False,1,6,6.0,6,0
Jalen Reagor,PHI,ATL,1,2021,True,4,19,4.8,11,0
Avery Williams,ATL,PHI,1,2021,False,2,11,5.5,7,0
Cedrick Wilson Jr.,MIA,DET,8,2022,True,2,24,12.0,13,0
Kalif Raymond,DET,MIA,8,2022,False,1,4,4.0,4,0
Ronnie Bell,SF,ARI,15,2023,True,1,4,4.0,4,0
Greg Dortch,ARI,SF,15,2023,False,1,0,0.0,0,0
Dee Alford,ATL,NYJ,13,2023,True,4,35,8.8,13,0
Xavier Gipson,NYJ,ATL,13,2023,False,4,45,11.3,17,0
DeAndre Carter,LAC,HOU,4,2022,True,2,24,12.0,12,0
Desmond King II,HOU,LAC,4,2022,False,2,8,4.0,4,0
Greg Dortch,ARI,PHI,17,2023,True,2,29,14.5,15,0
Devin Duvernay,BAL,LAC,6,2021,False,3,44,14.7,17,0
Alex Erickson,CAR,WSH,11,2021,False,1,10,10.0,10,0
Olamide Zaccheaus,ATL,MIA,7,2021,True,1,17,17.0,17,0
Jevon Holland,MIA,ATL,7,2021,False,2,16,8.0,16,0
Marcus Jones,NE,GB,4,2022,True,2,49,24.5,29,0
Amari Rodgers,GB,NE,4,2022,False,2,11,5.5,7,0
Randall Cobb,GB,MIA,16,2022,True,1,2,2.0,2,0
Derius Davis,LAC,LV,15,2023,True,3,44,14.7,38,0
DeAndre Carter,LV,LAC,15,2023,False,2,24,12.0,13,0
Braxton Berrios,NYJ,NE,2,2021,False,1,6,6.0,6,0
Brandon Powell,LAR,MIN,16,2021,True,2,75,37.5,61,1
Ihmir Smith-Marsette,CAR,TB,18,2023,False,3,51,17.0,29,0
Kalif Raymond,DET,PIT,10,2021,True,3,71,23.7,48,0
Ray-Ray McCloud III,PIT,DET,10,2021,False,6,54,9.0,13,0
Jakeem Grant Sr.,MIA,NE,1,2021,True,1,18,18.0,18,0
Gunner Olszewski,NE,MIA,1,2021,False,3,20,6.7,14,0
Alex Erickson,CAR,NYG,7,2021,True,2,14,7.0,10,0
Jabrill Peppers,NYG,CAR,7,2021,False,4,12,3.0,6,0
Dante Pettis,NYG,CAR,7,2021,False,1,0,0.0,0,0
Pharoh Cooper,NYG,PHI,16,2021,True,2,16,8.0,13,0
Jalen Reagor,PHI,NYG,16,2021,False,4,50,12.5,39,0
Deven Thompkins,TB,ARI,16,2022,True,1,14,14.0,14,0
Pharoh Cooper,ARI,TB,16,2022,False,5,71,14.2,28,0
Marvin Mims Jr.,DEN,LV,18,2023,True,3,33,11.0,15,0
DeAndre Carter,LV,DEN,18,2023,False,1,4,4.0,4,0
Diontae Spencer,DEN,LAC,12,2021,False,2,13,6.5,8,0
Austin Trammell,LAR,DAL,8,2023,True,1,-5,-5.0,-5,0
KaVontae Turpin,DAL,LAR,8,2023,False,2,0,0.0,0,0
Dede Westbrook,MIN,CAR,6,2021,True,3,7,2.3,7,0
Alex Erickson,CAR,MIN,6,2021,False,2,5,2.5,4,0
DeAndre Carter,LAC,ARI,12,2022,True,2,25,12.5,20,0
Pharoh Cooper,ARI,LAC,12,2022,False,1,15,15.0,15,0
Greg Dortch,ARI,SEA,6,2022,True,3,15,5.0,7,0
DeeJay Dallas,SEA,ARI,6,2022,False,1,8,8.0,8,0
Ray-Ray McCloud III,SF,SEA,12,2023,True,3,10,3.3,4,0
DeeJay Dallas,SEA,SF,12,2023,False,1,0,0.0,0,0
Amari Rodgers,GB,ARI,8,2021,True,2,12,6.0,7,0
Rondale Moore,ARI,GB,8,2021,False,3,14,4.7,14,0
Deven Thompkins,TB,SF,14,2022,True,2,21,10.5,11,0
Ray-Ray McCloud III,SF,TB,14,2022,False,3,43,14.3,15,0
Bijan Robinson,ATL,ARI,10,2023,True,1,8,8.0,8,0
Greg Dortch,ARI,ATL,10,2023,False,2,56,28.0,49,0
Mecole Hardman,KC,CIN,17,2021,True,1,29,29.0,29,0
Demarcus Robinson,KC,CIN,17,2021,True,1,3,3.0,3,0
Trent Taylor,CIN,KC,17,2021,False,1,3,3.0,3,0
Justin Watson,KC,DEN,14,2022,True,4,22,5.5,7,0
Montrell Washington,DEN,KC,14,2022,False,1,21,21.0,21,0
Parker Washington,JAX,TEN,18,2023,True,2,19,9.5,14,0
Nyheim Hines,IND,SF,7,2021,True,1,5,5.0,5,0
Mohamed Sanu,SF,IND,7,2021,False,1,13,13.0,13,0
Brandon Aiyuk,SF,IND,7,2021,False,2,8,4.0,8,0
Jakeem Grant Sr.,CHI,DET,12,2021,True,4,39,9.8,22,0
Kalif Raymond,DET,CHI,12,2021,False,1,9,9.0,9,0
Jerry Jacobs,DET,CHI,12,2021,False,1,0,0.0,0,0
KaVontae Turpin,DAL,PHI,6,2022,True,3,36,12.0,15,0
Britain Covey,PHI,DAL,6,2022,False,1,14,14.0,14,0
Britain Covey,PHI,DAL,14,2023,True,1,18,18.0,18,0
DeAndre Carter,LAC,KC,2,2022,True,2,17,8.5,12,0
Skyy Moore,KC,LAC,2,2022,False,2,6,3.0,6,0
Montrell Washington,KC,NYJ,4,2023,True,1,10,10.0,10,0
Xavier Gipson,NYJ,KC,4,2023,False,1,11,11.0,11,0
Jamison Crowder,WSH,ATL,6,2023,True,1,61,61.0,61,0
Mike Hughes,ATL,WSH,6,2023,False,3,11,3.7,8,0
Isaiah McKenzie,IND,TEN,13,2023,True,3,25,8.3,15,0
Eric Garror,TEN,IND,13,2023,False,4,36,9.0,15,0
Diontae Spencer,DEN,JAX,2,2021,True,2,29,14.5,25,0
Jamal Agnew,JAX,DEN,2,2021,False,1,2,2.0,2,0
Randall Cobb,GB,CHI,13,2022,True,1,15,15.0,15,0
Dante Pettis,CHI,GB,13,2022,False,1,18,18.0,18,0
James Proche II,CLE,DEN,12,2023,True,1,9,9.0,9,0
Marvin Mims Jr.,DEN,CLE,12,2023,False,1,2,2.0,2,0
Greg Dortch,ARI,CHI,16,2023,True,1,4,4.0,4,0
Trent Taylor,CHI,ARI,16,2023,False,1,11,11.0,11,0
Greg Dortch,ARI,DEN,15,2022,True,2,11,5.5,8,0
Montrell Washington,DEN,ARI,15,2022,False,4,23,5.8,8,0
KaVontae Turpin,DAL,JAX,15,2022,True,1,16,16.0,16,0
Jamal Agnew,JAX,DAL,15,2022,False,1,13,13.0,13,0
DeAndre Carter,LAC,MIA,14,2022,False,2,23,11.5,23,0
Jaelon Darden,TB,CAR,7,2022,True,4,46,11.5,20,0
Shi Smith,CAR,TB,7,2022,False,1,0,0.0,0,0
Desmond King II,HOU,NYG,10,2022,True,3,17,5.7,13,0
Adoree' Jackson,NYG,HOU,10,2022,False,2,2,1.0,2,0
Richie James,KC,NE,15,2023,True,2,33,16.5,18,0
Myles Bryant,NE,KC,15,2023,False,2,19,9.5,13,0
Donovan Peoples-Jones,CLE,ATL,4,2022,True,2,7,3.5,6,0
Avery Williams,ATL,CLE,4,2022,False,1,18,18.0,18,0
Amari Rodgers,GB,CIN,5,2021,True,2,9,4.5,8,0
Darius Phillips,CIN,GB,5,2021,False,1,2,2.0,2,0
Isaiah McKenzie,IND,BAL,3,2023,True,2,48,24.0,32,0
Devin Duvernay,BAL,IND,3,2023,False,4,45,11.3,31,0
Marquez Stevenson,BUF,NE,16,2021,True,3,34,11.3,15,0
Kalif Raymond,DET,NO,13,2023,True,2,13,6.5,11,0
Lynn Bowden Jr.,NO,DET,13,2023,False,5,30,6.0,16,0
Chester Rogers,TEN,JAX,14,2021,False,3,13,4.3,10,0
C.J. Board,NYG,NO,4,2021,True,1,26,26.0,26,0
Deonte Harty,NO,NYG,4,2021,False,1,9,9.0,9,0
Ray-Ray McCloud III,PIT,MIN,14,2021,True,1,8,8.0,8,0
Dede Westbrook,MIN,PIT,14,2021,False,3,31,10.3,16,0
Steven Sims,PIT,CAR,15,2022,True,1,5,5.0,5,0
Jaelon Darden,TB,CAR,18,2021,False,1,4,4.0,4,0
Deonte Harty,BUF,KC,14,2023,True,2,17,8.5,9,0
Richie James,KC,BUF,14,2023,False,3,49,16.3,25,0
Greg Dortch,ARI,PIT,13,2023,True,3,24,8.0,10,0
Calvin Austin III,PIT,ARI,13,2023,False,1,11,11.0,11,0
Dante Pettis,CHI,DET,17,2022,True,1,10,10.0,10,0
Kalif Raymond,DET,CHI,17,2022,False,3,16,5.3,10,0
Calvin Austin III,PIT,BAL,18,2023,True,5,92,18.4,34,0
Mike Hughes,ATL,TEN,8,2023,True,1,6,6.0,6,0
Eric Garror,TEN,ATL,8,2023,False,5,32,6.4,15,0
Kenjon Barner,TB,NYJ,17,2021,True,1,3,3.0,3,0
Josh Downs,IND,PIT,15,2023,False,3,38,12.7,14,0
Jakeem Grant Sr.,CHI,GB,14,2021,True,3,131,43.7,97,1
Amari Rodgers,GB,CHI,14,2021,False,2,28,14.0,15,0
Desmond King II,HOU,TEN,11,2021,True,1,10,10.0,10,0
Chester Rogers,TEN,HOU,11,2021,False,4,20,5.0,16,0
Keisean Nixon,GB,KC,13,2023,False,1,1,1.0,1,0
Jaelon Darden,CLE,WSH,17,2022,True,1,10,10.0,10,0
Dax Milne,WSH,CLE,17,2022,False,1,15,15.0,15,0
Britain Covey,PHI,DET,1,2022,True,2,13,6.5,11,0
Kalif Raymond,DET,PHI,1,2022,False,3,15,5.0,12,0
Ray-Ray McCloud III,PIT,CHI,9,2021,False,4,28,7.0,14,0
Jamal Agnew,JAX,KC,10,2022,True,1,19,19.0,19,0
Kadarius Toney,KC,JAX,10,2022,False,2,11,5.5,7,0
Dax Milne,WSH,SF,16,2022,True,1,4,4.0,4,0
Ray-Ray McCloud III,SF,WSH,16,2022,False,2,12,6.0,13,0
Braxton Berrios,NYJ,GB,6,2022,True,3,34,11.3,19,0
Amari Rodgers,GB,NYJ,6,2022,False,5,22,4.4,8,0
DeAndre Carter,LV,KC,16,2023,True,1,0,0.0,0,0
Richie James,KC,LV,16,2023,False,3,23,7.7,13,0
Trent Taylor,CIN,CLE,18,2021,True,1,11,11.0,11,0
Donovan Peoples-Jones,CLE,CIN,18,2021,False,4,20,5.0,8,0
Ray-Ray McCloud III,SF,LAR,2,2023,True,1,13,13.0,13,0
Kyren Williams,LAR,SF,2,2023,False,1,11,11.0,11,0
Myles Bryant,NE,DEN,16,2023,True,5,28,5.6,8,0
Marvin Mims Jr.,DEN,NE,16,2023,False,3,59,19.7,52,0
Kalif Raymond,DET,LV,8,2023,False,2,18,9.0,9,0
Braxton Berrios,NYJ,SEA,17,2022,True,2,8,4.0,5,0
DeeJay Dallas,SEA,NYJ,17,2022,False,2,8,4.0,8,0
Braxton Berrios,MIA,NYJ,15,2023,False,4,53,13.3,19,0
Chester Rogers,TEN,SEA,2,2021,True,3,32,10.7,13,0
Steven Sims,PIT,ATL,13,2022,True,2,1,0.5,1,0
Hunter Renfrow,LV,PIT,16,2022,True,1,13,13.0,13,0
Steven Sims,PIT,LV,16,2022,False,1,9,9.0,9,0
DeAndre Carter,LV,LAC,4,2023,True,1,1,1.0,1,0
Derius Davis,LAC,LV,4,2023,False,3,18,6.0,12,0
Montrell Washington,DEN,NYJ,7,2022,False,1,2,2.0,2,0
