name,team,opponent,week,season,isHome,NO,YDS,AVG,LONG,TD
Diontae Spencer,DEN,NYG,1,2021,True,2,24,12.0,13,0
Jabrill Peppers,NYG,DEN,1,2021,False,1,2,2.0,2,0
Calvin Austin III,PIT,SEA,17,2023,True,1,6,6.0,6,0
KaVontae Turpin,DAL,WSH,18,2022,True,4,13,3.3,7,0
Dax Milne,WSH,DAL,18,2022,False,7,55,7.9,16,0
CeeDee Lamb,DAL,NO,13,2021,True,3,35,11.7,16,0
Trevon Diggs,DAL,NO,13,2021,True,1,9,9.0,9,0
Deonte Harty,NO,DAL,13,2021,False,4,37,9.3,19,0
Rondale Moore,ARI,CLE,6,2021,True,2,8,4.0,4,0
Demetric Felton Jr.,CLE,ARI,6,2021,False,2,29,14.5,21,0
DeAndre Carter,LAC,DEN,18,2022,True,2,37,18.5,28,0
Freddie Swain,DEN,LAC,18,2022,False,1,0,0.0,0,0
Brandon Johnson,DEN,LAC,18,2022,False,1,0,0.0,0,0
Kadarius Toney,KC,HOU,15,2022,True,2,8,4.0,5,0
Desmond King II,HOU,KC,15,2022,False,2,16,8.0,13,0
Tremon Smith,HOU,KC,15,2022,False,1,7,7.0,7,0
Jamal Agnew,JAX,WSH,1,2022,True,1,2,2.0,2,0
Dax Milne,WSH,JAX,1,2022,False,2,22,11.0,13,0
Robert Woods,TEN,JAX,18,2022,True,1,2,2.0,2,0
Jamal Agnew,JAX,TEN,18,2022,False,2,33,16.5,22,0
Ray-Ray McCloud III,SF,ARI,11,2022,True,2,13,6.5,7,0
Greg Dortch,ARI,SF,11,2022,False,1,15,15.0,15,0
Shi Smith,CAR,LAR,6,2022,True,3,12,4.0,11,0
Brandon Powell,LAR,CAR,6,2022,False,1,15,15.0,15,0
Jamal Agnew,JAX,SEA,8,2021,True,2,17,8.5,13,0
Freddie Swain,SEA,JAX,8,2021,False,1,20,20.0,20,0
Britain Covey,PHI,NYG,18,2023,True,1,8,8.0,8,0
Gunner Olszewski,NYG,PHI,18,2023,False,3,29,9.7,15,0
Greg Dortch,ARI,SEA,7,2023,True,2,8,4.0,8,0
DeeJay Dallas,SEA,ARI,7,2023,False,4,47,11.8,32,0
Eric Garror,TEN,TB,10,2023,True,3,23,7.7,15,0
Deven Thompkins,TB,TEN,10,2023,False,2,15,7.5,15,0
Devin Duvernay,BAL,LAC,12,2023,True,1,3,3.0,3,0
Derius Davis,LAC,BAL,12,2023,False,1,23,23.0,23,0
Britain Covey,PHI,LAR,5,2023,True,2,35,17.5,20,0
Freddie Swain,SEA,HOU,14,2021,True,2,31,15.5,22,0
Desmond King II,HOU,SEA,14,2021,False,1,2,2.0,2,0
DeeJay Dallas,SEA,LAC,7,2022,True,1,0,0.0,0,0
