,Name,Teams,Season,POS,GP,FGM,FGA,FG%,LNG,1-19,20-29,30-39,40-49,50+,XPM,XPA,XP%
82,Mason Crosby,GB,2021,PK,17,25,34,73.5,54,0-0,9-9,9-13,4-8,3-4,49,51,96.1
83,Ryan Succop,TB,2021,PK,17,25,30,83.3,48,0-0,11-11,7-8,7-10,0-1,56,59,94.9
84,Harrison Butker,KC,2021,PK,16,25,28,89.3,56,0-0,3-3,11-11,4-5,7-9,47,49,95.9
85,Joey Slye,HOU / SF,2021,PK,12,23,25,92.0,56,0-0,9-9,5-5,5-7,4-4,18,22,81.8
86,Jason Sanders,MIA,2021,PK,17,23,31,74.2,51,0-0,6-6,7-9,8-10,2-6,34,35,97.1
87,Matthew Wright,JAX,2021,PK,14,21,24,87.5,56,0-0,7-7,7-7,3-4,4-6,13,15,86.7
88,Robbie Gould,SF,2021,PK,13,20,23,87.0,52,0-0,6-6,4-4,7-9,3-4,39,40,97.5
89,Zane Gonzalez,CAR,2021,PK,12,20,22,90.9,57,0-0,6-6,1-1,10-10,3-5,22,23,95.7
90,Michael Badgley,IND / TEN,2021,PK,13,18,22,81.8,46,0-0,4-4,6-7,8-10,0-1,40,41,97.6
91,Jason Myers,SEA,2021,PK,17,17,23,73.9,53,0-0,2-2,9-11,3-5,3-5,44,47,93.6
92,Brett Maher,NO,2021,PK,8,16,18,88.9,42,0-0,4-4,8-9,4-4,0-1,10,12,83.3
93,Ka'imi Fairbairn,HOU,2021,PK,13,15,19,78.9,61,0-0,4-4,5-5,2-4,4-6,13,16,81.3
94,Chase McLaughlin,CLE,2021,PK,16,15,21,71.4,57,0-0,3-3,4-4,4-10,4-4,36,37,97.3
95,Matt Ammendola,NYJ,2021,PK,11,13,19,68.4,49,0-0,5-5,6-6,2-5,0-3,14,15,93.3
96,Riley Patterson,DET,2021,PK,7,13,14,92.9,49,0-0,3-3,6-6,4-4,0-1,16,16,100.0
97,Rodrigo Blankenship,IND,2021,PK,5,11,14,78.6,48,0-0,3-3,3-4,5-6,0-1,7,8,87.5
98,Austin Seibert,DET,2021,PK,6,10,12,83.3,52,0-0,0-0,4-4,5-6,1-2,5,5,100.0
99,Brian Johnson,WSH / NO,2021,PK,7,10,10,100.0,52,0-0,5-5,3-3,1-1,1-1,9,13,69.2
100,Eddy Pineiro,NYJ,2021,PK,5,8,8,100.0,51,0-0,2-2,2-2,3-3,1-1,9,10,90.0
101,Tristan Vizcaino,LAC,2021,PK,6,6,7,85.7,46,0-0,3-3,2-2,1-2,0-0,10,15,66.7
102,Ryan Santoso,CAR / DET,2021,PK,4,4,5,80.0,35,0-0,3-3,1-1,0-1,0-0,6,8,75.0
103,Elliott Fry,KC / CIN,2021,PK,2,4,5,80.0,44,0-0,0-0,3-4,1-1,0-0,4,5,80.0
104,Lirim Hajrullahu,DAL / CAR,2021,PK,4,4,5,80.0,35,0-0,2-2,2-2,0-1,0-0,8,8,100.0
105,Chris Blewitt,WSH,2021,PK,2,2,5,40.0,52,0-0,0-0,0-0,1-4,1-1,2,2,100.0
106,Aldrick Rosas,NO / DET,2021,PK,5,2,5,40.0,44,0-0,0-0,0-1,2-2,0-2,14,14,100.0
107,Dominik Eberle,HOU,2021,PK,1,2,3,66.7,51,0-0,1-1,0-0,0-0,1-2,5,5,100.0
108,Chris Naggar,CLE,2021,PK,1,1,1,100.0,37,0-0,0-0,1-1,0-0,0-0,1,2,50.0
109,Andy Lee,ARI,2021,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
110,Thomas Morstead,ATL / NYJ,2021,P,14,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
111,Tress Way,WSH,2021,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
112,Cody Parkey,NO,2021,PK,1,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,3,5,60.0
113,Michael Palardy,MIA,2021,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
114,Riley Dixon,NYG,2021,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
115,Bradley Pinion,TB,2021,P,15,0,1,0.0,0,0-0,0-0,0-0,0-0,0-1,0,0,0.0
116,Josh Lambo,JAX,2021,PK,3,0,3,0.0,0,0-0,0-0,0-0,0-1,0-2,5,7,71.4
117,Matt Haack,BUF,2021,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
118,Ryan Winslow,ARI / WSH,2021,P,4,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
119,Cameron Nizialek,ATL,2021,P,4,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
120,Logan Cooke,JAX,2021,P,15,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
121,Rigoberto Sanchez,IND,2021,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
122,Jack Fox,DET,2021,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
123,Sterling Hofrichter,TB,2021,P,2,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
124,Michael Dickson,SEA,2021,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
125,Jake Bailey,NE,2021,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
126,Braden Mann,NYJ,2021,P,10,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
127,Mitch Wishnowsky,SF,2021,P,17,0,1,0.0,0,0-0,0-0,0-0,0-1,0-0,1,2,50.0
128,Blake Gillikin,NO,2021,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
129,Alex Kessman,NYJ,2021,PK,1,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,2,0.0
130,Pressley Harvin III,PIT,2021,P,15,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
131,Brandon Zylstra,CAR,2021,WR,14,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
132,Arryn Siposs,PHI,2021,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
133,Brandon Aubrey,DAL,2023,PK,17,36,38,94.7,60,0-0,9-9,13-15,4-4,10-10,49,52,94.2
134,Greg Zuerlein,NYJ,2023,PK,16,35,38,92.1,55,0-0,8-8,9-10,13-14,5-6,15,16,93.8
135,Cairo Santos,CHI,2023,PK,17,35,38,92.1,55,0-0,9-9,11-11,8-10,7-8,31,33,93.9
136,Jason Myers,SEA,2023,PK,17,35,42,83.3,55,0-0,8-8,11-12,12-14,4-8,33,33,100.0
137,Dustin Hopkins,CLE,2023,PK,15,33,36,91.7,58,0-0,8-8,7-7,10-13,8-8,24,26,92.3
138,Harrison Butker,KC,2023,PK,17,33,35,94.3,60,0-0,8-8,13-15,7-7,5-5,38,38,100.0
139,Matt Gay,IND,2023,PK,17,33,41,80.5,57,0-0,9-9,9-10,7-9,8-13,35,36,97.2
140,Justin Tucker,BAL,2023,PK,17,32,37,86.5,50,0-0,10-10,10-10,11-12,1-5,51,52,98.1
141,Younghoe Koo,ATL,2023,PK,17,32,37,86.5,54,0-0,10-10,10-10,9-11,3-6,27,28,96.4
142,Cameron Dicker,LAC,2023,PK,17,31,33,93.9,55,0-0,7-7,8-8,9-9,7-9,35,35,100.0
143,Brandon McManus,JAX,2023,PK,17,30,37,81.1,56,0-0,4-4,10-10,11-13,5-10,35,35,100.0
144,Wil Lutz,DEN,2023,PK,17,30,34,88.2,52,0-0,11-11,12-13,4-5,3-5,29,31,93.5
145,Jake Elliott,PHI,2023,PK,17,30,32,93.8,61,0-0,9-9,7-8,7-7,7-8,45,46,97.8
146,Blake Grupe,NO,2023,PK,17,30,37,81.1,55,0-0,10-12,6-6,8-10,6-9,40,40,100.0
147,Nick Folk,TEN,2023,PK,17,29,30,96.7,53,0-0,9-9,9-9,6-6,5-6,28,30,93.3
