,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1303,Keith Smith,ATL,2023,FB,13,3,3,33,11.0,0,28,1,2.5,0,0,15,1
1304,Keelan Doss,LAC,2023,WR,5,6,13,33,5.5,0,9,0,6.6,0,0,14,1
1305,La'Mical Perine,KC,2023,RB,5,3,5,33,11.0,0,25,1,6.6,0,0,32,1
1306,Teagan Quitoriano,HOU,2023,TE,7,2,3,33,16.5,0,22,1,4.7,0,0,18,2
1307,Joshua Kelley,LAC,2023,RB,17,8,12,32,4.0,0,6,0,1.9,0,0,39,0
1308,Charlie Woerner,SF,2023,TE,17,3,3,32,10.7,0,20,1,1.9,0,0,20,1
1309,Kenyan Drake,GB,2023,RB,3,2,3,31,15.5,0,24,1,10.3,1,1,36,0
1310,Khalil Dorsey,DET,2023,CB,13,1,1,31,31.0,0,31,1,2.4,0,0,9,1
1311,Jordan Mason,SF,2023,RB,17,3,4,31,10.3,0,13,0,1.8,0,0,23,1
1312,Marcedes Lewis,CHI,2023,TE,17,4,5,29,7.3,1,16,0,1.7,0,0,29,2
1313,Austin Trammell,LAR,2023,WR,16,4,7,29,7.3,0,14,0,1.8,0,0,35,2
1314,Jalen Nailor,MIN,2023,WR,6,3,6,29,9.7,0,16,0,4.8,0,0,21,1
1315,Kenny Yeboah,NYJ,2023,TE,5,2,4,28,14.0,0,20,1,5.6,0,0,20,1
1316,James Mitchell,DET,2023,TE,15,2,2,28,14.0,0,24,1,1.9,0,0,12,1
1317,Blake Bell,KC,2023,TE,17,5,9,26,5.2,1,8,0,1.5,1,1,19,1
1318,DeeJay Dallas,SEA,2023,RB,17,6,9,26,4.3,0,14,0,1.5,0,0,31,1
1319,Quintin Morris,BUF,2023,TE,15,2,3,26,13.0,1,15,0,1.7,0,0,5,1
1320,Keaontay Ingram,ARI,2023,RB,8,4,4,26,6.5,0,9,0,3.3,0,0,31,1
1321,Steven Sims,HOU,2023,WR,3,3,3,25,8.3,0,23,1,8.3,0,0,27,1
1322,C.J. Ham,MIN,2023,FB,17,7,9,25,3.6,0,7,0,1.5,0,0,20,1
1323,Greg Dulcich,DEN,2023,TE,2,3,4,25,8.3,0,13,0,12.5,0,0,5,2
1324,Emanuel Wilson,GB,2023,RB,7,4,5,23,5.8,0,9,0,3.3,0,0,30,1
1325,Ronnie Rivers,LAR,2023,RB,9,5,5,22,4.4,0,10,0,2.4,0,0,41,0
1326,Nick Muse,MIN,2023,TE,2,1,1,22,22.0,0,22,1,11.0,0,0,10,1
1327,Nate Adkins,DEN,2023,TE,10,4,5,22,5.5,0,11,0,2.2,0,0,24,1
1328,Eric Gray,NYG,2023,RB,13,6,7,22,3.7,0,9,0,1.7,0,0,40,0
1329,Nick Bawden,NYJ,2023,FB,16,3,3,21,7.0,0,8,0,1.3,0,0,22,1
