,Name,Teams,Season,POS,GP,RUSH,REC,RET,TD,FG,XP,2PT,PTS,PTS/G
1078,Hayden Hurst,ATL,2020,TE,16,0,6,0,6,0,0,0,36,2.3
1079,Darrell Henderson Jr.,LAR,2020,RB,15,5,1,0,6,0,0,0,36,2.4
1080,David Moore,SEA,2020,WR,16,0,6,0,6,0,0,0,36,2.3
1081,Tee Higgins,CIN,2020,WR,16,0,6,0,6,0,0,0,36,2.3
1082,Aldrick Rosas,JAX,2020,PK,6,0,0,0,0,8,9,0,33,5.5
1083,T.Y. Hilton,IND,2020,WR,15,0,5,0,5,0,0,1,32,2.1
1084,Eric Ebron,PIT,2020,TE,15,0,5,0,5,0,0,1,32,2.1
1085,Tyler Higbee,LAR,2020,TE,15,0,5,0,5,0,0,1,32,2.1
1086,Amari Cooper,DAL,2020,WR,16,0,5,0,5,0,0,1,32,2.0
1087,Mecole Hardman,KC,2020,WR,16,0,4,1,5,0,0,1,32,2.0
1088,Irv Smith Jr.,MIN,2020,TE,13,0,5,0,5,0,0,1,32,2.5
1089,Emmanuel Sanders,NO,2020,WR,14,0,5,0,5,0,0,0,30,2.1
1090,Latavius Murray,NO,2020,RB,15,4,1,0,5,0,0,0,30,2.0
1091,Teddy Bridgewater,CAR,2020,QB,15,5,0,0,5,0,0,0,30,2.0
1092,Trey Burton,IND,2020,TE,13,2,3,0,5,0,0,0,30,2.3
1093,Sergio Castillo,NYJ,2020,PK,6,0,0,0,0,8,6,0,30,5.0
1094,Malcolm Brown,LAR,2020,RB,16,5,0,0,5,0,0,0,30,1.9
1095,Carson Wentz,PHI,2020,QB,12,5,0,0,5,0,0,0,30,2.5
1096,Zach Pascal,IND,2020,WR,16,0,5,0,5,0,0,0,30,1.9
1097,Corey Davis,TEN,2020,WR,14,0,5,0,5,0,0,0,30,2.1
1098,Mike Williams,LAC,2020,WR,15,0,5,0,5,0,0,0,30,2.0
1099,DJ Chark Jr.,JAX,2020,WR,13,0,5,0,5,0,0,0,30,2.3
1100,Chase Edmonds,ARI,2020,RB,16,1,4,0,5,0,0,0,30,1.9
1101,Curtis Samuel,CAR,2020,WR,15,2,3,0,5,0,0,0,30,2.0
1102,James Washington,PIT,2020,WR,16,0,5,0,5,0,0,0,30,1.9
1103,Myles Gaskin,MIA,2020,RB,10,3,2,0,5,0,0,0,30,3.0
1104,Tony Pollard,DAL,2020,RB,16,4,1,0,5,0,0,0,30,1.9
1105,Zack Moss,BUF,2020,RB,13,4,1,0,5,0,0,0,30,2.3
1106,Michael Gallup,DAL,2020,WR,16,0,5,0,5,0,0,0,30,1.9
1107,Clyde Edwards-Helaire,KC,2020,RB,13,4,1,0,5,0,0,0,30,2.3
1108,Laviska Shenault Jr.,JAX,2020,WR,14,0,5,0,5,0,0,0,30,2.1
1109,Mike Nugent,ARI,2020,PK,4,0,0,0,0,7,7,0,28,7.0
1110,Preston Williams,MIA,2020,WR,8,0,4,0,4,0,0,2,28,3.5
1111,Dak Prescott,DAL,2020,QB,5,3,1,0,4,0,0,1,26,5.2
1112,Sterling Shepard,NYG,2020,WR,12,1,3,0,4,0,0,1,26,2.2
1113,Austin Seibert,CIN / CLE,2020,PK,5,0,0,0,0,6,8,0,26,5.2
1114,Darnell Mooney,CHI,2020,WR,16,0,4,0,4,0,0,1,26,1.6
1115,Antonio Brown,TB,2020,WR,8,0,4,0,4,0,0,0,24,3.0
1116,Cole Beasley,BUF,2020,WR,15,0,4,0,4,0,0,0,24,1.6
1117,Darren Fells,HOU,2020,TE,16,0,4,0,4,0,0,0,24,1.5
1118,Jordan Reed,SF,2020,TE,10,0,4,0,4,0,0,0,24,2.4
1119,Odell Beckham Jr.,CLE,2020,WR,7,1,3,0,4,0,0,0,24,3.4
1120,Carlos Hyde,SEA,2020,RB,10,4,0,0,4,0,0,0,24,2.4
1121,Jarvis Landry,CLE,2020,WR,15,1,3,0,4,0,0,0,24,1.6
1122,DeVante Parker,MIA,2020,WR,14,0,4,0,4,0,0,0,24,1.7
1123,Rashard Higgins,CLE,2020,WR,13,0,4,0,4,0,0,0,24,1.8
1124,Austin Hooper,CLE,2020,TE,13,0,4,0,4,0,0,0,24,1.8
1125,Tyler Boyd,CIN,2020,WR,15,0,4,0,4,0,0,0,24,1.6
1126,Hunter Henry,LAC,2020,TE,14,0,4,0,4,0,0,0,24,1.7
1127,Jared Goff,LAR,2020,QB,15,4,0,0,4,0,0,0,24,1.6
1128,Peyton Barber,WSH,2020,RB,16,4,0,0,4,0,0,0,24,1.5
1129,Jordan Howard,MIA / PHI,2020,RB,7,4,0,0,4,0,0,0,24,3.4
1130,Russell Gage,ATL,2020,WR,16,0,4,0,4,0,0,0,24,1.5
1131,Joe Mixon,CIN,2020,RB,6,3,1,0,4,0,0,0,24,4.0
1132,Dalton Schultz,DAL,2020,TE,16,0,4,0,4,0,0,0,24,1.5
1133,Terry McLaurin,WSH,2020,WR,15,0,4,0,4,0,0,0,24,1.6
1134,Tre'Quan Smith,NO,2020,WR,14,0,4,0,4,0,0,0,24,1.7
1135,Travis Fulgham,PHI,2020,WR,13,0,4,0,4,0,0,0,24,1.8
1136,DJ Moore,CAR,2020,WR,15,0,4,0,4,0,0,0,24,1.6
1137,Miles Boykin,BAL,2020,WR,16,0,4,0,4,0,0,0,24,1.5
1138,Benny Snell Jr.,PIT,2020,RB,16,4,0,0,4,0,0,0,24,1.5
1139,Justin Herbert,LAC,2020,QB,15,4,0,0,4,0,0,0,24,1.6
1140,Dan Arnold,ARI,2020,TE,16,0,4,0,4,0,0,0,24,1.5
1141,Jamaal Williams,GB,2020,RB,14,2,1,0,3,0,0,2,22,1.6
1142,Josh Lambo,JAX,2020,PK,4,0,0,0,0,5,7,0,22,5.5
1143,Robbie Chosen,CAR,2020,WR,16,0,3,0,3,0,0,1,20,1.3
1144,Jacob Hollister,SEA,2020,TE,16,0,3,0,3,0,0,1,20,1.3
1145,Keke Coutee,HOU,2020,WR,8,0,3,0,3,0,0,1,20,2.5
1146,Noah Fant,DEN,2020,TE,15,0,3,0,3,0,0,1,20,1.3
1147,Jerry Jeudy,DEN,2020,WR,16,0,3,0,3,0,0,1,20,1.3
1148,Salvon Ahmed,MIA,2020,RB,6,3,0,0,3,0,0,1,20,3.3
1149,Matthew Wright,PIT,2020,PK,3,0,0,0,0,4,7,0,19,6.3
1150,Tom Brady,TB,2020,QB,16,3,0,0,3,0,0,0,18,1.1
1151,Aaron Rodgers,GB,2020,QB,16,3,0,0,3,0,0,0,18,1.1
1152,Marcedes Lewis,GB,2020,TE,15,0,3,0,3,0,0,0,18,1.2
1153,Julio Jones,ATL,2020,WR,9,0,3,0,3,0,0,0,18,2.0
1154,Randall Cobb,HOU,2020,WR,10,0,3,0,3,0,0,0,18,1.8
1155,Dion Lewis,NYG,2020,RB,16,2,1,0,3,0,0,0,18,1.1
1156,Jack Doyle,IND,2020,TE,14,0,3,0,3,0,0,0,18,1.3
1157,Derek Carr,LV,2020,QB,16,3,0,0,3,0,0,0,18,1.1
1158,John Brown,BUF,2020,WR,9,0,3,0,3,0,0,0,18,2.0
1159,James White,NE,2020,RB,14,2,1,0,3,0,0,0,18,1.3
1160,Willie Snead IV,BAL,2020,WR,13,0,3,0,3,0,0,0,18,1.4
1161,MyCole Pruitt,TEN,2020,TE,11,0,2,1,3,0,0,0,18,1.6
1162,Troy Hill,LAR,2020,CB,16,0,0,3,3,0,0,0,18,1.1
1163,J.D. McKissic,WSH,2020,RB,16,1,2,0,3,0,0,0,18,1.1
1164,Raheem Mostert,SF,2020,RB,8,2,1,0,3,0,0,0,18,2.3
1165,Jacoby Brissett,IND,2020,QB,11,3,0,0,3,0,0,0,18,1.6
1166,Tyler Kroft,BUF,2020,TE,10,0,3,0,3,0,0,0,18,1.8
1167,Breshad Perriman,NYJ,2020,WR,12,0,3,0,3,0,0,0,18,1.5
1168,Cooper Kupp,LAR,2020,WR,15,0,3,0,3,0,0,0,18,1.2
1169,Demarcus Robinson,KC,2020,WR,16,0,3,0,3,0,0,0,18,1.1
1170,Austin Ekeler,LAC,2020,RB,10,1,2,0,3,0,0,0,18,1.8
1171,Samaje Perine,CIN,2020,RB,16,3,0,0,3,0,0,0,18,1.1
1172,Dallas Goedert,PHI,2020,TE,11,0,3,0,3,0,0,0,18,1.6
1173,Deshaun Watson,HOU,2020,QB,16,3,0,0,3,0,0,0,18,1.1
1174,Devontae Booker,LV,2020,RB,16,3,0,0,3,0,0,0,18,1.1
1175,Chris Herndon,NYJ,2020,TE,16,0,3,0,3,0,0,0,18,1.1
1176,Braxton Berrios,NYJ,2020,WR,16,0,3,0,3,0,0,0,18,1.1
1177,Allen Lazard,GB,2020,WR,10,0,3,0,3,0,0,0,18,1.8
1178,Kalen Ballage,LAC / NYJ,2020,RB,11,3,0,0,3,0,0,0,18,1.6
1179,Tyron Johnson,LAC,2020,WR,12,0,3,0,3,0,0,0,18,1.5
1180,Scotty Miller,TB,2020,WR,16,0,3,0,3,0,0,0,18,1.1
1181,Joe Burrow,CIN,2020,QB,10,3,0,0,3,0,0,0,18,1.8
1182,Kerryon Johnson,DET,2020,RB,16,2,1,0,3,0,0,0,18,1.1
1183,Darius Slayton,NYG,2020,WR,16,0,3,0,3,0,0,0,18,1.1
1184,Drew Lock,DEN,2020,QB,13,3,0,0,3,0,0,0,18,1.4
1185,Dawson Knox,BUF,2020,TE,12,0,3,0,3,0,0,0,18,1.5
1186,Jalen Hurts,PHI,2020,QB,15,3,0,0,3,0,0,0,18,1.2
1187,Harrison Bryant,CLE,2020,TE,15,0,3,0,3,0,0,0,18,1.2
1188,Alexander Mattison,MIN,2020,RB,13,2,1,0,3,0,0,0,18,1.4
1189,Adam Shaheen,MIA,2020,TE,16,0,3,0,3,0,0,0,18,1.1
1190,Cam Akers,LAR,2020,RB,13,2,1,0,3,0,0,0,18,1.4
1191,KJ Hamler,DEN,2020,WR,13,0,3,0,3,0,0,0,18,1.4
1192,DeeJay Dallas,SEA,2020,RB,12,2,1,0,3,0,0,0,18,1.5
1193,Tua Tagovailoa,MIA,2020,QB,10,3,0,0,3,0,0,0,18,1.8
1194,Chase McLaughlin,JAX / NYJ,2020,PK,4,0,0,0,0,4,5,0,17,4.3
1195,Ryan Fitzpatrick,MIA,2020,QB,9,2,0,0,2,0,0,1,14,1.6
1196,Kendrick Bourne,SF,2020,WR,15,0,2,0,2,0,0,1,14,0.9
1197,Collin Johnson,JAX,2020,WR,14,0,2,0,2,0,0,1,14,1.0
1198,Jalen Reagor,PHI,2020,WR,11,0,1,1,2,0,0,1,14,1.3
1199,Donovan Peoples-Jones,CLE,2020,WR,12,0,2,0,2,0,0,1,14,1.2
1200,Drew Brees,NO,2020,QB,12,2,0,0,2,0,0,0,12,1.0
1201,Jason Witten,LV,2020,TE,16,0,2,0,2,0,0,0,12,0.8
1202,Frank Gore,NYJ,2020,RB,15,2,0,0,2,0,0,0,12,0.8
1203,Matt Ryan,ATL,2020,QB,16,2,0,0,2,0,0,0,12,0.8
1204,Dez Bryant,BAL,2020,WR,6,0,2,0,2,0,0,0,12,2.0
1205,Golden Tate,NYG,2020,WR,12,0,2,0,2,0,0,0,12,1.0
1206,Devin McCourty,NE,2020,S,16,0,0,2,2,0,0,0,12,0.8
1207,Mark Ingram II,BAL,2020,RB,11,2,0,0,2,0,0,0,12,1.1
1208,A.J. Green,CIN,2020,WR,16,0,2,0,2,0,0,0,12,0.8
1209,Lee Smith,BUF,2020,TE,10,0,2,0,2,0,0,0,12,1.2
1210,Dontrelle Inman,WSH,2020,WR,10,0,2,0,2,0,0,0,12,1.2
1211,Russell Wilson,SEA,2020,QB,16,2,0,0,2,0,0,0,12,0.8
1212,Alfred Morris,NYG,2020,RB,9,1,1,0,2,0,0,0,12,1.3
1213,Tyler Eifert,JAX,2020,TE,15,0,2,0,2,0,0,0,12,0.8
1214,Cordarrelle Patterson,CHI,2020,RB,16,1,0,1,2,0,0,0,12,0.8
1215,Le'Veon Bell,KC / NYJ,2020,RB,11,2,0,0,2,0,0,0,12,1.1
1216,Sammy Watkins,KC,2020,WR,10,0,2,0,2,0,0,0,12,1.2
1217,Richard Rodgers,PHI,2020,TE,14,0,2,0,2,0,0,0,12,0.9
1218,T.J. Carrie,IND,2020,CB,15,0,0,2,2,0,0,0,12,0.8
1219,Cameron Brate,TB,2020,TE,16,0,2,0,2,0,0,0,12,0.8
1220,Tyler Johnson,TB,2020,WR,14,0,2,0,2,0,0,0,12,0.9
1221,Nick Boyle,BAL,2020,TE,9,0,2,0,2,0,0,0,12,1.3
1222,Ameer Abdullah,MIN,2020,RB,16,0,2,0,2,0,0,0,12,0.8
1223,Adam Humphries,TEN,2020,WR,7,0,2,0,2,0,0,0,12,1.7
1224,Jakeem Grant Sr.,MIA,2020,WR,14,0,1,1,2,0,0,0,12,0.9
1225,Marvin Hall,CLE / DET,2020,WR,12,0,2,0,2,0,0,0,12,1.0
1226,Duke Johnson,HOU,2020,RB,11,1,1,0,2,0,0,0,12,1.1
1227,Pharaoh Brown,HOU,2020,TE,13,0,2,0,2,0,0,0,12,0.9
1228,Kenny Golladay,DET,2020,WR,5,0,2,0,2,0,0,0,12,2.4
1229,Jesse James,DET,2020,TE,16,0,2,0,2,0,0,0,12,0.8
1230,Mo Alie-Cox,IND,2020,TE,15,0,2,0,2,0,0,0,12,0.8
1231,George Kittle,SF,2020,TE,8,0,2,0,2,0,0,0,12,1.5
1232,O.J. Howard,TB,2020,TE,4,0,2,0,2,0,0,0,12,3.0
1233,Alex Collins,SEA,2020,RB,3,2,0,0,2,0,0,0,12,4.0
1234,Chad Beebe,MIN,2020,WR,14,0,2,0,2,0,0,0,12,0.9
1235,Anthony Miller,CHI,2020,WR,16,0,2,0,2,0,0,0,12,0.8
1236,Boston Scott,PHI,2020,RB,16,1,1,0,2,0,0,0,12,0.8
1237,Evan Engram,NYG,2020,TE,16,1,1,0,2,0,0,0,12,0.8
1238,Laquon Treadwell,ATL,2020,WR,5,0,2,0,2,0,0,0,12,2.4
1239,Durham Smythe,MIA,2020,TE,15,0,2,0,2,0,0,0,12,0.8
1240,DaeSean Hamilton,DEN,2020,WR,16,0,2,0,2,0,0,0,12,0.8
1241,Brandon Powell,ATL,2020,WR,15,0,2,0,2,0,0,0,12,0.8
1242,Josh Reynolds,LAR,2020,WR,16,0,2,0,2,0,0,0,12,0.8
1243,David Njoku,CLE,2020,TE,13,0,2,0,2,0,0,0,12,0.9
1244,Will Dissly,SEA,2020,TE,16,0,2,0,2,0,0,0,12,0.8
1245,Sony Michel,NE,2020,RB,9,1,1,0,2,0,0,0,12,1.3
1246,Hunter Renfrow,LV,2020,WR,16,0,2,0,2,0,0,0,12,0.8
1247,Patrick Mahomes,KC,2020,QB,15,2,0,0,2,0,0,0,12,0.8
1248,Foster Moreau,LV,2020,TE,16,0,2,0,2,0,0,0,12,0.8
1249,Joshua Kelley,LAC,2020,RB,14,2,0,0,2,0,0,0,12,0.9
1250,Donald Parham Jr.,LAC,2020,TE,13,0,2,0,2,0,0,0,12,0.9
1251,Sam Darnold,NYJ,2020,QB,12,2,0,0,2,0,0,0,12,1.0
1252,Andy Isabella,ARI,2020,WR,13,0,2,0,2,0,0,0,12,0.9
1253,Ty Johnson,DET / NYJ,2020,RB,13,1,1,0,2,0,0,0,12,0.9
1254,Gerald Everett,LAR,2020,TE,16,1,1,0,2,0,0,0,12,0.8
1255,Damien Harris,NE,2020,RB,10,2,0,0,2,0,0,0,12,1.2
1256,Josh Adams,NYJ,2020,RB,8,2,0,0,2,0,0,0,12,1.5
1257,Jalen Guyton,LAC,2020,WR,16,0,2,0,2,0,0,0,12,0.8
1258,Freddie Swain,SEA,2020,WR,16,0,2,0,2,0,0,0,12,0.8
1259,La'Mical Perine,NYJ,2020,RB,10,2,0,0,2,0,0,0,12,1.2
1260,Gabe Nabers,LAC,2020,FB,16,0,2,0,2,0,0,0,12,0.8
1261,Quintez Cephus,DET,2020,WR,13,0,2,0,2,0,0,0,12,0.9
1262,Cedrick Wilson Jr.,DAL,2020,WR,16,0,2,0,2,0,0,0,12,0.8
1263,Byron Pringle,KC,2020,WR,13,0,1,1,2,0,0,0,12,0.9
1264,Antonio Williams,BUF,2020,RB,1,2,0,0,2,0,0,0,12,12.0
1265,Devin Singletary,BUF,2020,RB,16,2,0,0,2,0,0,0,12,0.8
1266,Jeremy Chinn,CAR,2020,S,15,0,0,2,2,0,0,0,12,0.8
1267,N'Keal Harry,NE,2020,WR,14,0,2,0,2,0,0,0,12,0.9
1268,AJ Dillon,GB,2020,RB,11,2,0,0,2,0,0,0,12,1.1
1269,Henry Ruggs III,LV,2020,WR,13,0,2,0,2,0,0,0,12,0.9
1270,Cole Kmet,CHI,2020,TE,16,0,2,0,2,0,0,0,12,0.8
1271,Darwin Thompson,KC,2020,RB,14,1,1,0,2,0,0,0,12,0.9
1272,Gunner Olszewski,NE,2020,WR,13,0,1,1,2,0,0,0,12,0.9
1273,Tristan Vizcaino,SF,2020,PK,1,0,0,0,0,3,2,0,11,11.0
1274,Kai Forbath,LAR,2020,PK,2,0,0,0,0,2,4,0,10,5.0
1275,Mohamed Sanu,SF / DET,2020,WR,10,0,1,0,1,0,0,1,8,0.8
1276,Zach Ertz,PHI,2020,TE,11,0,1,0,1,0,0,1,8,0.7
1277,Jordan Wilkins,IND,2020,RB,15,1,0,0,1,0,0,1,8,0.5
1278,Darrel Williams,KC,2020,RB,16,1,0,0,1,0,0,1,8,0.5
1279,J.J. Arcega-Whiteside,PHI,2020,WR,8,0,0,1,1,0,0,1,8,1.0
1280,Larry Fitzgerald,ARI,2020,WR,13,0,1,0,1,0,0,0,6,0.5
1281,Greg Olsen,SEA,2020,TE,11,0,1,0,1,0,0,0,6,0.5
1282,DeSean Jackson,PHI,2020,WR,5,0,1,0,1,0,0,0,6,1.2
1283,Chad Henne,KC,2020,QB,3,1,0,0,1,0,0,0,6,2.0
1284,Jerry Hughes,BUF,2020,DE,15,0,0,1,1,0,0,0,6,0.4
1285,Joe Haden,PIT,2020,CB,14,0,0,1,1,0,0,0,6,0.4
1286,J.J. Watt,HOU,2020,DE,16,0,0,1,1,0,0,0,6,0.4
1287,Aldon Smith,DAL,2020,DE,16,0,0,1,1,0,0,0,6,0.4
1288,Kyle Rudolph,MIN,2020,TE,12,0,1,0,1,0,0,0,6,0.5
1289,Anthony Sherman,KC,2020,FB,13,0,1,0,1,0,0,0,6,0.5
1290,Nick Foles,CHI,2020,QB,9,1,0,0,1,0,0,0,6,0.7
1291,Kirk Cousins,MIN,2020,QB,16,1,0,0,1,0,0,0,6,0.4
1292,Alshon Jeffery,PHI,2020,WR,7,0,1,0,1,0,0,0,6,0.9
1293,Janoris Jenkins,NO,2020,CB,13,0,0,1,1,0,0,0,6,0.5
1294,Josh Norman,BUF,2020,CB,9,0,0,1,1,0,0,0,6,0.7
1295,Rodney McLeod Jr.,PHI,2020,S,13,0,0,1,1,0,0,0,6,0.5
1296,L.J. Fort,BAL,2020,LB,14,0,0,1,1,0,0,0,6,0.4
1297,Eric Fisher,KC,2020,OT,15,0,1,0,1,0,0,0,6,0.4
1298,Xavier Rhodes,IND,2020,CB,16,0,0,1,1,0,0,0,6,0.4
1299,Tyrann Mathieu,KC,2020,S,15,0,0,1,1,0,0,0,6,0.4
1300,Chris Thompson,JAX,2020,RB,8,0,1,0,1,0,0,0,6,0.8
