,Name,Teams,Season,POS,GP,K ATT,K YDS,K AVG,K LNG,K TD,P ATT,P YDS,P AVG,P LNG,P TD,FC
542,Cooper Kupp,LAR,2020,WR,15,0,0,0.0,0,0,9,50,5.6,10,0,11
543,Greg Ward,PHI,2020,WR,16,0,0,0.0,0,0,21,134,6.4,22,0,22
544,Desmond King II,LAC / TEN,2020,CB,6,0,0,0.0,0,0,6,17,2.8,7,0,4
545,Trent Taylor,SF,2020,WR,12,0,0,0.0,0,0,9,112,12.4,20,0,14
546,River Cracraft,SF,2020,WR,9,0,0,0.0,0,0,5,40,8.0,21,0,2
547,William Fuller V,HOU,2020,WR,11,0,0,0.0,0,0,2,14,7.0,13,0,1
548,Tarik Cohen,CHI,2020,RB,3,0,0,0.0,0,0,1,0,0.0,0,0,3
549,Trey Quinn,JAX,2020,WR,1,0,0,0.0,0,0,1,6,6.0,6,0,0
550,Jabrill Peppers,NYG,2020,S,15,0,0,0.0,0,0,15,187,12.5,20,0,14
551,Brandon Rusnak,JAX,2020,CB,16,0,0,0.0,0,0,1,3,3.0,3,0,0
552,Tyreek Hill,KC,2020,WR,15,0,0,0.0,0,0,1,0,0.0,0,0,1
553,Greg Stroman Jr.,WSH,2020,CB,4,0,0,0.0,0,0,2,-2,-1.0,1,0,0
554,Chandon Sullivan,GB,2020,CB,16,0,0,0.0,0,0,0,0,0.0,0,0,1
555,Ken Webster,SF,2020,CB,9,0,0,0.0,0,0,1,0,0.0,0,0,0
556,Hunter Renfrow,LV,2020,WR,16,0,0,0.0,0,0,23,265,11.5,32,0,10
557,Josh Jackson,GB,2020,CB,12,0,0,0.0,0,0,2,13,6.5,7,0,0
558,Mike Edwards,TB,2020,S,16,1,0,0.0,0,0,0,0,0.0,0,0,0
559,Antonio Callaway,MIA,2020,WR,5,0,0,0.0,0,0,2,12,6.0,11,0,0
560,James Proche II,BAL,2020,WR,14,0,0,0.0,0,0,23,198,8.6,20,0,16
561,Cedrick Wilson Jr.,DAL,2020,WR,16,0,0,0.0,0,0,5,20,4.0,10,0,5
562,Byron Murphy Jr.,ARI,2020,CB,15,0,0,0.0,0,0,2,3,1.5,3,0,1
563,Malcolm Perry,MIA,2020,RB,9,0,0,0.0,0,0,1,12,12.0,12,0,1
564,Jalen Reagor,PHI,2020,WR,11,0,0,0.0,0,0,4,94,23.5,73,1,4
565,Brandon Aiyuk,SF,2020,WR,12,0,0,0.0,0,0,2,26,13.0,16,0,2
566,Jaquan Johnson,BUF,2020,S,14,1,-1,-1.0,-1,0,0,0,0.0,0,0,0
