name,team,opponent,week,season,isHome,REC,YDS,AVG,TD,LONG,TGTS
DJ Moore,CAR,SEA,14,2022,True,0,0,0.0,0,0,3
Stephen Sullivan,CAR,SEA,14,2022,True,0,0,0.0,0,0,1
Tommy Tremble,CAR,SEA,14,2022,True,0,0,0.0,0,0,2
Marquise Goodwin,SEA,CAR,14,2022,False,5,95,19.0,1,38,6
DK Metcalf,SEA,CAR,14,2022,False,5,71,14.2,1,25,10
Tyler Lockett,SEA,CAR,14,2022,False,5,60,12.0,1,23,9
Will Dissly,SEA,CAR,14,2022,False,2,20,10.0,0,12,3
Colby Parkinson,SEA,CAR,14,2022,False,1,10,10.0,0,10,2
Travis Homer,SEA,CAR,14,2022,False,2,8,4.0,0,6,3
Noah Fant,SEA,CAR,14,2022,False,0,0,0.0,0,0,1
Tony Jones Jr.,SEA,CAR,14,2022,False,1,0,0.0,0,0,2
Amon-Ra St. Brown,DET,SEA,17,2021,True,8,111,13.9,1,31,11
KhaDarel Hodge,DET,SEA,17,2021,True,5,76,15.2,0,42,10
Trinity Benson,DET,SEA,17,2021,True,2,31,15.5,0,23,4
Jamaal Williams,DET,SEA,17,2021,True,3,22,7.3,0,11,3
Craig Reynolds,DET,SEA,17,2021,True,1,9,9.0,0,9,1
D'Andre Swift,DET,SEA,17,2021,True,2,7,3.5,0,6,3
Taylor Decker,DET,SEA,17,2021,True,1,6,6.0,1,6,1
Tom Kennedy,DET,SEA,17,2021,True,0,0,0.0,0,0,3
Matt Nelson,DET,SEA,17,2021,True,0,0,0.0,0,0,1
Freddie Swain,SEA,DET,17,2021,False,2,65,32.5,0,58,2
DK Metcalf,SEA,DET,17,2021,False,6,63,10.5,3,17,9
Gerald Everett,SEA,DET,17,2021,False,3,36,12.0,0,15,5
Tyler Lockett,SEA,DET,17,2021,False,3,24,8.0,1,28,3
Rashaad Penny,SEA,DET,17,2021,False,2,15,7.5,0,11,3
Colby Parkinson,SEA,DET,17,2021,False,1,12,12.0,0,12,1
Will Dissly,SEA,DET,17,2021,False,1,8,8.0,0,8,1
Dee Eskridge,SEA,DET,17,2021,False,1,7,7.0,0,7,3
Penny Hart,SEA,DET,17,2021,False,1,6,6.0,0,6,1
Mark Andrews,BAL,CLE,15,2022,True,3,31,10.3,0,19,7
Devin Duvernay,BAL,CLE,15,2022,True,2,29,14.5,0,19,3
Demarcus Robinson,BAL,CLE,15,2022,True,6,29,4.8,0,14,6
Isaiah Likely,BAL,CLE,15,2022,True,2,18,9.0,0,9,3
Justice Hill,BAL,CLE,15,2022,True,1,15,15.0,0,15,1
Josh Oliver,BAL,CLE,15,2022,True,2,13,6.5,0,8,2
J.K. Dobbins,BAL,CLE,15,2022,True,1,3,3.0,0,3,1
DeSean Jackson,BAL,CLE,15,2022,True,0,0,0.0,0,0,3
James Proche II,BAL,CLE,15,2022,True,0,0,0.0,0,0,2
Amari Cooper,CLE,BAL,15,2022,False,4,58,14.5,0,28,6
Donovan Peoples-Jones,CLE,BAL,15,2022,False,4,31,7.8,1,14,4
David Njoku,CLE,BAL,15,2022,False,3,28,9.3,0,13,6
Daylen Baldwin,CLE,BAL,15,2022,False,2,25,12.5,0,15,2
Harrison Bryant,CLE,BAL,15,2022,False,2,7,3.5,0,5,2
Demetric Felton Jr.,CLE,BAL,15,2022,False,1,5,5.0,0,5,1
Michael Woods II,CLE,BAL,15,2022,False,1,4,4.0,0,4,2
Kareem Hunt,CLE,BAL,15,2022,False,1,3,3.0,0,3,1
Nick Chubb,CLE,BAL,15,2022,False,0,0,0.0,0,0,2
Tyler Conklin,NYJ,DEN,5,2023,True,4,67,16.8,0,37,5
Garrett Wilson,NYJ,DEN,5,2023,True,3,54,18.0,0,32,7
Allen Lazard,NYJ,DEN,5,2023,True,3,33,11.0,0,12,4
Breece Hall,NYJ,DEN,5,2023,True,3,17,5.7,0,12,3
Michael Carter,NYJ,DEN,5,2023,True,3,14,4.7,0,9,3
C.J. Uzomah,NYJ,DEN,5,2023,True,2,12,6.0,0,7,2
Jeremy Ruckert,NYJ,DEN,5,2023,True,1,2,2.0,0,2,1
Randall Cobb,NYJ,DEN,5,2023,True,0,0,0.0,0,0,1
Samaje Perine,DEN,NYJ,5,2023,False,4,73,18.3,0,29,5
Jerry Jeudy,DEN,NYJ,5,2023,False,6,50,8.3,0,23,7
Adam Trautman,DEN,NYJ,5,2023,False,4,26,6.5,1,12,5
Jaleel McLaughlin,DEN,NYJ,5,2023,False,3,21,7.0,1,22,4
Courtland Sutton,DEN,NYJ,5,2023,False,1,13,13.0,0,13,3
Brandon Johnson,DEN,NYJ,5,2023,False,1,9,9.0,0,9,1
Marvin Mims Jr.,DEN,NYJ,5,2023,False,1,4,4.0,0,4,1
Nate Adkins,DEN,NYJ,5,2023,False,0,0,0.0,0,0,1
A.J. Brown,PHI,NE,1,2023,True,7,79,11.3,0,23,10
DeVonta Smith,PHI,NE,1,2023,True,7,47,6.7,1,13,10
Kenneth Gainwell,PHI,NE,1,2023,True,4,20,5.0,0,8,4
Quez Watkins,PHI,NE,1,2023,True,2,17,8.5,0,9,2
Boston Scott,PHI,NE,1,2023,True,1,7,7.0,0,7,1
Dallas Goedert,PHI,NE,1,2023,True,0,0,0.0,0,0,1
D'Andre Swift,PHI,NE,1,2023,True,1,0,0.0,0,0,2
Kendrick Bourne,NE,PHI,1,2023,False,6,64,10.7,2,19,11
Rhamondre Stevenson,NE,PHI,1,2023,False,6,64,10.7,0,32,6
Hunter Henry,NE,PHI,1,2023,False,5,56,11.2,1,13,6
DeMario Douglas,NE,PHI,1,2023,False,4,40,10.0,0,23,7
Mike Gesicki,NE,PHI,1,2023,False,3,36,12.0,0,17,3
JuJu Smith-Schuster,NE,PHI,1,2023,False,4,33,8.3,0,15,7
Ezekiel Elliott,NE,PHI,1,2023,False,5,14,2.8,0,6,7
Ty Montgomery II,NE,PHI,1,2023,False,2,9,4.5,0,11,3
Kayshon Boutte,NE,PHI,1,2023,False,0,0,0.0,0,0,4
A.J. Brown,PHI,NYG,14,2022,True,4,70,17.5,1,33,6
DeVonta Smith,PHI,NYG,14,2022,True,5,64,12.8,1,41,8
Grant Calcaterra,PHI,NYG,14,2022,True,2,24,12.0,0,13,4
Jack Stoll,PHI,NYG,14,2022,True,2,20,10.0,0,14,2
Quez Watkins,PHI,NYG,14,2022,True,4,19,4.8,0,9,5
Miles Sanders,PHI,NYG,14,2022,True,1,11,11.0,0,11,3
Zach Pascal,PHI,NYG,14,2022,True,1,5,5.0,0,5,1
Boston Scott,PHI,NYG,14,2022,True,1,4,4.0,0,4,1
Kenneth Gainwell,PHI,NYG,14,2022,True,1,0,0.0,0,0,1
Richie James,NYG,PHI,14,2022,False,7,61,8.7,1,19,9
Darius Slayton,NYG,PHI,14,2022,False,2,42,21.0,0,37,3
Isaiah Hodgins,NYG,PHI,14,2022,False,4,38,9.5,1,15,6
Saquon Barkley,NYG,PHI,14,2022,False,2,20,10.0,0,16,2
Daniel Bellinger,NYG,PHI,14,2022,False,3,19,6.3,0,11,3
Gary Brightwell,NYG,PHI,14,2022,False,2,18,9.0,0,12,3
Nick Vannett,NYG,PHI,14,2022,False,1,9,9.0,0,9,2
Matt Breida,NYG,PHI,14,2022,False,2,9,4.5,0,7,4
Josh Reynolds,DET,CHI,14,2023,True,3,44,14.7,1,27,4
Sam LaPorta,DET,CHI,14,2023,True,2,23,11.5,0,13,6
Amon-Ra St. Brown,DET,CHI,14,2023,True,3,21,7.0,0,11,8
David Montgomery,DET,CHI,14,2023,True,3,19,6.3,0,10,3
Donovan Peoples-Jones,DET,CHI,14,2023,True,1,17,17.0,0,17,1
Jahmyr Gibbs,DET,CHI,14,2023,True,3,16,5.3,0,12,4
Kalif Raymond,DET,CHI,14,2023,True,3,15,5.0,0,5,4
Brock Wright,DET,CHI,14,2023,True,2,6,3.0,0,4,2
Jameson Williams,DET,CHI,14,2023,True,0,0,0.0,0,0,2
DJ Moore,CHI,DET,14,2023,False,6,68,11.3,1,38,10
Cole Kmet,CHI,DET,14,2023,False,5,66,13.2,0,41,6
Darnell Mooney,CHI,DET,14,2023,False,2,44,22.0,0,28,7
D'Onta Foreman,CHI,DET,14,2023,False,2,22,11.0,0,16,3
Velus Jones Jr.,CHI,DET,14,2023,False,1,11,11.0,0,11,1
Tyler Scott,CHI,DET,14,2023,False,1,11,11.0,0,11,1
Marcedes Lewis,CHI,DET,14,2023,False,1,4,4.0,0,4,1
Khari Blasingame,CHI,DET,14,2023,False,1,-3,-3.0,0,-3,1
Tee Higgins,CIN,NE,16,2022,True,8,128,16.0,1,39,9
Ja'Marr Chase,CIN,NE,16,2022,True,8,79,9.9,0,18,11
Trenton Irwin,CIN,NE,16,2022,True,3,45,15.0,2,23,4
Joe Mixon,CIN,NE,16,2022,True,7,43,6.1,0,17,9
Mitchell Wilcox,CIN,NE,16,2022,True,6,35,5.8,0,10,6
Tyler Boyd,CIN,NE,16,2022,True,3,21,7.0,0,10,4
Samaje Perine,CIN,NE,16,2022,True,3,19,6.3,0,10,4
Devin Asiasi,CIN,NE,16,2022,True,2,5,2.5,0,6,2
Kendrick Bourne,NE,CIN,16,2022,False,6,100,16.7,1,32,9
Jakobi Meyers,NE,CIN,16,2022,False,6,83,13.8,1,48,7
Jonnu Smith,NE,CIN,16,2022,False,3,21,7.0,0,9,4
Marcus Jones,NE,CIN,16,2022,False,1,15,15.0,0,15,1
Pierre Strong Jr.,NE,CIN,16,2022,False,2,10,5.0,0,5,2
Tyquan Thornton,NE,CIN,16,2022,False,1,8,8.0,0,8,3
Rhamondre Stevenson,NE,CIN,16,2022,False,2,3,1.5,0,4,5
Tyler Conklin,NYJ,SEA,17,2022,True,6,80,13.3,0,30,6
Corey Davis,NYJ,SEA,17,2022,True,3,45,15.0,0,16,6
Braxton Berrios,NYJ,SEA,17,2022,True,1,24,24.0,0,24,1
C.J. Uzomah,NYJ,SEA,17,2022,True,3,24,8.0,0,12,7
Elijah Moore,NYJ,SEA,17,2022,True,2,18,9.0,0,15,2
Garrett Wilson,NYJ,SEA,17,2022,True,3,18,6.0,0,8,11
Zonovan Knight,NYJ,SEA,17,2022,True,2,17,8.5,0,13,3
Ty Johnson,NYJ,SEA,17,2022,True,1,11,11.0,0,11,5
Michael Carter,NYJ,SEA,17,2022,True,2,3,1.5,0,4,3
Denzel Mims,NYJ,SEA,17,2022,True,0,0,0.0,0,0,1
DeeJay Dallas,SEA,NYJ,17,2022,False,3,55,18.3,0,41,4
Noah Fant,SEA,NYJ,17,2022,False,2,40,20.0,0,29,3
Colby Parkinson,SEA,NYJ,17,2022,False,5,36,7.2,1,12,7
Tyler Lockett,SEA,NYJ,17,2022,False,2,15,7.5,0,8,2
Laquon Treadwell,SEA,NYJ,17,2022,False,2,15,7.5,0,10,2
Kenneth Walker III,SEA,NYJ,17,2022,False,1,9,9.0,0,9,1
Tyler Mabry,SEA,NYJ,17,2022,False,1,7,7.0,1,7,1
Godwin Igwebuike,SEA,NYJ,17,2022,False,1,3,3.0,0,3,1
DK Metcalf,SEA,NYJ,17,2022,False,1,3,3.0,0,3,5
Cade Johnson,SEA,NYJ,17,2022,False,0,0,0.0,0,0,2
Michael Pittman Jr.,IND,JAX,18,2021,True,6,64,10.7,1,21,7
T.Y. Hilton,IND,JAX,18,2021,True,2,39,19.5,0,33,5
Mo Alie-Cox,IND,JAX,18,2021,True,2,27,13.5,0,18,3
Nyheim Hines,IND,JAX,18,2021,True,2,19,9.5,0,10,3
Jonathan Taylor,IND,JAX,18,2021,True,3,18,6.0,0,11,4
Jack Doyle,IND,JAX,18,2021,True,1,11,11.0,0,11,2
Zach Pascal,IND,JAX,18,2021,True,1,7,7.0,0,7,2
Parris Campbell,IND,JAX,18,2021,True,0,0,0.0,0,0,3
Marvin Jones Jr.,JAX,IND,18,2021,False,7,88,12.6,1,29,8
Laviska Shenault Jr.,JAX,IND,18,2021,False,5,62,12.4,0,18,7
Dare Ogunbowale,JAX,IND,18,2021,False,3,25,8.3,0,11,6
Laquon Treadwell,JAX,IND,18,2021,False,3,24,8.0,1,14,5
Jacob Hollister,JAX,IND,18,2021,False,3,14,4.7,0,7,3
Ryquell Armstead,JAX,IND,18,2021,False,2,10,5.0,0,9,2
Mekhi Sargent,JAX,IND,18,2021,False,0,0,0.0,0,0,1
Christian Kirk,ARI,DET,15,2021,True,9,94,10.4,1,26,12
Zach Ertz,ARI,DET,15,2021,True,6,74,12.3,0,20,11
A.J. Green,ARI,DET,15,2021,True,4,64,16.0,0,27,8
James Conner,ARI,DET,15,2021,True,2,31,15.5,0,16,2
Antoine Wesley,ARI,DET,15,2021,True,3,19,6.3,0,7,8
Andy Isabella,ARI,DET,15,2021,True,1,13,13.0,0,13,1
Jonathan Ward,ARI,DET,15,2021,True,1,9,9.0,0,9,2
Rondale Moore,ARI,DET,15,2021,True,3,9,3.0,0,10,3
Chase Edmonds,ARI,DET,15,2021,True,0,0,0.0,0,0,1
Amon-Ra St. Brown,DET,ARI,15,2021,False,8,90,11.3,1,37,11
Josh Reynolds,DET,ARI,15,2021,False,6,68,11.3,1,22,6
Kalif Raymond,DET,ARI,15,2021,False,2,20,10.0,0,15,3
Shane Zylstra,DET,ARI,15,2021,False,1,16,16.0,0,16,1
Godwin Igwebuike,DET,ARI,15,2021,False,2,11,5.5,0,13,2
Jason Cabinda,DET,ARI,15,2021,False,1,6,6.0,1,6,1
Craig Reynolds,DET,ARI,15,2021,False,1,5,5.0,0,5,1
Brock Wright,DET,ARI,15,2021,False,0,0,0.0,0,0,1
Albert Okwuegbunam Jr.,DEN,KC,17,2022,True,3,45,15.0,1,25,6
Courtland Sutton,DEN,KC,17,2022,True,4,44,11.0,0,18,6
Chase Edmonds,DEN,KC,17,2022,True,3,39,13.0,0,27,3
Jerry Jeudy,DEN,KC,17,2022,True,7,38,5.4,0,11,8
Eric Saubert,DEN,KC,17,2022,True,3,30,10.0,0,24,3
Latavius Murray,DEN,KC,17,2022,True,4,16,4.0,0,8,6
Andrew Beck,DEN,KC,17,2022,True,2,10,5.0,0,6,2
Kendall Hinton,DEN,KC,17,2022,True,0,0,0.0,0,0,2
Kadarius Toney,KC,DEN,17,2022,False,4,71,17.8,0,38,4
Jerick McKinnon,KC,DEN,17,2022,False,5,52,10.4,2,28,6
Travis Kelce,KC,DEN,17,2022,False,7,43,6.1,0,12,10
Skyy Moore,KC,DEN,17,2022,False,3,33,11.0,0,18,4
Marquez Valdes-Scantling,KC,DEN,17,2022,False,2,28,14.0,0,22,7
Justin Watson,KC,DEN,17,2022,False,1,27,27.0,0,27,2
JuJu Smith-Schuster,KC,DEN,17,2022,False,2,21,10.5,0,11,3
Isiah Pacheco,KC,DEN,17,2022,False,2,18,9.0,0,9,2
Blake Bell,KC,DEN,17,2022,False,1,17,17.0,1,17,1
Noah Gray,KC,DEN,17,2022,False,1,12,12.0,0,12,1
Patrick Mahomes,KC,DEN,17,2022,False,1,6,6.0,0,6,1
Gabe Davis,BUF,PHI,12,2023,True,6,105,17.5,1,25,12
Stefon Diggs,BUF,PHI,12,2023,True,6,74,12.3,1,22,11
James Cook,BUF,PHI,12,2023,True,6,57,9.5,0,29,7
Khalil Shakir,BUF,PHI,12,2023,True,3,47,15.7,0,31,5
Dalton Kincaid,BUF,PHI,12,2023,True,5,38,7.6,0,14,6
Latavius Murray,BUF,PHI,12,2023,True,3,18,6.0,0,6,5
Trent Sherfield,BUF,PHI,12,2023,True,0,0,0.0,0,0,3
DeVonta Smith,PHI,BUF,12,2023,False,7,106,15.1,1,33,8
A.J. Brown,PHI,BUF,12,2023,False,5,37,7.4,1,11,9
Olamide Zaccheaus,PHI,BUF,12,2023,False,1,29,29.0,1,29,1
Jack Stoll,PHI,BUF,12,2023,False,1,14,14.0,0,14,2
Kenneth Gainwell,PHI,BUF,12,2023,False,2,10,5.0,0,6,3
D'Andre Swift,PHI,BUF,12,2023,False,1,4,4.0,0,4,1
Julio Jones,PHI,BUF,12,2023,False,1,0,0.0,0,0,3
Boston Scott,PHI,BUF,12,2023,False,0,0,0.0,0,0,1
Justin Jefferson,MIN,WSH,9,2022,True,7,115,16.4,1,47,13
T.J. Hockenson,MIN,WSH,9,2022,True,9,70,7.8,0,19,9
Adam Thielen,MIN,WSH,9,2022,True,3,67,22.3,0,36,7
Dalvin Cook,MIN,WSH,9,2022,True,2,9,4.5,1,12,6
Johnny Mundt,MIN,WSH,9,2022,True,1,1,1.0,0,1,1
K.J. Osborn,MIN,WSH,9,2022,True,0,0,0.0,0,0,2
Alexander Mattison,MIN,WSH,9,2022,True,1,0,0.0,0,0,1
Curtis Samuel,WSH,MIN,9,2022,False,3,65,21.7,1,49,4
Terry McLaurin,WSH,MIN,9,2022,False,5,56,11.2,0,18,9
Cam Sims,WSH,MIN,9,2022,False,1,12,12.0,0,12,1
Antonio Gibson,WSH,MIN,9,2022,False,2,11,5.5,0,10,3
Dax Milne,WSH,MIN,9,2022,False,1,6,6.0,1,6,1
John Bates,WSH,MIN,9,2022,False,1,5,5.0,0,5,2
Logan Thomas,WSH,MIN,9,2022,False,0,0,0.0,0,0,3
Dyami Brown,WSH,MIN,9,2022,False,0,0,0.0,0,0,1
Brian Robinson Jr.,WSH,MIN,9,2022,False,2,-6,-3.0,0,-2,2
Justin Jefferson,MIN,CHI,15,2021,True,4,47,11.8,1,18,10
K.J. Osborn,MIN,CHI,15,2021,True,3,21,7.0,0,9,3
Ihmir Smith-Marsette,MIN,CHI,15,2021,True,1,7,7.0,1,7,2
Tyler Conklin,MIN,CHI,15,2021,True,1,7,7.0,0,7,3
C.J. Ham,MIN,CHI,15,2021,True,1,3,3.0,0,3,1
Dalvin Cook,MIN,CHI,15,2021,True,2,2,1.0,0,2,3
Cole Kmet,CHI,MIN,15,2021,False,6,71,11.8,0,23,9
Darnell Mooney,CHI,MIN,15,2021,False,5,63,12.6,0,27,7
Damiere Byrd,CHI,MIN,15,2021,False,5,62,12.4,0,17,6
Khalil Herbert,CHI,MIN,15,2021,False,3,34,11.3,0,16,4
David Montgomery,CHI,MIN,15,2021,False,5,23,4.6,0,12,6
Jesper Horsted,CHI,MIN,15,2021,False,1,19,19.0,1,19,1
Jimmy Graham,CHI,MIN,15,2021,False,1,13,13.0,0,13,2
Dazz Newsome,CHI,MIN,15,2021,False,0,0,0.0,0,0,1
Courtland Sutton,DEN,LAC,14,2023,True,3,62,20.7,1,46,4
Samaje Perine,DEN,LAC,14,2023,True,5,36,7.2,0,9,5
Lucas Krull,DEN,LAC,14,2023,True,1,35,35.0,0,35,1
Javonte Williams,DEN,LAC,14,2023,True,3,25,8.3,0,14,4
Adam Trautman,DEN,LAC,14,2023,True,2,19,9.5,1,10,3
Jerry Jeudy,DEN,LAC,14,2023,True,2,16,8.0,0,9,6
Lil'Jordan Humphrey,DEN,LAC,14,2023,True,1,12,12.0,0,12,1
Marvin Mims Jr.,DEN,LAC,14,2023,True,2,11,5.5,0,8,3
Jaleel McLaughlin,DEN,LAC,14,2023,True,1,7,7.0,0,7,2
Michael Burton,DEN,LAC,14,2023,True,1,1,1.0,0,1,1
Quentin Johnston,LAC,DEN,14,2023,False,3,91,30.3,0,57,4
Keenan Allen,LAC,DEN,14,2023,False,6,68,11.3,0,22,12
Austin Ekeler,LAC,DEN,14,2023,False,5,49,9.8,0,18,7
Gerald Everett,LAC,DEN,14,2023,False,5,39,7.8,0,12,8
Donald Parham Jr.,LAC,DEN,14,2023,False,1,11,11.0,0,11,2
Alex Erickson,LAC,DEN,14,2023,False,1,9,9.0,0,9,7
Jalen Guyton,LAC,DEN,14,2023,False,1,8,8.0,0,8,1
Justin Jefferson,MIN,DET,18,2023,True,12,192,16.0,1,38,14
Johnny Mundt,MIN,DET,18,2023,True,5,58,11.6,0,32,6
Jordan Addison,MIN,DET,18,2023,True,4,57,14.3,1,42,8
Josh Oliver,MIN,DET,18,2023,True,2,31,15.5,0,20,3
Nick Muse,MIN,DET,18,2023,True,1,22,22.0,0,22,1
Ty Chandler,MIN,DET,18,2023,True,2,20,10.0,0,14,3
K.J. Osborn,MIN,DET,18,2023,True,2,9,4.5,0,6,4
Alexander Mattison,MIN,DET,18,2023,True,1,5,5.0,0,5,1
Brandon Powell,MIN,DET,18,2023,True,1,2,2.0,0,2,3
Amon-Ra St. Brown,DET,MIN,18,2023,False,7,144,20.6,1,70,10
Kalif Raymond,DET,MIN,18,2023,False,2,50,25.0,0,41,2
Josh Reynolds,DET,MIN,18,2023,False,5,44,8.8,0,18,7
Sam LaPorta,DET,MIN,18,2023,False,5,29,5.8,1,9,7
Donovan Peoples-Jones,DET,MIN,18,2023,False,2,25,12.5,0,20,2
James Mitchell,DET,MIN,18,2023,False,1,24,24.0,0,24,1
Dan Skipper,DET,MIN,18,2023,False,1,4,4.0,0,4,1
Jahmyr Gibbs,DET,MIN,18,2023,False,0,0,0.0,0,0,1
Travis Kelce,KC,NYJ,4,2023,True,6,60,10.0,0,16,9
Isiah Pacheco,KC,NYJ,4,2023,True,3,43,14.3,0,33,3
Noah Gray,KC,NYJ,4,2023,True,1,34,34.0,1,34,3
Rashee Rice,KC,NYJ,4,2023,True,3,32,10.7,0,18,5
Kadarius Toney,KC,NYJ,4,2023,True,2,22,11.0,0,15,2
Marquez Valdes-Scantling,KC,NYJ,4,2023,True,1,6,6.0,0,6,2
Justin Watson,KC,NYJ,4,2023,True,1,5,5.0,0,5,1
Clyde Edwards-Helaire,KC,NYJ,4,2023,True,1,1,1.0,0,1,1
Jerick McKinnon,KC,NYJ,4,2023,True,0,0,0.0,0,0,1
Skyy Moore,KC,NYJ,4,2023,True,0,0,0.0,0,0,2
Allen Lazard,NYJ,KC,4,2023,False,3,61,20.3,1,39,3
Garrett Wilson,NYJ,KC,4,2023,False,9,60,6.7,0,14,14
Tyler Conklin,NYJ,KC,4,2023,False,4,58,14.5,0,25,6
Jeremy Ruckert,NYJ,KC,4,2023,False,2,26,13.0,0,23,2
Breece Hall,NYJ,KC,4,2023,False,3,13,4.3,0,7,4
Michael Carter,NYJ,KC,4,2023,False,2,12,6.0,0,10,3
Randall Cobb,NYJ,KC,4,2023,False,2,8,4.0,0,5,4
Xavier Gipson,NYJ,KC,4,2023,False,1,4,4.0,0,4,1
Dalvin Cook,NYJ,KC,4,2023,False,1,2,2.0,0,2,1
C.J. Uzomah,NYJ,KC,4,2023,False,1,1,1.0,1,1,1
Raheem Mostert,MIA,NE,17,2022,True,8,62,7.8,1,25,8
Tyreek Hill,MIA,NE,17,2022,True,4,55,13.8,0,19,7
Jaylen Waddle,MIA,NE,17,2022,True,3,52,17.3,0,23,5
Jeff Wilson Jr.,MIA,NE,17,2022,True,3,31,10.3,0,13,7
Trent Sherfield,MIA,NE,17,2022,True,2,30,15.0,0,23,6
Mike Gesicki,MIA,NE,17,2022,True,2,18,9.0,1,14,4
Durham Smythe,MIA,NE,17,2022,True,1,9,9.0,0,9,1
Salvon Ahmed,MIA,NE,17,2022,True,1,8,8.0,0,8,1
Alec Ingold,MIA,NE,17,2022,True,0,0,0.0,0,0,1
Tyquan Thornton,NE,MIA,17,2022,False,3,60,20.0,1,29,7
Hunter Henry,NE,MIA,17,2022,False,5,52,10.4,0,29,6
Jakobi Meyers,NE,MIA,17,2022,False,6,49,8.2,1,25,9
Damien Harris,NE,MIA,17,2022,False,3,18,6.0,0,9,3
Kendrick Bourne,NE,MIA,17,2022,False,1,16,16.0,0,16,2
Rhamondre Stevenson,NE,MIA,17,2022,False,2,9,4.5,0,5,4
Nelson Agholor,NE,MIA,17,2022,False,0,0,0.0,0,0,1
Marvin Jones Jr.,JAX,NYJ,16,2021,True,8,74,9.3,0,19,13
Tavon Austin,JAX,NYJ,16,2021,True,6,68,11.3,0,25,7
Laquon Treadwell,JAX,NYJ,16,2021,True,4,54,13.5,0,20,5
James O'Shaughnessy,JAX,NYJ,16,2021,True,4,49,12.3,0,22,4
Jacob Hollister,JAX,NYJ,16,2021,True,2,20,10.0,0,11,2
Dare Ogunbowale,JAX,NYJ,16,2021,True,2,15,7.5,0,9,4
Braxton Berrios,NYJ,JAX,16,2021,False,5,37,7.4,0,12,6
Tyler Kroft,NYJ,JAX,16,2021,False,3,29,9.7,0,22,5
Keelan Cole Sr.,NYJ,JAX,16,2021,False,2,25,12.5,0,19,2
Michael Carter,NYJ,JAX,16,2021,False,2,6,3.0,0,4,3
Tevin Coleman,NYJ,JAX,16,2021,False,1,4,4.0,0,4,1
Conor McDermott,NYJ,JAX,16,2021,False,1,1,1.0,1,1,1
Jeff Smith,NYJ,JAX,16,2021,False,0,0,0.0,0,0,1
Denzel Mims,NYJ,JAX,16,2021,False,0,0,0.0,0,0,2
Lawrence Cager,NYG,PHI,18,2022,True,8,69,8.6,0,16,10
Marcus Johnson,NYG,PHI,18,2022,True,3,36,12.0,0,14,6
Kenny Golladay,NYG,PHI,18,2022,True,2,30,15.0,1,25,7
Nick Vannett,NYG,PHI,18,2022,True,2,18,9.0,0,12,4
Matt Breida,NYG,PHI,18,2022,True,7,12,1.7,0,4,8
Gary Brightwell,NYG,PHI,18,2022,True,1,3,3.0,0,3,3
A.J. Brown,PHI,NYG,18,2022,False,4,95,23.8,0,37,10
DeVonta Smith,PHI,NYG,18,2022,False,7,67,9.6,0,16,8
Dallas Goedert,PHI,NYG,18,2022,False,6,46,7.7,0,14,7
Quez Watkins,PHI,NYG,18,2022,False,2,14,7.0,0,14,4
Kenneth Gainwell,PHI,NYG,18,2022,False,1,7,7.0,0,7,1
Miles Sanders,PHI,NYG,18,2022,False,0,0,0.0,0,0,1
Rachaad White,TB,BUF,8,2023,True,7,70,10.0,0,20,7
Chris Godwin,TB,BUF,8,2023,True,5,54,10.8,1,31,7
Mike Evans,TB,BUF,8,2023,True,3,39,13.0,1,24,6
Cade Otton,TB,BUF,8,2023,True,4,27,6.8,0,12,6
Trey Palmer,TB,BUF,8,2023,True,3,22,7.3,0,15,6
Chase Edmonds,TB,BUF,8,2023,True,2,16,8.0,0,9,3
Rakim Jarrett,TB,BUF,8,2023,True,1,9,9.0,0,9,3
Payne Durham,TB,BUF,8,2023,True,0,0,0.0,0,0,1
Khalil Shakir,BUF,TB,8,2023,False,6,92,15.3,0,30,6
Gabe Davis,BUF,TB,8,2023,False,9,87,9.7,1,16,12
Stefon Diggs,BUF,TB,8,2023,False,9,70,7.8,0,17,12
Dalton Kincaid,BUF,TB,8,2023,False,5,65,13.0,1,22,7
James Cook,BUF,TB,8,2023,False,1,6,6.0,0,6,1
Latavius Murray,BUF,TB,8,2023,False,1,4,4.0,0,4,1
CeeDee Lamb,DAL,LAC,2,2021,True,8,81,10.1,0,34,9
Blake Jarwin,DAL,LAC,2,2021,True,3,37,12.3,0,20,4
Tony Pollard,DAL,LAC,2,2021,True,3,31,10.3,0,13,3
Ezekiel Elliott,DAL,LAC,2,2021,True,2,26,13.0,0,14,2
Amari Cooper,DAL,LAC,2,2021,True,3,24,8.0,0,12,5
Cedrick Wilson Jr.,DAL,LAC,2,2021,True,2,20,10.0,0,16,2
Dalton Schultz,DAL,LAC,2,2021,True,2,18,9.0,0,11,2
Keenan Allen,LAC,DAL,2,2021,False,4,108,27.0,0,42,8
Mike Williams,LAC,DAL,2,2021,False,7,91,13.0,1,27,10
Austin Ekeler,LAC,DAL,2,2021,False,9,61,6.8,0,20,9
Jared Cook,LAC,DAL,2,2021,False,3,28,9.3,0,12,5
Joshua Palmer,LAC,DAL,2,2021,False,2,21,10.5,0,16,2
Jalen Guyton,LAC,DAL,2,2021,False,2,13,6.5,0,9,2
Stephen Anderson,LAC,DAL,2,2021,False,2,9,4.5,0,7,2
Justin Jackson,LAC,DAL,2,2021,False,1,8,8.0,0,8,1
