Name,PlayerID,Experience,Height,Weight,Position,Age,Team,TeamID,isFreeAgent,Headshot,espnID
Cornelius Johnson,4426479,R,"6'2""",213,WR,23,LAC,18,False,https://a.espncdn.com/i/headshots/college-football/players/full/4426479.png,4426479
Jimmy Murray,3048026,3,"6'5""",305,C,29,JAX,15,True,https://a.espncdn.com/i/headshots/nfl/players/full/3048026.png,3048026
Lukas Denis,3915291,1,"5'11""",190,S,22,ATL,2,False,https://a.espncdn.com/i/headshots/nfl/players/full/3915291.png,3915291
Tanner Conner,4047422,2,"6'3""",232,TE,26,MIA,20,False,https://a.espncdn.com/i/headshots/nfl/players/full/4047422.png,4047422
Cam Brown,4361345,R,"6'0""",199,CB,24,LAC,18,True,https://a.espncdn.com/i/headshots/nfl/players/full/4361345.png,4361345
Carson Wells,4243177,2,"6'3""",250,LB,25,NE,22,True,https://a.espncdn.com/i/headshots/nfl/players/full/4243177.png,4243177
Nolan Turner,4035468,2,"6'1""",202,S,26,TB,30,True,https://a.espncdn.com/i/headshots/nfl/players/full/4035468.png,4035468
Brad Hawkins,4258179,1,"6'1""",222,S,25,NE,22,True,https://a.espncdn.com/i/headshots/nfl/players/full/4258179.png,4258179
Cooper Rush,2972515,7,"6'3""",225,QB,30,DAL,9,False,https://a.espncdn.com/i/headshots/nfl/players/full/2972515.png,2972515
Khalil Herbert,4035886,4,"5'9""",212,RB,26,CHI,6,False,https://a.espncdn.com/i/headshots/nfl/players/full/4035886.png,4035886
Henry To'oTo'o,4426350,2,"6'2""",228,LB,23,HOU,13,False,https://a.espncdn.com/i/headshots/nfl/players/full/4426350.png,4426350
Alex Bars,3129290,5,"6'5""",314,G,28,LV,17,True,https://a.espncdn.com/i/headshots/nfl/players/full/3129290.png,3129290
Bryan Mone,3115979,4,"6'3""",345,DT,28,SEA,29,True,https://a.espncdn.com/i/headshots/nfl/players/full/3115979.png,3115979
Dontayvion Wicks,4428850,2,"6'1""",206,WR,22,GB,12,False,https://a.espncdn.com/i/headshots/nfl/players/full/4428850.png,4428850
Chris Boswell,17372,9,"6'2""",185,PK,33,PIT,26,False,https://a.espncdn.com/i/headshots/nfl/players/full/17372.png,17372
Lucas Niang,4038552,4,"6'6""",315,OT,25,KC,16,False,https://a.espncdn.com/i/headshots/nfl/players/full/4038552.png,4038552
