,Name,Teams,Season,POS,GP,SOLO,AST,TOT,SACK YDS,YDS,TFL,PD,INT,INT YDS,LNG,TD,FF,FR,FTD
187,Jabrill Peppers,NE,2022,S,17,35,25,60,0.0,0,2,0,0,0,0,0,0,1,0
188,Sam Hubbard,CIN,2022,DE,15,34,26,60,6.5,40,11,3,0,0,0,0,1,0,0
189,Myles Garrett,CLE,2022,DE,16,37,23,60,16.0,91,18,4,0,0,0,0,2,0,0
190,Chandon Sullivan,MIN,2022,CB,17,45,15,60,0.0,0,2,7,0,0,0,0,0,1,0
191,Johnathan Abram,LV / SEA,2022,S,15,42,18,60,0.0,0,0,3,0,0,0,0,0,0,0
192,Matthew Judon,NE,2022,LB,17,36,24,60,15.5,103,14,3,0,0,0,0,2,1,0
193,Paulson Adebo,NO,2022,CB,13,51,9,60,0.0,0,2,7,0,0,0,0,0,0,0
194,Pat Surtain II,DEN,2022,CB,17,46,14,60,0.0,0,2,10,2,-3,1,0,1,0,0
195,Preston Smith,GB,2022,LB,17,38,21,59,8.5,64,9,1,0,0,0,0,1,0,0
196,Deatrich Wise Jr.,NE,2022,DE,17,33,26,59,7.5,47,7,3,0,0,0,0,2,0,0
197,Leonard Floyd,LAR,2022,DE,17,31,28,59,9.0,64,10,0,0,0,0,0,0,1,0
198,Harrison Phillips,MIN,2022,DT,17,28,31,59,1.5,7,3,1,0,0,0,0,1,1,0
199,Arthur Maulet,PIT,2022,CB,17,38,21,59,2.0,12,2,3,1,12,1,0,1,0,0
200,Myles Hartsfield,CAR,2022,S,15,44,15,59,0.0,0,2,2,0,0,0,0,1,0,0
201,Luke Masterson,LV,2022,LB,17,30,29,59,0.0,0,4,0,0,0,0,0,0,0,0
202,Trevon Diggs,DAL,2022,CB,17,50,9,59,0.0,0,0,14,3,10,1,0,0,1,0
203,Micah McFadden,NYG,2022,LB,17,36,23,59,2.0,17,6,0,0,0,0,0,1,0,0
204,Anthony Barr,DAL,2022,LB,14,35,23,58,1.0,9,2,1,0,0,0,0,0,2,0
205,Lorenzo Carter,ATL,2022,LB,17,29,29,58,4.0,26,6,2,1,28,1,1,0,1,0
206,Darnell Savage,GB,2022,S,16,43,15,58,0.0,0,2,5,1,75,1,1,0,1,0
207,Alohi Gilman,LAC,2022,S,17,35,23,58,0.0,0,0,3,1,18,1,0,1,2,0
208,Marco Wilson,ARI,2022,CB,14,44,14,58,0.0,0,2,10,3,77,1,1,1,0,0
209,CJ Henderson,CAR,2022,CB,17,50,8,58,0.0,0,2,6,2,74,1,0,1,0,0
210,Lamarcus Joyner,NYJ,2022,S,14,30,27,57,0.0,0,0,6,3,31,1,0,0,1,0
211,Jamel Dean,TB,2022,CB,15,45,12,57,0.0,0,1,8,2,24,1,0,0,0,0
212,Dane Jackson,BUF,2022,CB,15,49,8,57,0.0,0,1,12,2,13,1,0,1,0,0
213,Josh Allen,JAX,2022,LB,17,35,22,57,7.0,45,11,2,0,0,0,0,4,2,1
214,Will Harris,DET,2022,CB,15,44,13,57,0.0,0,2,4,1,0,1,0,1,1,0
215,Asante Samuel Jr.,LAC,2022,CB,17,48,9,57,0.0,0,1,11,2,11,1,0,0,1,0
216,Eric Rowe,MIA,2022,S,14,42,14,56,2.0,7,4,2,0,0,0,0,2,0,0
217,Sebastian Joseph-Day,LAC,2022,DT,16,27,29,56,2.0,16,9,1,1,4,1,0,1,1,0
218,Jaire Alexander,GB,2022,CB,16,43,13,56,0.0,0,4,14,5,59,1,0,0,0,0
219,DaVon Hamilton,JAX,2022,DT,17,27,29,56,2.5,7,5,1,0,0,0,0,1,1,0
220,Darius Slay Jr.,PHI,2022,CB,17,40,15,55,0.0,0,0,14,3,17,1,0,0,0,0
221,Quinnen Williams,NYJ,2022,DT,16,35,20,55,12.0,99,12,4,0,0,0,0,2,1,0
222,Cam Taylor-Britt,CIN,2022,CB,10,41,14,55,0.0,0,1,6,0,0,0,0,1,0,0
223,Tre'von Moehrig,LV,2022,S,15,37,18,55,0.0,0,2,5,0,0,0,0,0,0,0
224,Jeffery Simmons,TEN,2022,DT,15,25,29,54,7.5,65,9,7,0,0,0,0,1,0,0
225,DaRon Bland,DAL,2022,CB,17,38,16,54,0.0,0,1,7,5,19,1,0,0,0,0
226,Yetur Gross-Matos,CAR,2022,LB,17,18,36,54,2.5,15,5,0,0,0,0,0,0,3,0
227,Kenny Clark,GB,2022,DT,17,27,26,53,4.0,24,5,0,0,0,0,0,1,1,0
228,Denzel Ward,CLE,2022,CB,14,42,11,53,0.0,0,1,15,3,0,1,0,0,2,1
229,Carl Granderson,NO,2022,DE,16,30,23,53,5.5,34,9,0,0,0,0,0,0,1,0
230,Darious Williams,JAX,2022,CB,17,35,18,53,0.0,0,2,16,0,0,0,0,0,0,0
231,Jaycee Horn,CAR,2022,CB,13,37,16,53,0.0,0,2,7,3,49,1,0,0,0,0
232,Steven Nelson,HOU,2022,CB,15,39,13,52,1.0,7,1,7,1,33,1,0,1,0,0
233,Kendall Fuller,WSH,2022,CB,17,36,16,52,0.0,0,1,13,3,66,1,2,0,0,0
234,Jarran Reed,GB,2022,DT,17,29,23,52,2.5,21,5,0,0,0,0,0,1,2,0
235,Justin Jones,CHI,2022,DT,17,28,24,52,3.0,22,12,4,0,0,0,0,0,1,0
236,Rodney Thomas II,IND,2022,S,17,34,18,52,0.0,0,0,6,4,51,1,0,0,0,0
237,Aidan Hutchinson,DET,2022,DE,17,34,18,52,9.5,60,9,3,3,25,1,0,0,2,0
238,Adoree' Jackson,NYG,2022,CB,10,40,11,51,0.0,0,2,7,0,0,0,0,1,2,0
239,Mike Hughes,DET,2022,CB,16,35,16,51,0.0,0,3,1,0,0,0,0,0,0,0
240,Nick Bosa,SF,2022,DE,16,41,10,51,18.5,138,19,1,0,0,0,0,2,0,0
241,Khalil Mack,LAC,2022,LB,17,33,17,50,8.0,58,12,2,0,0,0,0,2,2,0
242,Jimmie Ward,SF,2022,S,12,38,12,50,0.0,0,1,5,3,0,1,0,1,0,0
243,Cameron Dantzler Sr.,MIN,2022,CB,10,45,5,50,0.0,0,3,5,0,0,0,0,1,1,0
244,Julian Blackmon,IND,2022,S,14,36,14,50,1.0,0,2,2,1,17,1,1,0,1,0
245,William Gholston,TB,2022,DE,17,24,25,49,0.0,0,4,0,0,0,0,0,0,1,0
246,Aaron Donald,LAR,2022,DT,11,27,22,49,5.0,42,10,2,0,0,0,0,1,1,0
247,Haason Reddick,PHI,2022,DE,17,35,14,49,16.0,133,11,3,0,0,0,0,5,3,0
248,Eli Apple,CIN,2022,CB,15,35,14,49,0.0,0,1,8,0,0,0,0,0,0,0
249,Shy Tuttle,NO,2022,DT,17,26,23,49,2.0,6,1,5,0,0,0,0,0,0,0
250,Broderick Washington,BAL,2022,DT,17,25,24,49,1.0,8,2,6,0,0,0,0,0,0,0
251,Brandon Jones,MIA,2022,S,7,26,23,49,2.0,30,1,3,0,0,0,0,1,0,0
252,Kayvon Thibodeaux,NYG,2022,LB,14,33,16,49,4.0,34,6,5,0,0,0,0,2,2,1
253,Travon Walker,JAX,2022,LB,15,24,25,49,3.5,23,5,2,1,9,1,0,1,0,0
254,Jaylen Watson,KC,2022,CB,16,37,12,49,0.0,0,3,6,1,99,1,1,0,0,0
255,Markus Golden,ARI,2022,LB,17,22,26,48,2.5,15,7,0,0,0,0,0,0,0,0
256,Larry Ogunjobi,PIT,2022,DT,16,25,23,48,1.5,10,7,0,0,0,0,0,0,0,0
257,Kamu Grugier-Hill,ARI / HOU,2022,LB,15,38,10,48,0.0,0,1,1,0,0,0,0,0,0,0
258,Khalen Saunders,KC,2022,DT,16,22,26,48,3.5,23,3,1,0,0,0,0,0,0,0
259,Levi Wallace,PIT,2022,CB,15,33,15,48,0.0,0,0,13,4,6,1,0,0,0,0
260,Josh Sweat,PHI,2022,DE,16,31,17,48,11.0,84,15,1,1,42,1,1,1,0,0
261,Kristian Fulton,TEN,2022,CB,11,35,13,48,0.0,0,3,5,1,0,1,0,1,1,0
