,Name,Teams,Season,POS,GP,RUSH,REC,RET,TD,FG,XP,2PT,PTS,PTS/G
734,Josh Reynolds,DET / TEN,2021,WR,12,0,2,0,2,0,0,0,12,1.0
735,Cam Sims,WSH,2021,WR,14,0,2,0,2,0,0,0,12,0.9
736,DJ Chark Jr.,JAX,2021,WR,4,0,2,0,2,0,0,0,12,3.0
737,Justin Jackson,LAC,2021,RB,14,2,0,0,2,0,0,0,12,0.9
738,Samaje Perine,CIN,2021,RB,16,1,1,0,2,0,0,0,12,0.8
739,Christian McCaffrey,CAR,2021,RB,7,1,1,0,2,0,0,0,12,1.7
740,Chase Edmonds,ARI,2021,RB,12,2,0,0,2,0,0,0,12,1.0
741,James Washington,PIT,2021,WR,15,0,2,0,2,0,0,0,12,0.8
742,Jeff Wilson Jr.,SF,2021,RB,9,2,0,0,2,0,0,0,12,1.3
743,Isaiah Ford,MIA,2021,WR,13,0,2,0,2,0,0,0,12,0.9
744,Dontrell Hilliard,TEN,2021,RB,8,2,0,0,2,0,0,0,12,1.5
745,Isaiah McKenzie,BUF,2021,WR,15,1,1,0,2,0,0,0,12,0.8
746,Mike Edwards,TB,2021,S,14,0,0,2,2,0,0,0,12,0.9
747,Kristian Wilkerson,NE,2021,WR,3,0,2,0,2,0,0,0,12,4.0
748,Adam Trautman,NO,2021,TE,13,0,2,0,2,0,0,0,12,0.9
749,Josiah Deguara,GB,2021,TE,16,0,2,0,2,0,0,0,12,0.8
750,Joe Burrow,CIN,2021,QB,16,2,0,0,2,0,0,0,12,0.8
751,Lamar Jackson,BAL,2021,QB,12,2,0,0,2,0,0,0,12,1.0
752,Darius Slayton,NYG,2021,WR,13,0,2,0,2,0,0,0,12,0.9
753,Ke'Shawn Vaughn,TB,2021,RB,12,2,0,0,2,0,0,0,12,1.0
754,Drew Lock,DEN,2021,QB,6,2,0,0,2,0,0,0,12,2.0
755,Derrick Gore,KC,2021,RB,11,2,0,0,2,0,0,0,12,1.1
