,Name,Teams,Season,POS,GP,SOLO,AST,TOT,SACK YDS,YDS,TFL,PD,INT,INT YDS,LNG,TD,FF,FR,FTD
3261,Mike Hilton,PIT,2020,CB,12,42,9,51,3.0,25,8,7,3,5,8,0,1,2,0
3262,Jaire Alexander,GB,2020,CB,15,39,12,51,1.0,4,3,13,1,-4,-4,0,1,0,0
3263,Kendall Sheffield,ATL,2020,CB,13,37,14,51,0.0,0,1,3,0,0,0,0,1,0,0
3264,Amani Hooker,TEN,2020,S,16,35,16,51,0.0,0,1,8,4,11,6,0,0,0,0
3265,Charvarius Ward,KC,2020,CB,14,38,13,51,1.0,9,1,6,0,0,0,0,0,0,0
3266,Byron Murphy Jr.,ARI,2020,CB,15,40,11,51,2.0,10,3,8,0,0,0,0,0,2,0
3267,Khalil Mack,CHI,2020,LB,16,29,21,50,9.0,64,15,3,1,33,33,0,3,2,0
3268,Nick Vigil,LAC,2020,LB,15,29,21,50,2.0,3,3,1,0,0,0,0,1,2,0
3269,Kendall Fuller,WSH,2020,CB,14,38,12,50,0.0,0,1,11,4,0,0,0,0,0,0
3270,Terez Hall,NE,2020,LB,8,33,17,50,0.0,0,0,2,0,0,0,0,0,0,0
3271,Matthew Judon,BAL,2020,LB,14,32,18,50,6.0,44,10,2,0,0,0,0,0,0,0
3272,Akiem Hicks,CHI,2020,DE,15,30,19,49,3.5,23,9,1,0,0,0,0,0,1,0
3273,DaQuan Jones,TEN,2020,DT,16,29,20,49,2.0,13,7,0,0,0,0,0,1,0,0
3274,Pierre Desir,BAL / NYJ,2020,CB,12,39,10,49,0.0,0,3,8,3,58,35,1,1,0,0
3275,Kerry Hyder Jr.,SF,2020,DE,16,30,19,49,8.5,46,11,0,0,0,0,0,0,1,0
3276,Arik Armstead,SF,2020,DE,16,29,20,49,3.5,25,7,3,0,0,0,0,0,0,0
3277,Dalvin Tomlinson,NYG,2020,DT,16,25,24,49,3.5,33,10,4,0,0,0,0,0,0,0
3278,Deatrich Wise Jr.,NE,2020,DE,16,27,22,49,2.5,11,3,0,0,0,0,0,0,1,1
3279,Chase Winovich,NE,2020,DE,16,33,16,49,5.5,32,8,2,1,0,0,0,1,0,0
3280,Andrew Wingard,JAX,2020,S,13,34,15,49,0.0,0,3,5,2,31,19,0,0,1,0
3281,Jeffery Simmons,TEN,2020,DT,15,24,25,49,3.0,24,5,5,0,0,0,0,1,3,0
3282,Aldon Smith,DAL,2020,DE,16,31,17,48,5.0,16,5,2,0,0,0,0,0,2,1
3283,Chris Banjo,ARI,2020,S,13,34,14,48,0.0,0,2,1,0,0,0,0,0,0,0
3284,Johnathan Hankins,LV,2020,DT,16,27,21,48,1.0,9,2,0,0,0,0,0,0,1,0
3285,Joe Thomas,DAL,2020,LB,15,30,18,48,0.0,0,3,2,0,0,0,0,0,0,0
3286,Denzel Perryman,LAC,2020,LB,13,26,22,48,1.0,9,4,1,0,0,0,0,1,0,0
3287,Steven Nelson,PIT,2020,CB,15,43,5,48,0.0,0,2,9,2,3,3,0,0,1,0
3288,Zach Sieler,MIA,2020,DT,16,30,18,48,3.5,23,12,0,0,0,0,0,0,0,0
3289,Myles Garrett,CLE,2020,DE,14,33,15,48,12.0,98,15,2,0,0,0,0,4,2,0
3290,Levi Wallace,BUF,2020,CB,12,34,14,48,0.0,0,1,8,2,0,0,0,0,0,0
3291,Andrew Van Ginkel,MIA,2020,LB,16,29,19,48,5.5,45,9,4,0,0,0,0,3,1,1
3292,Alex Highsmith,PIT,2020,LB,16,30,18,48,2.0,16,6,1,1,2,2,0,0,0,0
3293,Mackensie Alexander,CIN,2020,CB,13,32,15,47,0.0,0,1,6,1,21,21,0,0,0,0
3294,Tre Flowers,SEA,2020,CB,12,37,10,47,0.0,0,1,2,0,0,0,0,1,0,0
3295,Emmanuel Moseley,SF,2020,CB,12,34,13,47,0.0,0,1,9,1,51,51,0,0,0,0
3296,Derrick Nnadi,KC,2020,DT,15,23,24,47,0.0,0,1,0,0,0,0,0,0,0,0
3297,Marcus Epps,PHI,2020,S,14,35,12,47,0.0,0,0,4,2,0,0,0,0,0,0
3298,Christian Wilkins,MIA,2020,DT,14,28,19,47,1.5,10,5,5,1,8,8,0,0,1,0
3299,Jeff Okudah,DET,2020,CB,9,41,6,47,0.0,0,4,2,1,36,36,0,0,0,0
3300,Brandon Graham,PHI,2020,DE,16,35,11,46,8.0,49,15,0,0,0,0,0,2,1,0
3301,Bobby McCain,MIA,2020,S,16,39,7,46,0.0,0,0,5,1,19,19,0,0,0,0
3302,Larry Ogunjobi,CLE,2020,DT,15,23,23,46,2.5,18,8,0,0,0,0,0,1,0,0
3303,Jermaine Carter,CAR,2020,LB,16,21,25,46,0.0,0,2,1,0,0,0,0,0,1,0
3304,Jarrad Davis,DET,2020,LB,14,25,21,46,0.5,1,3,0,0,0,0,0,2,0,0
3305,Keion Crossen,HOU,2020,CB,16,33,13,46,0.0,0,1,5,0,0,0,0,0,0,0
3306,Isaac Yiadom,NYG,2020,CB,16,29,17,46,0.5,7,1,5,0,0,0,0,1,0,0
