,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1170,Malcolm Brown,LAR,2020,RB,16,23,33,162,7.0,0,30,1,10.1,1,1,184,9
1171,Byron Pringle,KC,2020,WR,13,13,17,160,12.3,1,37,3,12.3,0,0,67,9
1172,Donald Parham Jr.,LAC,2020,TE,13,10,20,159,15.9,3,26,4,12.2,0,0,58,8
1173,Freddie Swain,SEA,2020,WR,16,13,21,159,12.2,2,23,3,9.9,0,0,102,6
1174,Darrell Henderson Jr.,LAR,2020,RB,15,16,24,159,9.9,1,28,1,10.6,0,0,163,8
1175,Melvin Gordon III,DEN,2020,RB,15,32,44,158,4.9,1,20,1,10.5,2,2,179,7
1176,Raheem Mostert,SF,2020,RB,8,16,19,156,9.8,1,76,1,19.5,0,0,135,5
1177,Zay Jones,LV,2020,WR,16,14,20,154,11.0,1,37,1,9.6,0,0,68,6
1178,Noah Brown,DAL,2020,WR,16,14,24,154,11.0,0,20,1,9.6,0,0,50,6
1179,Nick Chubb,CLE,2020,RB,12,16,18,150,9.4,0,26,1,12.5,0,0,148,6
1180,Auden Tate,CIN,2020,WR,9,14,22,150,10.7,0,19,0,16.7,0,0,54,9
1181,Adam Shaheen,MIA,2020,TE,16,12,22,150,12.5,3,43,2,9.4,0,0,109,9
1182,Christian McCaffrey,CAR,2020,RB,3,17,19,149,8.8,1,24,1,49.7,0,0,123,8
1183,Joshua Kelley,LAC,2020,RB,14,23,23,148,6.4,0,35,1,10.6,0,0,176,9
1184,Chris Thompson,JAX,2020,RB,8,20,23,146,7.3,1,15,0,18.3,0,0,113,5
1185,O.J. Howard,TB,2020,TE,4,11,19,146,13.3,2,33,2,36.5,0,0,18,8
1186,Ian Thomas,CAR,2020,TE,16,20,31,145,7.3,1,21,1,9.1,1,0,79,11
1187,Kenny Stills,HOU,2020,WR,10,11,19,144,13.1,1,24,2,14.4,0,0,16,8
1188,Christian Blake,ATL,2020,WR,16,13,18,141,10.8,0,25,3,8.8,0,0,26,6
1189,Foster Moreau,LV,2020,TE,16,7,9,140,20.0,2,47,4,8.8,0,0,54,5
1190,Alex Erickson,CIN,2020,WR,16,12,17,139,11.6,0,42,2,8.7,0,0,68,5
1191,Le'Veon Bell,KC / NYJ,2020,RB,11,16,20,138,8.6,0,30,1,12.5,1,0,139,7
1192,Jalen Richard,LV,2020,RB,13,19,23,138,7.3,0,19,0,10.6,0,0,100,5
1193,Joe Mixon,CIN,2020,RB,6,21,26,138,6.6,1,19,0,23.0,0,0,174,5
1194,Kenyan Drake,ARI,2020,RB,15,25,31,137,5.5,0,18,0,9.1,0,0,166,5
1195,Jeff Wilson Jr.,SF,2020,RB,12,13,28,133,10.2,3,21,1,11.1,0,0,110,8
1196,Cordarrelle Patterson,CHI,2020,RB,16,21,25,132,6.3,0,25,1,8.3,0,0,120,7
1197,Mike Thomas,CIN,2020,WR,14,13,21,132,10.2,1,29,2,9.4,1,1,28,7
